Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
128,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
296,-4,-3,0,2,-16,8,10,-3
346,0,1,0,-9,4,4,0,-7
406,-1,-1,8,-2,-2,1,4,-8
466,-2,0,6,5,-18,-1,-2,0
527,-2,-2,12,-14,-14,-6,-7,-3
587,-1,4,-1,11,11,-5,-1,-3
639,-1,-3,-11,-23,-1,0,-2,-3
691,-1,-3,7,6,3,-1,-5,-2
743,0,-2,-2,16,-1,-2,-2,0
794,-2,-1,0,-8,16,-7,-3,-2
849,-1,-3,-2,-1,13,-2,-3,1
903,-3,-2,-2,0,-9,-5,0,-3
966,-1,-1,-9,16,-14,-3,-2,0
1027,-1,-1,0,-3,19,2,-2,0
1090,-16,-2,-11,-51,97,15,2,2
1149,5,-4,5,-15,-14,-5,-6,-2
1210,-2,-5,22,8,-3,-1,-1,0
1262,26,-43,11,17,-84,-13,-3,-1
1314,-86,-28,-17,-37,12,-4,-3,-12
1370,34,-7,11,-56,51,10,-1,18
1432,2,-6,3,-53,-36,-7,14,3
1495,70,20,-34,-7,10,7,-18,-45
1555,9,17,-126,-7,48,22,29,23
1605,71,53,81,60,15,15,31,29
1659,-1,1,-6,-6,3,5,5,6
1711,-6,4,-13,52,-4,-4,-2,-10
1772,-4,-4,-16,18,15,4,1,-8
1823,8,9,4,-1,34,-14,-7,-9
1877,-55,-31,-7,-12,-32,-3,-3,-6
1933,6,-28,-7,-44,31,5,1,-5
1996,-41,-6,-18,-17,-2,4,1,0
2057,-14,30,1,13,-14,-4,-2,0
2117,20,14,-11,37,-4,-4,-3,3
2177,-19,-12,10,58,8,2,3,-1
2229,13,48,3,-17,-5,-5,1,12
2280,29,-1,-8,54,-11,-7,-6,-1
2333,-54,5,1,-5,-3,0,4,-2
2385,44,-8,-30,-94,-3,-1,-3,0
2446,16,-2,-45,-62,-27,-6,-2,3
2498,71,9,95,15,25,6,8,-15
2555,-40,26,106,99,58,19,-5,-15
2619,41,30,40,22,7,9,1,31
2679,-6,-10,12,-8,24,1,-1,-8
2731,5,4,3,7,-1,-2,0,12
2791,-9,-6,-7,26,3,4,-4,1
2853,-10,-7,-33,45,-13,-7,-3,-6
2914,3,5,-10,-87,24,1,-1,-2
2978,-22,0,0,-15,35,3,1,-4
3039,31,-29,4,-9,2,-2,0,1
3099,10,-15,-10,8,-6,3,-3,-3
3150,-4,-26,-37,1,-41,-12,-11,-8
3204,73,-42,-30,-56,32,1,-4,23
3255,-74,-21,8,14,50,3,2,0
3307,-6,13,12,11,1,-2,-5,24
3361,6,8,-37,-53,21,13,-8,6
3412,9,13,48,17,19,8,6,-27
3465,20,-3,62,79,14,-1,-7,2
3518,-39,-1,-29,6,7,3,7,-23
3579,-15,-36,-71,-65,-74,-24,-10,0
3638,-19,6,58,53,15,6,8,12
3692,-8,-10,17,24,-27,-9,-4,4
3754,9,12,48,-17,-4,8,2,-2
3818,-13,-12,-8,-8,-12,-3,-3,-2
3879,-3,-17,1,75,12,-14,-4,-8
3939,-46,-14,-26,-57,1,2,4,1
3990,5,-18,-1,27,-99,-26,-13,-14
4043,-116,4,25,39,13,6,6,4
4096,-17,-10,8,20,16,1,1,-3
4148,-29,4,0,44,6,2,-3,-2
4202,-1,1,-9,-5,16,2,-4,-20
4253,-5,-28,-72,-100,-44,-17,-16,-4
4305,33,3,-4,-114,-7,-4,-3,6
4359,-8,-20,-107,-15,-44,-20,-8,0
4410,10,-9,-5,16,-16,-8,-6,-8
4464,-10,-8,-5,-43,-11,-5,-4,-5
4518,5,-1,10,10,58,-9,-1,-2
4580,-2,6,13,-20,12,14,4,6
4643,-27,-28,23,55,19,11,3,-1
4704,-11,-11,-18,-17,-5,-2,-10,-11
4763,48,38,16,36,-23,-8,2,5
4815,85,-14,-21,-16,17,-8,-10,-2
4868,-18,11,19,21,16,6,3,4
4921,35,-2,-35,92,4,-4,0,-33
4971,44,19,36,-16,4,5,13,22
5027,32,-19,-91,-107,-32,-19,-8,10
5080,22,2,-23,76,12,-2,-5,-8
5142,10,38,35,65,81,36,11,15
5204,-28,-10,6,22,-30,-12,-5,-10
5267,-22,-19,15,20,-14,-8,-7,-7
5327,13,42,7,3,54,15,5,4
5387,-68,-80,-20,33,-6,-14,-13,-10
5438,35,61,4,-86,12,0,-2,-12
5501,1,-17,3,-20,-4,5,8,-2
5563,0,-1,51,23,37,11,4,9
5624,-13,14,-22,-21,12,5,2,5
5686,-2,-3,69,47,-1,-10,-11,-6
5746,-16,9,-3,15,9,3,-2,2
5807,14,4,30,-38,20,-1,-5,8
5867,-53,-40,-9,-13,0,0,-4,-5
5921,-74,-27,-34,-26,99,26,-5,-8
5984,4,-11,-5,-70,1,7,4,12
6046,-41,36,-23,-66,13,14,20,19
6106,50,-48,6,-32,-10,-1,2,9
6167,5,-10,-6,-19,7,0,5,-1
6218,6,15,12,26,17,7,2,0
6272,2,2,-12,78,-1,-4,-6,-5
6324,6,-12,-25,78,-32,-19,-8,-6
6375,7,-8,-13,-101,-35,-8,1,-3
