timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.012827,60,87,-65,80,-11,-8,-5,-8,4
2.013094,-109,30,-66,-46,-23,-2,-3,-9,4
2.014569,93,57,-14,-21,13,0,-5,-16,4
2.014588,16,-76,21,50,25,7,18,30,4
2.034523,-7,-26,67,18,5,4,-5,-6,4
2.034546,40,-5,14,23,3,3,4,-7,4
2.043902,42,-74,-32,-58,-20,-3,-2,2,4
2.043918,1,67,8,-35,-14,-6,-14,-9,4
2.049014,3,-45,0,17,6,3,7,5,4
2.049031,-71,13,41,-30,-7,-5,-7,-2,4
2.058037,-11,-128,-4,1,3,7,13,10,4
2.058055,44,53,96,88,6,-5,-5,-11,4
2.072970,-123,-17,-53,-98,-22,-11,-20,-19,4
2.073032,-7,34,39,-21,-7,-2,-4,3,4
2.074530,79,19,-21,36,9,0,9,-1,4
2.074551,-16,-24,-24,-2,-5,-7,-8,-2,4
2.102962,-44,127,-11,-55,-8,-11,-18,7,4
2.102983,50,16,22,29,7,7,5,-19,4
2.104532,7,80,50,-1,3,-1,0,-2,4
2.104557,-33,-99,-94,-48,-18,-2,5,3,4
2.117940,52,41,27,58,12,10,11,0,4
2.117958,88,-34,-19,8,10,-6,-1,5,4
2.119469,55,112,7,-2,0,-2,-8,4,4
2.119490,-27,-40,-33,-29,-1,4,0,-3,4
2.132780,-45,-105,-30,57,-1,-4,-3,-10,4
2.132815,21,13,-9,-31,-11,-1,-4,6,4
2.134346,-83,-83,-34,-17,-6,-4,0,-9,4
2.134366,6,-56,23,49,6,2,6,-1,4
2.155352,96,65,30,16,-4,-3,5,4,4
2.155375,76,127,15,-11,-5,-3,-12,2,4
2.157016,30,-86,7,18,5,-1,0,-4,4
2.157040,-70,90,9,-35,-13,5,2,15,4
2.178078,84,-68,18,-8,27,12,18,6,4
2.178098,-124,-10,-14,25,-8,-9,-2,18,4
2.180864,-10,-123,-81,-59,3,-2,-12,10,4
2.180869,54,58,77,-2,9,6,5,2,4
2.192193,-14,66,-31,6,0,-2,9,4,4
2.192208,-60,-71,1,-48,-12,-5,-12,-22,4
2.199064,18,30,22,28,0,2,3,-9,4
2.199086,-53,-63,14,7,6,0,-7,-1,4
2.215368,-32,-103,-58,-51,-10,-7,-2,5,4
2.215388,109,-74,0,2,-3,6,13,-5,4
2.217071,18,127,17,39,-10,-12,-21,-14,4
2.217080,127,-60,-25,17,20,-1,2,-3,4
