timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.009827,-5,-4,2,22,0,63,45,-83,3
2.010239,-23,1,3,12,-32,-53,-62,-44,3
2.011467,-7,0,2,2,-64,-44,11,-1,3
2.011471,-5,-2,-4,-17,75,2,-12,-20,3
2.033221,11,2,-1,6,52,-17,-9,45,3
2.033256,-3,-6,-8,31,63,-11,39,-33,3
2.034820,7,-5,-2,-14,-22,-26,48,-59,3
2.034832,-47,-10,-4,0,-32,31,-35,-36,3
2.046667,-34,-5,-1,6,19,101,57,31,3
2.046700,38,1,-2,-25,17,27,-4,33,3
2.054751,6,11,0,-5,-23,4,-43,27,3
2.054770,15,1,2,3,-1,43,12,5,3
2.069741,-8,-11,-9,-14,90,-20,-13,-40,3
2.069776,-10,2,1,-11,-103,0,37,-30,3
2.070831,5,2,2,8,16,-63,20,40,3
2.070835,1,5,2,-17,72,75,64,15,3
2.092925,0,-4,3,6,36,43,-30,-47,3
2.092946,12,1,-1,1,-10,37,-32,-56,3
2.093661,-17,4,4,18,-36,-12,12,5,3
2.093720,-17,-6,-5,-10,-1,55,52,-47,3
2.106616,-21,-9,-4,-3,-34,-31,-61,23,3
2.106635,14,5,-5,-4,71,-27,-29,45,3
2.114768,-26,-14,-8,-33,-56,15,4,0,3
2.114791,3,5,9,38,66,23,-88,-20,3
2.129821,27,10,3,-21,-27,-2,35,57,3
2.129844,-11,6,3,-1,-48,-13,28,-21,3
2.131244,16,-6,-1,-5,39,-27,20,36,3
2.131253,6,5,-1,-1,-32,-67,19,39,3
2.153421,-47,-11,-3,8,18,-15,24,-23,3
2.153427,22,2,-1,-15,-51,-51,-37,27,3
2.153685,-1,8,3,7,22,-3,71,-30,3
2.153729,-7,-8,-1,-3,-46,-84,-47,26,3
2.168253,9,5,1,-1,11,54,-17,19,3
2.168259,-34,-3,-1,8,-127,-57,42,-62,3
2.174782,6,5,2,22,-47,63,-20,33,3
2.174804,-14,-15,-8,-4,-47,-13,55,4,3
2.189710,17,6,2,4,67,36,31,52,3
2.189727,-10,-4,3,40,16,63,31,48,3
2.190984,14,-1,0,1,80,3,-69,5,3
2.190989,8,0,-3,-38,-33,26,-17,7,3
2.213166,-8,3,1,19,-76,-90,10,-50,3
2.213183,2,-5,-3,-24,-19,-32,-3,55,3
2.214752,0,0,-2,-7,-43,41,57,7,3
2.214757,28,8,-4,7,81,61,2,-24,3
2.226537,2,-6,-2,-12,63,9,57,18,3
2.226557,16,3,2,-7,74,67,-61,31,3
2.235029,-5,-1,1,5,41,-48,-38,-42,3
2.235057,19,3,4,2,3,-31,-12,86,3
2.250105,4,-4,-6,52,-20,-34,-72,-79,3
2.250130,-11,0,2,-15,2,-17,1,12,3
2.250889,-5,-2,0,18,42,2,19,-20,3
2.250923,8,4,-1,0,16,4,-58,-61,3
2.280521,-11,-8,-7,-27,30,37,11,13,3
2.280550,-7,-4,2,10,27,0,34,17,3
2.281188,1,8,3,-12,13,-52,-52,13,3
2.281204,-28,-8,1,12,-21,16,111,2,3
2.295316,20,14,6,12,1,33,-17,24,3
2.295347,-35,-15,-7,-6,-32,2,-42,-116,3
2.296187,-7,-3,-1,21,-86,38,63,11,3
2.296259,-2,1,1,14,31,-45,-74,39,3
2.310367,12,6,2,-18,1,21,49,-46,3
2.310373,0,-3,0,9,55,88,45,10,3
2.310374,28,6,2,-15,80,5,-41,33,3
2.310412,-10,0,-1,-3,-91,32,-3,5,3
2.333194,-15,-9,2,17,-40,-12,-39,9,3
2.333241,3,11,0,-18,-40,9,-17,8,3
2.334802,11,-7,-7,-11,-4,39,36,-60,3
2.334809,9,-5,-4,9,60,72,-35,-23,3
2.357473,6,-6,-3,-36,67,-97,-7,-24,3
2.357478,3,6,3,-5,16,-83,-23,68,3
2.357480,-42,-3,-1,-27,50,-28,61,-33,3
2.357482,-45,-7,-1,4,-61,-41,52,-41,3
2.369728,13,-6,-5,-15,-67,-21,11,-26,3
2.369749,-20,-8,-2,29,2,-14,-41,1,3
2.371152,17,-1,-4,-15,-121,-67,-69,8,3
2.371156,1,-1,2,7,12,-40,-24,-1,3
2.392979,-2,1,1,1,-11,-7,17,7,3
2.393004,12,-3,-3,-29,-65,-16,31,-15,3
2.394629,-18,3,-2,-11,63,21,34,99,3
2.394644,5,0,2,29,-128,-121,46,18,3
2.415402,6,-4,4,19,9,83,-7,36,3
2.415450,39,9,-1,-1,-34,10,64,14,3
