timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.007877,1,-1,4,16,64,-3,-10,2,1
2.008278,-2,-2,5,29,1,6,15,1,1
2.020265,-4,-4,-5,-8,-4,2,9,2,1
2.020296,5,1,1,9,-1,-9,-5,0,1
2.023404,-12,-4,-6,-41,-4,2,-11,2,1
2.023414,0,-2,2,3,-18,0,-2,-1,1
2.043118,5,-1,1,5,8,-5,-2,0,1
2.043227,-7,1,2,11,13,-13,-3,-6,1
2.044519,1,0,-2,-1,-17,5,9,-1,1
2.044625,2,-4,-3,-6,21,-15,-5,3,1
2.056517,2,-2,-3,1,-11,-12,-1,0,1
2.056537,-6,0,1,5,12,0,-1,-2,1
2.067005,1,0,-4,-5,-16,5,10,-2,1
2.067012,0,0,-2,-5,-7,-11,0,-2,1
2.080272,0,1,2,-2,-9,2,-1,-2,1
2.080296,-5,-1,0,3,6,0,-14,2,1
2.081675,-2,-3,0,3,-2,0,1,-4,1
2.081690,0,-3,-2,-5,-4,-13,28,-3,1
2.103724,1,0,-1,0,3,0,-31,0,1
2.103731,-3,-1,-1,8,15,-2,4,-1,1
2.104034,-3,-1,-4,-1,-10,1,7,4,1
2.104041,0,-1,-4,1,-2,0,-17,-2,1
2.116850,-1,-8,-6,-6,-6,-5,13,-3,1
2.116890,-2,1,-11,-1,-7,-9,2,-2,1
2.126376,-4,-1,45,0,-10,2,-38,-10,1
2.126391,0,0,-8,-6,-2,1,10,0,1
2.140414,2,2,-9,2,7,0,2,1,1
2.140437,2,48,-47,-7,-6,-18,-43,0,1
2.141831,-11,-82,60,22,13,18,33,-5,1
2.141840,3,6,-26,-4,6,-3,-10,-2,1
2.162658,-4,-5,6,-2,-6,-4,6,1,1
2.162681,3,49,-39,0,2,-3,4,4,1
2.164741,0,61,-57,-15,-12,-8,-42,-3,1
2.164752,-4,-28,56,12,5,-2,13,2,1
2.176807,-2,-69,-19,2,8,16,18,-4,1
2.176844,7,51,-63,-7,1,-3,-4,5,1
2.186923,-4,-44,27,-1,-3,-13,-20,1,1
2.186929,-3,-63,-27,-10,2,10,2,-9,1
2.200094,-1,41,-6,-4,-17,-8,21,8,1
2.200119,-4,33,-44,-1,-2,-6,7,5,1
2.201523,0,-72,37,6,3,11,14,-9,1
2.201576,3,30,-47,-12,-4,-11,-36,2,1
2.222832,1,59,-41,1,7,-6,3,-3,1
2.222865,-6,-29,83,5,-4,13,23,-13,1
2.224690,5,68,-48,-9,-11,-9,8,7,1
2.224697,-7,-4,22,5,-2,-3,-3,2,1
2.236582,-5,61,-15,2,13,1,-59,-2,1
2.236613,9,-79,36,5,4,4,32,4,1
2.245948,-2,38,-89,-13,-20,-9,-49,-14,1
2.245955,-7,-49,42,10,19,8,60,10,1
2.260383,3,71,46,-1,-10,-15,-48,-5,1
2.260449,-6,-22,25,8,21,-2,-15,-10,1
2.261662,7,-128,22,9,6,38,87,3,1
2.261757,10,87,-66,-23,-21,2,-61,-6,1
2.283334,-4,-9,-80,-12,-15,-22,48,11,1
2.283364,-2,2,93,13,7,11,-10,-2,1
2.285729,26,4,-28,-4,3,-15,11,-3,1
2.285734,-31,4,-17,-2,0,-2,-18,-4,1
2.296262,16,-38,13,0,2,9,15,0,1
2.296285,-28,21,-15,-10,-9,-6,-14,-4,1
2.307713,4,104,-49,-3,3,-9,12,-2,1
2.307721,-2,-76,24,5,-3,-4,20,-6,1
2.320300,-7,5,34,7,8,-4,-39,-3,1
2.320322,17,-73,-42,-3,-6,8,-3,-4,1
2.322586,-18,-21,13,-9,-12,-3,21,13,1
2.322602,-2,41,-21,6,7,4,-38,-3,1
2.342800,11,20,-76,-16,-17,-21,7,2,1
2.342839,-27,59,17,3,6,-5,-33,9,1
2.349138,17,-56,74,9,8,8,29,-4,1
2.349167,63,-66,-18,-2,3,-9,-16,-3,1
2.356548,73,-65,20,9,1,6,25,1,1
2.356573,-61,22,-40,-8,-4,14,-18,-11,1
2.366548,14,-24,-14,-3,3,-10,12,5,1
2.366556,-103,48,40,6,-17,23,13,4,1
2.379561,-122,-3,15,0,-2,-9,-9,-12,1
2.379585,-107,1,2,-2,-4,1,43,-2,1
2.386665,39,20,-13,10,19,2,-31,5,1
2.386696,113,4,-3,-4,-9,-15,10,8,1
2.402954,127,-20,-6,-4,-8,6,-9,2,1
2.402976,51,80,-128,-27,2,-16,7,13,1
2.405106,56,-41,92,67,37,-12,0,-6,1
2.405117,-5,40,-119,-25,-36,34,-52,-4,1
2.416335,-128,7,-33,3,10,3,44,-4,1
2.416343,53,-69,-17,-8,-27,-8,3,-12,1
2.426348,68,55,-47,-20,-9,-20,-84,0,1
2.426355,127,-52,17,7,8,-32,12,13,1
2.440265,127,-39,-4,1,6,23,35,5,1
2.440293,-46,-60,34,0,1,-1,-22,-7,1
2.441858,-119,28,-9,-12,-10,0,24,-3,1
2.441868,-128,3,10,11,20,-5,2,-8,1
2.463632,-128,52,-106,-26,-15,-4,-40,0,1
2.463641,8,-39,127,41,16,25,-9,0,1
2.464193,-101,14,-117,-18,-12,-6,-11,-2,1
2.464202,-91,27,-48,-12,-32,-15,36,-13,1
2.478463,-29,14,17,9,8,10,3,-7,1
2.478473,13,-24,-20,-2,-11,-31,7,4,1
2.487010,-20,24,17,-4,-13,11,-8,2,1
2.487017,-15,-15,30,3,22,12,15,3,1
2.500347,77,85,18,2,-3,-25,3,0,1
2.500363,33,17,-29,-1,1,14,-46,-4,1
2.501928,-17,-67,84,-4,1,20,-8,-6,1
2.502199,-9,41,16,1,4,-15,36,-4,1
2.524507,-41,-47,12,-1,-5,12,-35,-2,1
2.524513,0,8,-36,-2,9,-7,17,6,1
2.524517,-8,98,-93,-17,-11,-19,7,8,1
