timestamp,sample_number,label,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2.002098,0,clench,-20,-49,-12,1,10,-10,-28,-19
2.002457,1,clench,4,46,-11,-8,-21,25,13,-1
2.003682,2,clench,-10,-8,-12,2,7,-6,-7,14
2.003691,3,clench,3,15,-7,0,13,5,-29,-2
2.025943,4,clench,-3,-56,33,3,-8,-3,30,-2
2.025949,5,clench,-29,17,-66,-13,11,-45,-87,-51
2.026167,6,clench,17,70,93,17,0,48,88,8
2.026173,7,clench,10,-42,8,-2,-8,3,-31,19
2.038366,8,clench,0,43,5,4,1,-14,11,5
2.038392,9,clench,5,-57,-7,-3,5,-8,23,27
2.047903,10,clench,-18,32,-18,0,-4,-16,-20,16
2.047908,11,clench,-34,-81,-39,-14,-10,1,11,-25
2.062222,12,clench,30,14,25,7,-6,-4,12,14
2.062252,13,clench,-28,-97,-40,-6,10,6,-6,-12
2.064080,14,clench,2,38,60,3,-9,1,-74,-12
2.064084,15,clench,42,-17,7,6,3,10,43,5
2.084717,16,clench,-72,-62,-31,-9,-8,-17,5,-1
2.084741,17,clench,25,-79,-18,-3,9,11,6,13
2.087148,18,clench,-17,-33,31,13,8,-18,-15,-3
2.087154,19,clench,6,69,18,4,3,21,-18,13
2.098664,20,clench,21,-18,17,7,1,2,-26,16
2.098699,21,clench,-33,-52,-11,-15,-10,-14,-8,-15
2.108505,22,clench,-2,13,-50,-11,-8,-34,64,15
2.108509,23,clench,-19,88,28,-1,-4,-18,-65,-32
2.122176,24,clench,56,-35,-20,-3,8,37,79,1
2.122211,25,clench,23,-43,43,14,-5,14,-35,-12
2.123750,26,clench,-16,-53,-70,-13,11,-3,7,-5
2.123768,27,clench,5,-21,22,5,4,-5,-1,-33
2.143707,28,clench,-25,32,4,-8,-18,-21,-18,10
2.143729,29,clench,4,84,31,8,-1,-5,25,9
2.152548,30,clench,18,32,-28,-2,4,12,-10,-12
2.152552,31,clench,-15,-120,-46,-4,5,-16,0,-11
2.158464,32,clench,-2,103,18,0,6,1,-54,4
2.158487,33,clench,63,117,63,-3,-26,40,70,18
2.167340,34,clench,-32,-88,-26,-4,11,-8,-46,-28
2.167347,35,clench,-13,-70,-18,-4,-6,3,22,15
2.183357,36,clench,15,20,4,-4,-10,-9,0,-7
2.183363,37,clench,-13,50,9,6,4,-23,-12,-9
2.183733,38,clench,41,-15,-11,-10,-9,26,3,-29
2.183741,39,clench,-34,53,-7,-1,-2,0,4,19
2.204979,40,clench,-8,63,32,10,8,15,34,7
2.207489,41,clench,-3,-89,20,6,3,-33,-53,20
2.207495,42,clench,3,90,14,8,8,29,-2,-4
2.207497,43,clench,3,-77,-1,-6,-5,-17,19,-56
2.218389,44,clench,-12,-46,-21,-9,-7,5,5,-5
2.218595,45,clench,-3,-12,2,-1,-5,-17,-9,-2
2.228159,46,clench,-4,-63,17,3,-17,-25,-19,19
2.228163,47,clench,63,16,-9,-1,-2,20,6,28
