timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.008779,2,20,6,0,2,-6,0,-2,2
2.009024,4,-2,-3,-1,1,12,3,41,2
2.009027,76,75,12,4,-1,-1,6,40,2
2.009029,-123,-128,-19,-6,-5,-19,-21,-57,2
2.031629,127,37,7,2,0,8,4,18,2
2.033824,-59,10,4,1,0,3,-3,-35,2
2.033829,20,39,6,1,0,0,-2,27,2
2.033831,10,58,3,1,6,32,-3,15,2
2.045107,-37,-18,4,2,-2,-12,7,4,2
2.045124,-62,-61,-12,-6,-4,-17,-3,6,2
2.053625,8,-2,-4,0,-3,28,-7,-72,2
2.053877,-37,-25,-8,-4,-1,4,-2,-31,2
2.068353,-80,0,-5,-1,-2,6,-5,-7,2
2.068385,56,11,10,3,1,2,5,28,2
2.070454,-55,18,-2,-2,-2,-6,-1,-5,2
2.070459,-32,-20,-1,0,-3,-8,8,-22,2
2.091191,21,-38,-8,-5,-3,-31,-11,43,2
2.091218,57,86,0,1,0,33,1,-34,2
2.091657,-85,-94,-7,-4,-1,-5,0,29,2
2.091675,27,31,8,1,-3,-11,-2,-11,2
2.105103,29,13,1,-2,0,5,-12,-27,2
2.105120,-17,-98,-12,-1,2,15,19,-30,2
2.113367,-67,37,1,-1,-3,0,4,53,2
2.113391,60,56,8,1,-3,-12,-2,39,2
2.128298,-69,-63,-6,-3,-3,10,11,11,2
2.128322,-4,39,5,1,0,-9,-9,0,2
2.129299,0,-49,-9,-1,-1,2,-5,-32,2
2.129302,24,32,7,1,0,-15,1,4,2
2.151781,-16,8,7,0,-4,4,-7,-1,2
2.151786,-37,6,2,0,-2,-2,0,11,2
2.151788,79,7,-2,-1,-2,-9,-2,-18,2
2.151790,4,3,-8,-2,0,-9,2,16,2
2.165358,28,43,4,2,-1,2,-6,-19,2
2.168044,-40,-19,-2,-3,-1,-10,0,16,2
2.173276,49,24,2,1,-1,-1,4,7,2
2.173294,-25,21,-3,-2,1,5,-6,-32,2
2.188465,15,-2,-2,-1,-1,7,6,-6,2
2.188487,5,-9,3,0,1,-9,0,30,2
2.189078,-18,15,-7,-7,-5,-8,-11,-73,2
2.189121,-16,-6,-3,-3,-2,-4,-1,5,2
2.211565,-85,39,-3,-2,-2,-10,-3,9,2
2.211594,14,-6,-4,-2,-2,6,7,-4,2
2.214064,-40,-11,2,1,-1,-3,-2,-6,2
2.214070,54,50,3,-1,-1,-3,0,-11,2
2.225307,34,-59,-6,0,0,3,-3,1,2
2.225328,34,50,-1,0,-2,-4,-2,40,2
2.233439,-63,-40,-5,-2,0,6,0,-33,2
2.233458,-73,-46,-5,-2,-3,-6,-3,-4,2
2.248681,16,22,0,0,-28,-3,-5,-7,2
2.248826,25,-19,10,5,56,3,-9,-32,2
2.249449,9,-10,-7,-4,-24,-20,14,73,2
2.249470,-42,-70,-16,-10,-20,27,-16,-47,2
2.270967,-9,10,-1,0,0,-23,-3,7,2
2.270995,-5,23,-2,-3,-20,-4,-2,-18,2
2.272303,0,-29,3,4,11,-1,-7,-5,2
2.272307,26,-2,5,2,10,-1,7,56,2
2.294051,-16,-3,-4,-3,-3,7,2,-14,2
2.294064,11,6,1,-3,-5,-6,-5,12,2
2.294722,-14,30,2,0,7,-5,-4,1,2
2.294787,67,12,1,1,-7,-8,2,-2,2
2.308355,-24,-24,-6,-2,11,6,-2,-22,2
2.308368,-3,32,-1,0,-7,-1,1,3,2
2.309022,-25,-11,-1,-1,2,6,-4,9,2
2.309034,74,13,5,1,0,-19,1,-3,2
2.330912,-7,-47,-12,-5,3,22,15,90,2
2.330934,13,-49,-3,-3,-6,4,-10,-83,2
2.333318,-16,40,2,1,-4,13,7,-5,2
2.333324,73,59,10,6,3,-24,-7,19,2
2.355081,-74,22,-2,-5,1,2,-7,6,2
2.355087,-57,-81,-10,-5,-10,-7,-9,-53,2
2.355089,72,12,-1,-1,2,-2,1,52,2
