timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
5.003582,49,-17,-6,2,21,-1,1,11,1.622199213
5.003684,-30,-3,1,0,2,-6,7,-6,1.622199213
5.003692,-24,-6,-6,-5,44,38,-7,1,1.622199213
5.003696,-8,-12,2,4,13,35,-11,-35,1.622199213
5.024206,-3,11,1,1,-40,-83,-14,10,1.622199213
5.025540,33,-6,0,-7,23,66,-27,4,1.622199213
5.025545,-41,51,2,1,-3,-23,2,-5,1.622199213
5.025547,10,-21,-1,4,24,15,7,29,1.622199213
5.037703,-22,1,-7,-17,-47,21,0,-7,1.622199213
5.038574,-4,-2,0,8,19,-34,-12,-12,1.622199213
5.047543,57,2,2,3,11,-16,7,2,1.622199213
5.047556,-14,-5,0,-2,-39,-9,13,-17,1.622199213
5.061592,-35,12,1,12,47,16,12,11,1.622199213
5.061616,-15,-6,-2,-11,5,-4,-5,12,1.622199213
5.063361,21,2,-6,-21,9,61,-2,-21,1.622199213
5.063378,6,-15,-2,11,14,-52,-27,7,1.622199213
5.084202,19,5,2,0,-26,-12,-4,-9,1.622199213
5.084221,-3,5,-5,-5,-55,-19,19,-7,1.622199213
5.085606,15,-7,1,-5,68,11,22,8,1.622199213
5.085624,-4,5,1,5,-2,-15,-37,-1,1.622199213
5.106786,-32,37,0,-6,46,73,-7,5,1.622199213
5.107721,16,-18,-2,2,30,-54,9,13,1.622199213
5.108024,3,-2,-2,3,-16,-41,-23,-32,1.622199213
5.108048,-5,-11,-2,-3,-14,22,6,15,1.622199213
5.120724,-14,-5,5,3,-7,12,21,-9,1.622199213
5.120747,-3,0,0,2,-35,0,-27,-22,1.622199213
5.129856,-10,10,3,5,-14,-41,12,9,1.622199213
5.129862,6,16,-2,-3,36,7,24,77,1.622199213
5.144156,-50,3,-2,-10,-25,0,9,-3,1.622199213
5.144175,37,-7,-5,0,3,4,-8,2,1.622199213
5.145654,4,-12,-3,5,-11,-16,2,-12,1.622199213
5.145670,-19,-3,1,-10,-27,12,-10,-22,1.622199213
5.167477,7,1,0,2,13,15,-10,12,1.622199213
5.167506,-3,7,0,8,44,14,-10,-5,1.622199213
5.169295,-3,-1,3,-4,-85,-41,2,8,1.622199213
5.169308,2,-13,-2,-3,-13,42,-2,-37,1.622199213
5.181729,44,16,-1,0,12,5,-9,-6,1.622199213
5.181749,-17,-18,-5,3,-2,-1,4,-19,1.622199213
5.183365,8,33,-2,-19,-49,-9,-25,7,1.622199213
5.183375,-2,-9,-5,9,76,23,-3,4,1.622199213
5.205767,-3,-15,0,-1,-41,-24,-1,0,1.684021905
5.205778,17,17,0,2,0,5,7,15,1.684021905
5.205781,-30,-8,-4,-15,33,20,5,-10,1.684021905
5.205784,23,-7,0,15,-1,-57,14,13,1.684021905
5.226620,-25,-8,0,4,0,13,-19,2,1.684021905
5.226642,1,3,0,2,32,23,0,-45,1.684021905
5.228229,-19,-37,-8,0,-42,20,-4,-1,1.684021905
5.228258,15,11,-1,-11,-30,-5,3,-8,1.684021905
5.241041,-22,-20,-2,0,47,3,-3,-8,1.684021905
5.242469,-19,8,0,-2,-26,-1,2,27,1.684021905
5.247820,15,-6,-1,-2,-14,-15,-10,-24,1.684021905
5.247837,-27,28,3,5,7,44,-1,-12,1.684021905
5.264176,10,-1,-3,-8,-22,-52,3,12,1.684021905
5.264193,17,-23,1,-10,6,37,0,0,1.684021905
5.266558,-19,9,-3,24,51,-3,-27,-1,1.684021905
5.266577,15,-10,-5,-11,-22,-26,1,12,1.684021905
