Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
125,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
296,11,-3,0,1,-1,-5,-4,0
357,-25,1,1,-3,-4,-3,-7,-19
409,-7,-2,-2,-1,-1,-2,2,-6
470,2,-10,-8,-2,-4,-3,-4,-4
534,5,10,5,2,0,-1,-6,1
589,-1,0,3,-2,3,0,9,13
644,-5,-2,-5,-2,2,-1,-4,-6
696,-3,-6,-4,-2,2,3,1,5
748,-3,-4,-2,0,-4,-4,0,0
806,-11,0,0,-2,-1,-11,-2,6
853,5,-4,0,-2,-5,0,2,5
912,2,6,3,3,5,-1,3,6
963,0,-2,-4,-5,-1,5,5,14
1024,-28,4,0,-2,-23,6,5,4
1076,-6,0,-1,0,5,-5,-1,-1
1129,-3,4,-2,-1,6,-1,7,9
1184,12,1,2,0,2,2,8,10
1236,30,2,-4,-1,5,-6,-8,22
1295,10,-3,-2,-4,-28,-15,-4,1
1358,4,5,4,-1,-14,-4,3,2
1405,-7,3,0,0,12,-6,-5,-1
1459,-69,-9,-2,-1,-11,-2,-8,-7
1512,20,1,-3,-2,33,-5,-7,-21
1566,-12,0,4,-3,-7,-2,-3,8
1617,17,3,3,-1,-4,-3,6,14
1672,-19,-7,-6,-3,-4,-1,-1,5
1738,24,1,-3,3,16,3,6,2
1798,13,0,-1,1,6,-1,2,9
1857,14,-3,-2,-1,11,2,0,2
1911,3,4,7,1,2,-4,1,6
1974,10,2,4,1,-4,-3,0,10
2036,-3,-6,-6,-1,-5,-3,-2,-7
2098,-1,1,-1,-1,2,-2,-6,-2
2161,4,3,0,0,2,4,9,23
2210,18,5,0,-2,-12,-3,-2,18
2262,-3,-6,-3,-6,-8,-4,-7,9
2315,-14,6,1,2,-7,0,1,4
2368,0,-3,-3,-2,-3,4,3,-3
2421,8,2,-2,-2,-2,0,-6,-17
2478,-11,-1,-3,2,15,2,-1,1
2540,-33,1,-3,-5,-9,-3,-7,-41
2601,-49,-2,0,-2,-6,-3,-4,-9
2653,-7,0,2,3,4,-5,-2,-5
2715,21,-5,-5,1,3,15,-5,21
2784,20,4,-4,-4,19,-2,3,1
2842,4,0,-2,-9,-128,-41,2,-22
2901,-87,-6,-5,-5,-59,3,7,-38
2954,-14,-4,0,-6,1,9,1,6
3016,-9,-3,0,11,95,28,-2,7
3079,-54,-7,-6,1,-15,-27,2,-13
3143,3,-1,1,1,-11,5,-10,-21
3200,-26,-10,-5,-2,5,5,-4,-22
3252,-48,-7,-2,3,-11,-1,-7,-54
3306,-5,-11,1,-4,-15,-1,0,-9
3358,-2,-9,-1,-2,-5,3,3,25
3411,7,-2,-1,4,15,6,0,14
3463,9,-2,-3,-4,3,7,-9,-44
3522,8,-2,-1,1,14,-5,-1,7
3584,-1,-4,-4,-10,-46,-29,-2,8
3644,-2,-2,-1,-2,-8,-4,2,-5
3695,27,7,2,2,-3,-3,1,12
3762,-12,-6,-6,-1,-13,0,-5,0
3820,1,-6,-7,-3,-17,-5,1,11
3884,-2,-1,-4,-5,-12,-1,-5,12
3944,-12,0,-2,0,-6,-7,-6,-6
3994,0,0,1,1,-3,-5,1,-3
4058,-3,3,1,3,2,6,13,39
4122,15,3,2,-5,0,-5,-6,-4
4184,-32,-5,-2,-1,-7,-3,-8,-18
4244,7,0,-2,-1,1,0,2,-9
4296,15,1,-3,-4,0,-1,0,3
4349,-7,-2,1,2,11,-1,3,13
4400,-3,1,-1,3,-7,0,2,19
