Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
141,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0
250,-1,-1,-2,0,-1,-3,-2,1
310,-4,-1,0,-4,2,-1,-1,-6
360,-2,-1,0,-1,-4,-2,-2,-4
419,-1,1,2,1,-1,2,-2,-5
479,-3,-2,0,-1,-1,-1,-1,-5
532,-2,1,-2,0,0,1,-1,-2
594,2,1,-1,1,-2,-3,0,1
657,-1,-3,1,0,-2,-3,3,4
718,-2,-6,-3,-3,-1,1,0,0
780,0,-2,1,-1,2,0,0,5
843,1,1,-1,0,-3,2,-1,6
900,-1,0,1,0,0,-3,-1,-1
952,0,2,1,-2,-4,-1,-3,-4
1005,-2,0,0,-4,0,-2,1,-3
1058,-1,0,-3,-1,-2,1,-3,0
1109,-1,-1,3,-1,0,1,-1,-3
1163,1,-4,-3,1,-1,0,-4,-1
1220,-1,0,1,-2,1,-1,-1,0
1284,0,0,1,0,-1,-5,-2,-5
1342,-2,-2,0,0,3,0,2,-2
1394,0,2,-3,0,0,-1,-2,-1
1447,2,0,-5,-1,-1,-2,-2,-1
1505,-2,-2,0,-1,-2,0,1,-3
1568,0,-1,-1,1,-1,-1,2,-4
1628,1,-2,-1,1,-1,-1,-4,-2
1687,2,-1,0,-1,-2,-2,-1,-1
1740,-1,-4,2,0,1,1,-1,-2
1802,-1,0,-2,-1,-2,0,0,3
1869,-1,-4,-1,1,4,-3,-1,-2
1927,-3,-1,-1,0,-1,0,-4,-3
1988,-2,-1,-1,2,1,0,-3,0
2048,0,-2,0,0,2,-2,1,-2
2108,-1,-1,0,-1,-1,0,1,1
2161,-2,-3,2,-4,-5,0,1,-1
2212,0,-1,-1,-1,-1,2,-2,-1
2272,-2,-4,0,-1,1,-1,-1,1
2328,0,2,-1,2,-2,0,-1,1
2383,-2,-2,-1,-2,1,0,-5,-7
2434,-3,-1,0,-2,-1,0,1,2
2493,-1,-2,-1,0,-4,-1,1,-1
2551,-5,-1,0,-1,-1,-2,-4,-3
2602,0,-2,-3,1,0,0,0,0
2666,-2,-2,-4,-3,-2,-2,1,0
2729,-1,-2,0,-2,1,-2,1,-3
2791,2,-2,-3,-4,-2,-3,-1,1
2850,-1,-2,0,0,-2,-2,0,4
2904,-3,-2,-1,0,-1,-3,-2,-1
2965,-3,0,-2,2,0,-1,1,10
3034,1,-4,0,0,-3,1,0,-3
3089,-1,0,-2,-4,1,-3,-1,0
3151,-2,-2,2,3,0,-1,-1,-4
3211,-1,1,-1,2,1,0,1,3
3264,2,-2,-3,-2,-2,1,-1,9
3318,3,2,-3,-3,-2,-1,0,0
3367,-1,-2,0,-1,1,-1,-1,-2
3420,-1,-1,-1,-1,0,-1,2,1
3473,1,1,-2,-2,1,-2,-4,1
3530,0,0,0,0,-1,0,-1,10
3593,-1,-1,3,0,2,0,0,3
3654,-2,0,-1,-4,-1,0,-4,-6
3713,0,-1,-2,-1,1,-3,1,-1
3765,-1,-3,0,-1,0,-2,1,0
3819,-2,-2,-2,-2,-1,-3,0,-2
3871,0,2,-1,-2,0,-3,1,6
3922,-1,-2,1,0,-2,-2,-2,1
3976,1,-2,-1,1,-1,-3,3,-1
4034,-1,0,-1,0,0,-3,-1,-2
4095,-1,-1,1,-2,1,-3,-2,-3
4156,-1,0,-1,1,-4,-1,0,-1
4218,-1,-2,-1,-2,-3,-3,-2,-9
4269,-1,-4,-1,3,-2,-5,-3,0
4321,-2,-1,-3,-4,1,2,-1,0
4373,-1,-3,-2,1,-4,-3,-1,-3
4436,2,-1,-2,-4,-3,-4,-8,-7
4487,-3,-1,-1,0,1,0,-2,0
4538,-3,1,1,1,0,-1,-4,-6
4590,-1,-1,-2,-3,-1,-3,-3,-5
4642,-3,0,-3,-1,-4,-2,-1,-3
4695,1,-2,1,-3,-3,-2,0,0
4752,-1,-1,-2,-2,-2,-2,-4,1
4817,-5,-3,-2,-2,-2,1,0,-4
4876,-4,-2,-1,-3,1,-4,-6,-7
4936,-2,2,-1,-2,-3,2,3,14
4988,-3,1,-2,-2,-4,-2,0,4
5039,-1,-2,-3,1,-1,1,3,20
5093,-3,-2,-1,-2,-2,-2,-2,-5
5149,-3,1,-1,0,-2,2,0,0
5199,-2,0,-3,-4,-2,-2,-1,-10
5251,-1,1,-1,2,-2,-3,-3,9
5303,-3,3,-2,0,0,2,-2,-1
5365,0,0,-2,-2,1,-3,2,8
5414,0,-2,-1,-1,-1,-2,-4,-2
5476,1,-1,-2,-3,-1,-1,0,3
5535,-1,-5,0,0,1,-2,1,1
5588,0,-3,-2,-3,0,-2,3,3
5642,-3,-4,-1,-4,-4,-1,-2,-21
5692,-3,-1,-2,-4,-1,-2,-4,-31
5746,2,-4,-1,-4,-1,1,2,6
5799,-1,-3,1,-3,-2,-2,-3,-7
5858,-2,-1,0,-1,-4,-3,0,-11
5920,-2,1,-3,-1,-2,1,0,-17
5979,0,0,-2,0,0,-1,1,0
6030,-1,1,-1,0,-2,-3,0,6
6082,1,2,-1,-1,1,-1,-3,2
6136,-1,-1,-2,-2,-1,0,-2,8
6193,-1,1,-1,-3,-1,-5,-4,-16
6242,1,-4,-4,1,-2,-1,1,3
6298,0,0,0,5,-4,0,6,36
6366,-5,2,-2,0,-1,-4,1,14
6424,-1,0,-2,2,-2,1,0,-5
6481,-1,-4,0,-2,-1,-5,-2,3
6535,-2,-1,0,-2,-2,-1,-1,-11
6596,0,-2,-3,-1,-3,-1,-4,0
6648,2,0,3,1,1,0,-2,-9
6698,2,-1,-2,-1,-3,-3,3,3
6754,0,0,1,-1,0,-1,-1,9
6804,0,0,1,1,-1,-1,-1,11
6862,-2,1,-1,-1,1,-2,4,2
6925,-4,0,3,-1,0,-1,-2,-2
6976,1,-3,-2,1,-4,1,1,23
7027,-1,-1,-2,0,0,0,-1,0
7082,-4,-4,-3,-4,-2,0,-2,-9
7142,3,1,-1,0,-1,2,1,12
7194,0,-2,-4,-3,-2,-1,0,-6
7247,-1,1,0,1,0,-1,-2,15
7297,3,0,2,2,-1,-4,0,13
7351,2,-1,1,2,-2,-3,3,29
7407,-2,-2,1,2,3,-1,0,4
7461,2,-3,-5,-5,-1,-1,-2,-19
7524,0,-1,1,-2,-1,-3,1,1
7585,-2,-1,-2,-1,1,1,-5,-7
7648,-3,-2,0,1,-1,-3,-3,-9
7695,0,1,-3,-1,2,-2,-5,3
7754,2,1,-1,-2,1,-1,-2,-1
7801,-1,0,0,-2,-2,0,1,2
7851,0,0,1,-1,-1,0,3,8
7906,-4,-1,2,0,-2,-3,-1,27
7961,0,-2,0,-1,-2,0,1,8
8023,-1,0,-5,-5,-2,-4,-4,-16
8084,1,-1,0,-1,0,-2,0,-6
8146,-4,-5,-3,0,1,-1,-3,-5
8213,0,1,-3,1,-2,1,0,3
8265,0,0,1,-1,-3,-2,-1,-2
8320,-1,-2,1,-2,-2,-2,-1,-1
8375,3,-1,1,-2,-1,0,0,-3
8423,-2,0,-3,0,0,1,-3,-6
8476,-1,2,0,2,0,2,2,8
8529,1,-1,0,-1,-4,-1,0,0
8586,-2,-4,0,-2,-2,-2,-2,-5
8651,-1,0,-2,-1,0,0,-4,-2
8711,-3,-3,0,-2,-2,-1,-3,-6
8771,-1,1,-1,2,1,-2,-3,-4
8826,-1,-1,-4,-1,0,-1,-1,6
8887,-2,0,-1,1,0,0,0,3
8948,2,-1,-1,-3,-3,-1,-1,-1
9010,0,0,-3,-2,0,-3,0,-3
9070,0,-2,-1,0,-1,1,0,0
9123,-3,0,0,-1,-2,-2,-1,-4
9186,-1,-5,-1,-3,-1,-5,1,-2
9249,2,2,-4,0,-2,-1,-2,0
9316,-2,-1,3,-2,2,-1,-3,-1
9360,-1,-3,-2,-2,1,-2,-4,-2
9426,0,1,-1,0,-2,0,0,-4
9488,-2,1,-3,-3,2,-2,-2,-2
9547,0,-4,0,-2,1,0,0,2
9613,0,-4,-2,-1,1,0,-2,-1
9670,-1,0,-4,3,1,-1,-1,-1
9724,-2,-3,-3,-1,0,1,-1,0
9773,-3,-2,0,-2,-1,2,1,0
9828,-5,1,-1,0,-3,-1,-3,0
9878,-2,-1,4,-2,2,-2,-1,0
9934,-3,0,-1,-1,-2,0,1,1
9989,-4,-2,1,-1,-1,1,-1,-5
10051,1,-3,0,-2,-3,-1,1,-4
10116,3,1,-1,-4,0,-1,2,5
10179,2,1,-1,1,1,0,0,3
10232,-2,1,-1,0,0,1,4,3
10290,0,0,-2,0,2,1,-1,1
10352,-3,0,1,-2,-1,0,-1,-5
10412,-2,-3,-4,0,-1,1,-5,-3
10481,-2,-2,0,-2,-1,-4,1,1
10525,0,3,0,0,-4,-5,-2,-1
10576,1,-2,-1,-1,0,0,2,-2
10628,-7,-2,-1,-1,-4,-2,0,-7
10682,1,-2,-1,0,1,1,-1,-4
10734,-7,-2,1,-2,-1,-3,-5,-14
10793,-4,0,3,0,1,1,1,-1
10855,-1,-2,-2,1,-3,0,-2,-3
10922,0,0,-1,-1,-3,-1,-2,4
10965,-2,2,0,1,1,1,0,-4
11027,-6,1,-3,2,-1,0,-5,-4
11091,1,-3,-3,0,0,2,-2,3
11154,1,-4,0,2,-1,3,1,2
11215,-1,1,-1,-3,-1,-1,-1,0
11276,-1,0,-1,-2,-1,-3,-5,-3
11329,-2,-1,-2,1,-2,-1,-1,0
11390,-4,0,-3,-3,2,-3,-4,-1
11453,-1,-1,-1,-2,-2,-4,0,2
11515,-1,-1,-3,-3,-1,1,-4,-1
11575,-4,-4,-1,-2,-3,-2,-2,-2
11636,-2,-1,-2,-1,-1,-5,-1,-2
11689,-6,-4,1,-4,0,-1,-3,-3
11752,-4,-4,-1,-1,-1,5,-4,1
11807,-3,1,-2,1,-1,0,0,2
11860,-7,-2,0,-1,-1,1,-1,-12
11913,-4,0,-1,2,1,-1,0,-12
11965,-3,-1,-2,1,-3,-1,-3,-5
12018,0,-1,-1,-1,0,-2,1,2
12078,-13,-4,-2,-2,0,0,-1,-37
12130,4,4,-4,-1,0,2,-2,15
12182,-3,-2,-2,-1,-1,0,-2,-6
12234,-7,-4,0,-1,0,2,-2,-10
12286,-5,-4,-3,-2,-1,-4,0,-15
12341,-4,-2,-1,1,-1,1,0,-4
12397,-5,-4,-3,2,1,1,-2,-6
12459,-6,-6,-1,-1,-4,-2,-1,-8
12523,0,1,-1,1,0,-1,0,-3
12569,-4,-3,1,0,-2,0,1,-5
12625,-1,1,0,-1,-1,-1,0,-4
12676,-3,-2,-2,-2,-2,-1,-3,-5
12737,-3,-2,-3,-1,-4,-2,-5,-2
12790,-2,0,1,-1,-3,-3,-2,2
12844,-4,-1,-5,-1,2,-1,-2,0
12894,3,-1,-1,4,0,-5,0,-1
12947,0,1,-2,1,-2,-4,0,-1
13002,-4,-1,-1,-3,-2,0,0,0
13059,3,-2,2,1,1,1,1,1
13119,1,1,-2,0,1,2,-1,2
13181,0,-2,-2,0,0,-4,-1,-3
13241,-4,1,1,-2,-3,-1,-3,-1
13292,-1,-1,-2,3,-3,0,-1,-1
13344,-2,1,-6,0,1,-1,-2,-1
13402,-2,-2,-4,-3,0,-3,-2,2
13449,2,-1,-2,-1,3,1,1,-1
13503,-1,-1,-2,2,-2,-2,-2,1
13559,-1,-1,-2,-1,0,2,-3,0
13630,0,-2,0,0,-1,-1,-4,0
13686,0,-1,0,-1,-4,0,-3,0
13742,-1,-2,0,0,2,-3,-3,1
13800,-2,-1,-1,0,-1,1,-2,0
13860,-3,-1,-1,-3,-3,2,-3,-1
13924,-3,-1,2,0,-4,-3,-3,0
13984,-2,1,1,-2,0,0,-1,-1
14033,-3,1,0,-1,0,-1,-4,-4
14087,-1,-1,-1,1,-1,-1,-1,-2
14140,-3,-1,1,-2,-2,-2,-1,-3
14189,-3,-1,-1,1,-2,-1,-3,-1
