Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
161,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0
253,20,9,3,-2,-9,1,0,4
303,-24,-17,-4,-1,-9,-7,-4,-18
355,-7,-11,-2,3,-1,-4,1,-1
410,23,-4,-5,-2,-7,5,2,-15
462,0,-12,-5,5,11,5,-4,3
523,-7,-15,-5,-3,-7,5,4,2
581,23,14,9,4,1,0,1,35
641,-6,-1,-1,1,3,4,4,-6
701,-16,-5,-11,-4,-17,-1,-2,-8
754,3,-11,2,0,-4,0,5,9
807,-3,-16,-5,-1,0,-6,0,0
864,-41,-18,-7,-6,1,-10,-4,-51
925,-25,-8,-4,-2,-3,-1,0,-11
986,20,-6,-2,-4,-6,-8,-2,7
1047,5,2,-7,2,12,-11,-6,18
1097,-11,-23,-9,-9,-15,1,7,29
1160,-11,-4,-4,-6,1,-4,0,-5
1222,14,17,9,-3,-1,-7,-6,20
1285,-24,-2,-6,12,-3,9,-4,-20
1347,-15,-7,0,-4,-4,0,-1,-13
1398,-3,0,0,7,6,-2,-10,12
1450,-7,-23,-12,1,0,0,-4,-4
1506,0,-8,-8,0,2,22,1,-18
1555,-20,-15,-4,-1,-3,-8,-9,-32
1608,2,-6,-6,-6,-1,3,2,4
1661,-8,-1,1,-1,1,3,6,3
1717,-13,-12,-3,7,4,-14,-7,-17
1766,13,1,1,2,-1,-5,1,7
1818,35,7,-1,2,2,3,2,8
1871,24,-7,6,4,1,9,3,37
1928,-17,-18,-8,-6,-9,-5,-1,-6
1993,16,1,-2,-1,-5,-6,3,2
2050,-5,-12,6,5,3,-1,0,-13
2105,5,1,0,1,12,-4,-1,11
2155,36,11,11,4,-13,-4,-4,10
2208,-27,-1,3,1,6,5,-1,-13
2263,-13,1,-2,-2,-1,-6,-6,-25
2314,-22,6,-5,-1,-1,-4,-2,-26
2374,-12,-8,-10,-8,-2,1,0,-3
2435,48,8,2,-5,-2,-7,-6,-11
2495,4,-12,-2,-1,-4,3,0,6
2547,5,-4,-4,-8,-9,-7,0,3
2613,29,6,6,-3,-1,2,1,42
2674,-16,5,-1,-4,-4,4,3,6
2733,5,28,6,-1,3,-2,-1,6
2788,-1,2,1,8,0,-4,-2,-8
2838,3,-4,-2,0,2,0,0,-11
2892,4,0,-1,-5,5,-2,-1,-11
2944,7,9,-2,0,1,9,-5,2
2998,-2,-7,3,8,17,-1,0,24
3047,19,4,-5,-1,2,1,-4,6
3101,-8,-5,3,-5,-13,-3,-7,-11
3154,-8,-3,-9,-5,-7,0,2,-2
3211,-1,-8,4,1,2,3,-8,23
3274,14,2,3,-3,-3,-10,-4,1
3333,3,-14,-5,-4,-1,5,-1,13
3385,28,15,5,1,-4,2,-2,25
3437,15,3,0,-1,-8,-6,-7,-8
3490,4,0,-1,-3,-2,-1,1,-3
3544,2,3,3,0,-7,1,2,-19
3598,11,-7,-2,-5,-3,-5,2,-1
3653,1,0,-4,0,16,-3,3,12
3716,2,4,2,0,11,3,-3,-5
3779,-13,8,1,3,3,-2,1,-5
