Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
158,-1,0,-1,1,0,1,-3,-2
196,0,1,-3,-1,-4,2,-2,-1
248,-2,0,-2,-2,-2,0,-1,1
309,-1,1,-2,0,-3,1,0,-3
357,-1,-3,-2,-2,-3,-3,-1,-3
413,-2,0,-2,1,-1,-4,0,1
467,2,1,0,-2,0,-1,-2,3
531,0,0,-1,1,-1,2,-2,1
594,-2,0,-2,0,-1,-1,-3,-1
654,0,1,-1,-1,1,-1,-1,3
707,0,0,-1,-1,0,1,-1,-1
758,1,0,0,-3,-1,-1,-2,0
810,-3,-1,-3,-1,2,-4,-2,-2
862,0,-1,0,-4,1,1,-1,-2
918,-1,0,-1,1,-1,-1,-3,0
970,0,-2,-2,-2,-1,-3,-1,-1
1035,0,-2,1,-1,0,-1,0,1
1097,-1,-3,-1,-3,-1,0,1,1
1158,0,-4,-1,-3,0,-1,-1,-1
1208,-2,-2,-3,-3,-1,1,-1,1
1261,-1,-3,-2,-1,-2,-2,-1,-2
1318,-2,-2,-1,-1,1,-1,1,-3
1381,-1,-2,3,-1,-2,-1,-2,0
1442,-1,-4,-4,2,-3,-6,-2,-1
1501,-2,0,1,-2,-1,1,3,0
1553,0,-3,-1,-2,-1,-1,-3,2
1617,1,-1,-4,0,-1,1,0,1
1668,-3,0,-3,0,-1,2,3,1
1722,0,-2,-3,-1,1,-1,-1,3
1774,-3,2,1,0,-1,0,0,-3
1825,1,0,-1,-2,-2,-1,-2,-1
1884,-1,-2,-3,-1,-2,-1,-2,-3
1945,-3,0,0,-5,2,-1,1,1
1996,0,0,-2,1,-4,0,-3,0
2058,0,-1,-2,1,2,0,-2,-2
2122,0,-3,-1,1,-2,0,1,0
2184,-2,0,-2,-1,-1,0,-1,-1
2244,1,2,1,-2,0,2,-1,0
2305,1,0,0,-1,1,-3,-1,0
2357,-2,-2,-3,-3,-1,-1,0,-2
