Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
142,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0
304,-7,6,3,-10,-23,-28,-14,15
359,9,62,6,-4,-9,1,0,5
414,7,-8,1,-4,-4,-3,0,-15
465,-71,-16,-9,-24,-31,-33,-21,-24
525,75,42,17,6,18,3,1,12
585,-77,-14,-9,2,-1,15,8,17
640,37,-37,-2,-2,-26,-65,-11,-2
700,22,9,-6,-17,-18,-7,-10,42
747,0,8,-5,1,13,-9,-6,-27
802,36,-18,4,6,7,9,11,32
854,21,8,7,2,-1,11,4,15
907,-19,-46,-6,14,27,37,13,14
960,-38,-84,-34,-16,-4,4,-2,-26
1012,10,27,3,3,-6,-1,-3,-12
1063,42,46,12,14,16,26,11,-9
1117,6,-2,-3,-1,3,17,3,-2
1175,14,49,15,16,24,3,9,19
1236,39,19,-12,-19,-44,-68,-29,-15
1296,-13,1,-11,-25,-31,-39,-24,3
1348,18,-10,1,8,19,26,18,32
1403,-6,2,-10,-30,-32,-13,-16,-29
1459,-13,15,10,3,23,5,-2,-14
1522,28,1,3,5,15,11,4,0
1583,26,-4,-2,-1,13,18,6,9
1643,28,15,7,15,26,17,9,17
1695,4,15,4,-9,-3,-9,-7,-5
1747,-22,-55,-10,-1,-8,-25,-14,-58
1800,20,-10,-8,-1,5,13,-5,-5
1854,28,-2,-10,11,27,-6,15,31
1908,-62,4,-7,-12,-26,-31,-15,5
1957,10,8,-7,-1,-2,-8,-9,-17
2013,17,1,-1,-3,-5,4,1,10
2063,-9,-3,-6,-5,0,10,-5,0
2124,-69,-14,-8,-8,-2,-3,-8,-75
2188,4,19,9,8,5,25,8,3
2243,12,-23,-9,-7,-10,-18,-12,-83
2302,10,-29,-3,-4,-12,-21,-2,18
2366,3,-1,9,12,14,21,7,5
2425,-35,-9,-5,3,5,10,0,11
2474,-23,-12,6,4,12,17,9,-52
2527,-16,-3,2,2,4,-3,-1,-10
2580,-8,-33,-9,-4,-32,-52,-17,-3
2632,-23,-62,-18,-19,-27,-42,-21,-3
2689,3,3,5,-3,-11,-30,-13,-9
2745,3,-7,-7,-9,-11,-11,-4,-14
2807,-5,-6,-11,-23,-30,-8,-15,-6
2866,-70,-23,-16,-4,8,1,6,0
2919,-83,41,17,-2,-8,-6,-3,-2
2969,-2,-3,3,-3,-15,-2,0,-13
3022,39,13,4,4,7,15,7,-33
3083,-19,-29,-15,-9,-11,-4,-9,-7
3136,-1,-26,-14,-21,-16,-12,-7,-32
3189,-5,8,-4,-11,-14,-23,-10,1
3248,27,20,7,2,7,-2,-9,-1
3308,29,-3,-5,0,-8,-15,-4,47
3371,1,-25,-7,5,17,2,-1,-8
3420,5,-17,-10,-16,-16,-32,-8,-19
3472,-38,-15,0,2,11,11,-1,-19
3529,-83,1,-9,-4,6,8,-6,0
3579,-35,-9,-9,-14,-24,-32,-14,-21
3631,10,12,5,-4,-10,-7,-3,-7
3683,13,13,11,3,9,16,6,-40
3740,0,40,28,1,-32,-44,-20,-16
3794,17,25,-1,7,-2,14,13,36
3847,13,21,15,9,-1,-21,0,0
3914,-31,6,-2,4,9,3,0,4
3961,-30,14,0,3,6,5,-1,-35
4012,34,19,-5,-18,-23,-30,-13,-9
4066,5,5,6,8,7,13,2,12
4118,-2,-5,-7,1,8,-12,-1,-9
4171,-24,8,-7,-11,-8,-8,-14,-40
4222,-21,-25,-3,2,11,2,-1,-9
4275,9,6,4,1,5,6,0,-3
4329,13,33,16,18,34,40,11,18
4381,-14,20,-3,-11,-18,-5,-7,-25
4432,-13,-1,-3,2,5,5,8,7
4483,7,-4,-11,0,7,-20,-6,-32
4550,-9,3,3,2,4,8,-2,-20
4610,-8,-40,-16,-10,-18,-23,-12,-7
4656,8,10,9,0,-8,-12,-1,13
4710,15,-1,-1,8,14,18,4,29
4764,-6,-13,-4,-12,-19,-5,-2,-20
4821,-15,2,3,6,10,25,4,-42
4868,-5,-9,0,1,-3,-21,-4,-19
4927,-7,7,1,1,-1,-8,0,-2
4988,-28,-24,-10,-13,-18,-25,-15,-15
5049,5,-10,-3,-2,1,10,-1,-19
5101,8,3,1,6,4,8,3,-8
5154,0,23,1,-4,-4,-10,-8,-3
5205,-7,-3,4,9,11,9,7,2
5258,21,-4,5,-5,-9,-6,-11,0
5313,14,30,8,5,7,3,5,8
5363,-11,-14,0,10,17,15,6,-11
5416,-30,-19,-6,-11,-20,-30,-13,-13
5471,-21,-13,-1,1,2,6,0,6
5520,9,0,-2,-2,0,-18,-4,-14
5574,-3,-4,0,1,-2,-10,-7,-35
5626,-11,-1,-3,0,-3,0,5,-7
5678,31,40,11,5,6,20,12,33
5733,9,8,-3,-4,-3,3,-2,7
5785,14,20,1,-3,1,10,6,-1
5836,-22,-60,-22,-30,-44,-51,-22,-17
5890,-4,-8,6,4,11,16,4,-12
5953,-19,3,7,18,25,10,3,-24
6001,15,4,4,5,15,19,10,14
6053,27,-10,-2,3,0,16,3,21
6105,12,47,2,-12,-16,-8,-8,-26
6157,16,-11,-8,-4,-3,5,8,23
6210,30,30,9,5,12,6,1,-17
6271,-37,-3,7,10,16,0,1,21
6323,-2,20,9,12,16,30,8,20
6376,35,-1,0,-11,-36,-14,3,11
6430,-16,-5,0,8,7,-8,-4,27
6481,48,18,21,7,7,33,18,13
6533,-19,26,10,-13,-27,8,6,5
6589,-4,-1,-10,4,8,10,14,-5
6645,17,-12,-1,-2,-7,-1,0,-18
6703,16,4,13,8,22,21,7,-4
6759,-37,-9,-7,-5,2,-12,-15,-36
6811,-34,-5,7,8,11,12,2,-29
6864,16,-5,0,14,23,13,24,44
6915,-11,10,10,19,32,33,13,20
6969,46,34,10,6,9,4,3,24
7020,43,33,12,5,13,15,11,29
7073,42,11,2,0,2,16,10,64
7126,-14,-34,-14,-18,-24,-45,-15,-30
7177,7,7,-7,-24,-37,-40,-15,-16
7239,-35,-18,-3,17,48,43,10,-46
7300,7,11,-3,-5,1,3,0,9
7359,-4,20,8,-5,-23,-40,-24,-19
7412,73,23,6,5,9,26,19,17
7465,-27,-70,-25,-43,-58,-60,-26,-18
7516,-42,1,4,10,7,2,2,-56
7568,0,11,5,2,-6,10,9,33
7625,-113,-40,-12,-3,15,-2,-13,-33
7680,-11,51,18,11,5,19,5,-16
7741,-31,-15,2,4,0,9,-1,-30
7793,20,7,-1,-8,-14,-14,-8,-9
7849,-26,2,-3,-9,-14,-12,-13,-15
7898,-12,-17,-17,-21,-27,-11,-2,-24
7951,22,-18,-13,-11,-9,1,-9,11
8005,51,-25,-6,-3,-3,-3,4,-57
8057,-110,-62,-20,-9,-20,8,-9,-50
8110,4,2,5,8,16,26,1,16
8158,-17,12,15,20,44,47,17,-17
8226,1,-8,-4,0,5,9,14,34
8280,45,41,17,17,33,38,21,12
8340,13,24,19,8,-12,-1,8,14
8394,3,-2,-2,-7,-21,-5,3,53
8454,3,4,-1,7,11,11,0,2
8506,-8,-10,-8,-13,-15,-3,-1,8
8559,32,27,6,-10,-15,-14,-14,2
8617,23,-8,-2,2,9,6,-7,-9
8666,41,38,1,-8,-25,-6,-12,-18
8725,-11,13,4,-6,-30,-13,-8,26
8784,1,2,-6,1,20,6,2,-13
8836,12,9,0,-2,-5,-12,-3,2
8898,31,15,1,-1,7,27,19,70
8941,2,26,10,12,16,24,18,12
8995,8,-13,-3,-17,-25,-20,-8,12
9054,-50,-37,-5,5,18,-13,2,-14
9106,-16,-21,-19,-18,-35,-59,-26,-51
9158,3,20,14,9,0,29,12,-30
9224,14,0,2,-5,-14,-2,-2,12
9267,-61,-20,-14,-16,-27,-8,-13,-25
9326,16,-9,5,-9,-19,3,1,-8
9376,-40,-20,-4,0,0,1,-7,-55
9430,-41,-16,-14,-12,-27,-11,-13,13
9487,-2,-19,-6,-10,-20,-38,-24,9
9541,17,9,7,13,22,22,-1,10
9597,10,-14,-8,2,5,3,2,-44
9653,-35,-11,-1,6,12,12,10,-26
9703,-7,-36,-14,-12,-11,-16,0,30
9765,-11,-2,-4,-9,-3,10,6,52
9827,-55,-32,-16,-7,-12,-5,-4,-11
9888,12,16,0,-3,-22,-3,7,50
9949,42,-1,1,3,-10,26,15,94
9989,16,-16,-9,-13,-1,3,1,58
10050,11,-1,4,15,18,45,13,44
10100,-19,-4,-4,5,10,16,12,4
10150,-6,6,0,-3,1,-10,-5,5
10211,-29,-21,-9,15,0,-20,-3,-8
10258,-2,7,3,-13,-13,-5,-5,-37
10311,-18,-49,-19,-3,-27,-83,-35,-22
10367,-3,-31,-9,6,-5,4,2,-18
10426,-1,1,-1,2,3,-6,-6,1
10482,13,-12,-5,-2,-4,-1,5,19
10539,-27,-49,-1,23,27,33,24,8
10591,8,-7,-6,-5,-3,1,-3,-5
10646,1,4,8,15,10,-7,10,18
10704,6,29,9,10,7,4,4,-10
10757,6,10,8,7,3,-13,0,8
10810,5,3,-3,12,21,27,9,13
10867,-4,10,-1,3,-1,-23,-10,1
10914,-21,1,-5,-4,1,-10,-2,23
10969,-36,12,0,4,1,0,-2,-20
11017,-1,-16,-6,-7,-14,-24,-9,-4
11072,-17,6,-7,-12,-19,-17,-3,12
11130,1,-11,-2,4,5,8,1,4
11177,23,-8,-8,-23,-26,-11,-12,0
11231,5,-2,2,5,10,8,5,9
11287,-10,-9,-1,2,7,15,3,-29
11349,10,14,1,9,10,45,12,32
11409,-21,-30,-8,-3,-9,-33,-8,-15
11470,-23,19,-6,-18,-17,5,-8,-16
11530,9,8,-4,2,-8,-8,4,16
11596,22,37,11,8,20,16,9,27
11650,15,0,-1,1,5,18,5,2
11702,-24,-27,-4,-2,-20,-53,-12,0
11753,-8,6,2,5,10,14,6,-26
11808,-20,-12,0,6,11,9,8,-10
11861,13,6,6,5,5,17,2,-20
11914,-28,-50,-10,7,13,21,-1,-33
11964,27,7,-5,-12,-26,-15,-13,2
12015,-2,35,9,11,19,34,3,6
12070,-2,16,3,6,5,21,3,37
12125,-14,5,3,1,11,28,11,22
12191,-4,1,-4,-3,-9,-18,-11,-26
12257,-40,-39,-9,-9,-14,-32,-2,-32
12302,-4,-28,-8,-14,-25,-2,-9,-38
12357,12,4,-2,9,13,36,18,6
12406,-4,14,0,-3,-3,2,-6,0
12458,7,13,-2,-2,15,18,-2,-5
12521,10,5,3,-4,-13,-11,-3,13
12566,-3,27,10,9,7,11,5,-4
12620,3,32,10,15,22,21,2,0
12669,1,-8,-3,-5,5,11,-3,-37
12728,-13,31,8,-2,5,18,-3,-53
12790,10,23,-1,-9,-7,-11,-6,10
12851,-18,-15,-7,7,13,-18,3,-54
12902,10,6,-2,-14,-18,-12,-11,16
12955,-14,-25,-7,14,9,-75,-8,7
13007,15,8,5,6,9,2,-4,-41
13059,28,4,5,3,6,28,8,15
13112,-25,-3,-5,0,11,11,0,-48
13179,5,-1,-4,-5,-7,13,-1,19
13224,4,-6,-1,5,-2,-29,-1,14
13282,-28,-6,-8,-8,-1,11,-12,-42
13330,1,11,-3,-1,-6,-18,-4,-25
13381,-2,3,-5,-11,-16,-17,-9,16
13435,-7,-5,5,2,3,-6,4,24
13487,4,-5,0,8,9,-12,5,29
13539,10,21,7,-9,-12,-5,5,33
13592,23,2,5,20,27,-21,19,53
13648,8,0,9,7,12,0,3,-13
13698,-2,-4,-1,-2,7,3,-2,2
13752,-88,-17,-10,-1,11,17,3,12
