Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
137,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0
297,-38,-6,-3,-2,-1,-1,-2,18
347,5,1,-2,-2,-1,-2,-1,-3
400,-46,-4,-4,-7,-6,-4,-5,-57
452,8,1,0,0,0,-1,-4,10
514,11,0,-1,1,0,-2,-2,-10
574,28,3,-1,-1,-2,-2,-5,3
630,-3,-1,-2,-2,1,2,-1,-6
678,21,-4,-5,-3,0,-2,-7,5
730,-36,1,0,0,0,-1,0,-1
783,-66,-6,-1,0,-1,-2,-3,-28
837,22,0,-2,0,0,-2,-3,1
888,16,2,-2,-1,-2,-1,0,-4
940,3,-3,-1,-1,-4,3,6,7
993,-18,-1,-2,-1,1,-2,-2,-11
1047,-5,-1,1,0,0,-2,-2,4
1098,14,1,-1,-1,0,-1,-3,25
1148,3,-1,0,0,0,-1,0,0
1204,-1,-4,-2,-3,0,-1,-2,2
1255,-65,-6,-3,-1,0,-2,-2,-20
1307,-9,0,0,1,0,-1,-2,-3
1363,14,0,-2,-2,-2,-3,-1,-2
1413,2,-2,-2,-1,-1,-2,-1,-1
1474,13,0,-1,-1,1,0,-1,1
1527,-12,-2,-3,-2,-1,-1,-1,-3
1580,-3,-3,-5,-3,-1,-3,-3,-2
1638,10,0,0,-1,-1,-2,1,2
1699,0,-2,0,0,-1,0,1,0
1749,-10,-4,-2,-1,-2,-2,-2,0
1806,-32,-2,-1,-1,0,0,-2,-3
1857,14,-1,-3,0,1,-1,0,1
1919,2,-1,-2,0,1,-1,-2,-2
1968,-7,1,-1,0,0,1,1,4
2022,7,-7,-1,-1,-3,-3,-3,-2
2073,-19,-1,-2,-1,0,0,1,-1
2126,4,-1,-1,-3,-1,-1,-1,-1
2175,24,-1,-2,-1,-2,-1,-4,-1
2239,13,1,1,1,-1,-1,-2,0
2299,9,0,1,1,0,0,-3,0
2349,5,0,0,-1,1,-4,-1,-1
2405,-1,-2,-1,-1,-1,-1,-1,-3
2456,-9,-2,0,-1,0,-1,-2,-1
2509,-34,2,0,1,0,0,-1,1
2562,-2,0,-1,0,-1,-2,1,-2
2616,0,-2,-4,0,-2,-2,1,-2
2666,9,1,-2,-1,-1,-2,1,-1
2727,-42,-9,-3,-1,-2,-5,-6,-12
2777,1,-1,-2,2,0,0,-2,-2
2839,7,-1,1,0,0,0,1,4
2899,23,-3,0,0,0,-2,-4,-5
2950,-8,0,2,-1,0,0,0,-4
3004,10,0,-2,0,3,-2,-3,-7
3056,-2,-2,-4,-4,-3,-3,-3,-3
3109,-1,0,1,-1,0,-4,-1,0
3161,4,-3,-1,-1,-2,-1,1,-16
3216,-10,-5,-3,-3,-3,-2,-2,-13
3265,-42,-5,-3,-2,-2,-2,0,-2
3317,-5,-1,1,1,2,-4,-2,0
3380,-2,-2,-3,-3,-3,-3,-2,-1
3439,-4,-3,-2,-5,-2,-1,-1,-5
3491,-8,-2,-3,1,-3,-2,-3,-6
3544,-7,-4,2,5,4,0,-4,3
3598,6,-2,-1,-2,-3,-2,-7,-4
3649,-35,-3,0,3,0,2,5,-13
3700,6,-4,-2,-7,-5,-4,-2,5
3754,-19,-3,-5,-3,-2,-1,-1,-6
3809,2,1,1,-1,-3,-1,4,9
3870,9,0,-1,-1,1,0,2,7
3927,12,-1,-3,-5,-3,-2,-2,4
3982,-9,-2,1,-1,-1,-3,-1,6
4031,6,1,-2,-3,-2,-3,-3,-3
4091,13,1,-2,-3,0,1,-2,-2
4143,4,-1,0,-2,-4,-2,-2,0
4196,0,-1,-3,-3,0,-1,-1,1
4250,-5,-1,-1,0,0,-2,-3,0
4301,-3,-1,-1,-1,-2,-2,-1,1
4355,5,-1,-1,-1,-3,0,0,3
4407,1,0,2,1,0,0,0,3
4459,13,-2,-2,-1,0,-1,-2,-3
4511,0,-3,-3,-3,-2,-2,0,-2
4563,-1,-1,-3,-1,-1,0,-1,0
4615,-3,-1,-2,-2,-1,0,0,-2
4670,-8,-2,-2,-2,0,-3,-1,-1
4727,-15,-4,-3,-2,0,-2,-2,-5
4789,4,2,0,-1,0,-1,0,0
4850,2,0,-2,0,-1,-2,-2,-1
4900,3,-1,-2,-2,0,0,0,1
4954,2,-1,0,0,-1,-2,-2,-2
5008,-5,-1,0,-2,-3,-1,0,-1
5057,-4,-1,-1,-2,-2,-3,0,0
5116,2,-2,0,0,-1,0,-1,0
5163,-3,-1,0,0,-2,-3,0,1
5217,-3,-1,-2,-2,-1,-1,-2,0
5269,-12,-1,-1,0,-2,-2,0,1
5325,7,-1,-2,0,0,-1,1,1
5377,-1,-1,-2,-1,0,-1,-1,-2
5427,-9,-2,-1,0,-2,-1,-1,-4
5479,-1,-1,0,-1,-2,-1,0,0
5533,-3,-2,-1,-1,0,-1,1,-1
5592,3,-2,0,0,-1,-1,0,-2
5654,-5,-1,2,1,-4,-2,0,1
5703,0,-4,-3,-2,-1,1,-1,-5
5757,-5,-2,-3,-2,-2,0,0,-2
5808,2,-1,-1,-3,0,-1,-2,-1
5861,-1,-1,-1,-2,-3,-2,-3,-1
5915,0,-2,-2,-2,0,-1,-1,0
5967,4,0,0,-1,0,-3,-2,0
6022,-2,1,2,6,-1,-1,-2,-1
6073,-5,-3,-2,-1,-2,-2,-1,-3
6133,19,1,0,2,-2,0,-2,1
6194,-7,-1,-2,-7,-7,-4,-4,-3
6244,3,-1,1,0,-2,0,2,2
6297,0,-1,-1,2,0,0,-2,0
