timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.009313,-3,-2,-2,-2,-2,-1,-4,-2,2
2.009744,-1,0,-2,-1,-1,0,-3,0,2
2.01064,-3,-1,-1,0,-1,-2,-3,-4,2
2.010665,1,-2,-2,0,-1,-1,-1,-1,2
2.031453,-1,0,0,1,-1,-2,-2,0,2
2.031471,-2,-4,-1,-2,1,-3,0,-3,2
2.032989,0,0,-1,-3,-2,-2,0,0,2
2.032997,0,-1,-1,-2,-1,-1,-1,0,2
2.054769,-1,-3,0,1,0,0,0,-1,2
2.054789,0,-1,1,2,-1,-2,0,-2,2
2.055542,2,3,1,1,-1,-1,0,4,2
2.055586,-2,-2,-2,-1,0,0,0,-1,2
2.068793,7,5,1,0,-1,1,1,3,2
2.068806,-12,1,-2,-4,-4,-1,-3,-8,2
2.075282,12,-6,-4,-1,0,-1,-3,-3,2
2.075306,10,0,-4,4,5,4,6,9,2
2.092401,-4,30,8,3,3,6,9,4,2
2.092432,-83,-62,-8,-2,0,0,0,5,2
2.094442,10,18,-3,1,1,-3,4,1,2
2.094449,58,-1,-2,-3,-7,-8,-16,8,2
2.114076,-8,-6,-1,-3,1,5,-1,-31,2
2.114104,-16,17,-2,-4,-8,-23,39,-3,2
2.115834,-7,-9,-1,-9,-15,-17,-48,1,2
2.115848,11,9,5,10,19,28,23,-10,2
2.128431,48,21,10,16,39,40,72,93,2
2.128459,11,-4,-5,-9,-13,1,-58,-24,2
2.135242,-28,-18,-8,-14,-33,-39,-14,-17,2
2.135268,-15,12,-3,-3,-11,2,-38,-37,2
2.151527,21,2,1,1,-9,-37,43,-8,2
2.151561,60,40,19,24,60,85,33,74,2
2.153249,-8,-9,14,21,45,30,-4,27,2
2.153284,-47,-17,-10,-17,-42,-46,-37,-34,2
2.174311,-18,-3,-15,-18,-42,-20,36,-11,2
2.174354,13,-14,-13,-23,-38,-53,-16,32,2
2.17624,11,15,-16,-20,-41,-22,6,-43,2
2.176258,9,5,25,17,31,16,127,-28,2
2.188598,-62,-26,-23,-24,-28,-16,55,1,2
2.188635,-11,-10,-1,14,37,56,-30,-11,2
2.195192,-3,-15,14,19,43,44,-25,18,2
2.195221,-17,-9,-11,-8,-18,-39,-91,29,2
2.211369,25,23,11,15,45,88,-19,63,2
2.211387,-10,-15,-12,-17,-50,-111,-42,-91,2
2.213161,-7,5,-5,-2,6,-8,-92,-45,2
2.21319,3,-5,-4,-5,-6,10,101,38,2
2.233889,-8,-18,-5,-4,-15,-25,-58,-36,2
2.233907,48,24,10,17,42,59,23,34,2
2.235435,-12,-23,4,-2,2,45,80,86,2
2.235452,-6,29,3,2,5,-9,-59,-43,2
2.248562,-8,-41,-3,8,12,-21,75,25,2
2.248581,-15,8,-2,-13,-55,-101,-9,-14,2
2.25539,-12,-10,3,5,6,35,-43,-54,2
2.257259,-3,-12,-10,-15,-24,-55,5,55,2
2.272388,8,22,4,1,3,17,-21,-23,2
2.272406,-4,-10,0,4,24,30,30,21,2
2.273122,19,14,1,-3,-6,-17,32,11,2
2.273147,-2,-5,-3,0,5,26,23,11,2
2.293945,5,0,5,5,14,-13,-109,-52,2
2.293965,3,1,-4,-8,-8,42,38,-3,2
2.296673,1,-4,-11,-11,-32,-72,0,3,2
2.296681,43,40,3,7,15,34,-4,29,2
2.307985,-49,-45,-9,0,14,23,105,-87,2
2.308022,-53,-25,-8,-15,-25,-20,-48,-86,2
2.317951,9,-1,3,-1,0,6,51,38,2
2.317958,1,12,-2,-1,-7,-10,-23,1,2
2.331549,41,9,7,5,6,4,31,37,2
2.33157,-10,-3,-1,2,13,22,-24,-16,2
2.333153,8,19,1,1,-7,-12,-8,-4,2
2.333166,-23,-24,0,3,5,12,-16,-24,2
2.354053,-17,-9,-10,-9,-4,3,-4,36,2
2.354119,14,10,4,4,-1,0,3,4,2
2.357028,49,42,4,6,19,55,37,13,2
2.357055,-51,-46,-3,-3,-6,-6,-55,47,2
2.367479,-1,-6,-3,-1,-13,-13,4,9,2
2.367498,17,8,0,-2,-7,-7,8,3,2
2.376742,-8,2,-4,0,1,-4,21,8,2
2.376755,-2,3,4,4,12,26,30,-15,2
2.392003,2,-1,-3,-9,-13,-6,-111,-7,2
2.392034,18,15,2,6,16,-2,11,27,2
2.394165,-4,-3,-1,-1,-4,5,16,16,2
2.394172,9,-10,-6,2,23,29,76,13,2
2.413944,-18,-2,0,-11,-20,20,-26,-15,2
2.413957,11,17,1,1,0,62,68,-6,2
2.415384,-17,-8,1,2,8,27,4,-16,2
2.415414,-4,-3,3,3,-5,-9,12,-9,2
2.429242,21,11,10,7,22,26,-9,23,2
2.429248,2,-1,1,3,5,-16,17,23,2
2.435239,-9,-8,-8,-10,-12,-31,-48,-20,2
2.435257,11,26,1,-1,8,19,72,-12,2
2.451605,7,12,0,-4,-12,-39,18,-28,2
