timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.011213,4,1,7,4,2,1,0,1,0
2.011626,-8,0,3,-1,1,3,-1,-5,0
2.019199,0,-1,-1,-1,0,1,-1,-4,0
2.019205,0,-3,-3,-2,0,-2,0,3,0
2.032020,-3,-5,-3,-5,-3,-2,-1,1,0
2.032045,1,-3,-5,-3,-2,-3,-4,1,0
2.041352,-4,0,1,1,-4,-3,-1,-2,0
2.041361,-2,1,3,1,2,-1,-2,-1,0
2.046086,-5,-2,-3,-4,-1,-1,1,0,0
2.046110,-2,-1,-4,-5,-2,-1,-1,-3,0
2.056668,0,0,4,1,-2,-2,-1,1,0
2.056674,1,1,-1,1,-2,1,0,-1,0
2.068663,-1,-2,-8,-4,-4,-1,-3,-1,0
2.068681,3,-3,2,0,-4,-4,0,1,0
2.078333,1,4,-2,1,2,2,0,-1,0
2.078340,-1,-1,3,2,0,0,-1,-6,0
2.091087,2,2,0,1,-1,-1,-1,1,0
2.091100,-2,-2,-1,-3,1,-3,0,-2,0
2.101156,-3,-1,-5,-3,-2,-1,-4,-2,0
2.101162,0,-2,-2,-3,-1,-1,-2,3,0
2.106231,-2,0,1,2,1,2,-1,0,0
2.106251,0,5,2,4,0,4,0,-1,0
2.116025,2,5,5,1,1,1,-1,1,0
2.116031,-1,-3,-4,-3,-3,0,-1,0,0
2.128636,-2,-8,-11,-8,-4,-6,-2,0,0
2.128661,0,-3,-2,0,0,-2,-1,1,0
2.139234,3,9,3,3,4,1,-1,4,0
2.139249,0,6,6,6,-3,-3,-1,-2,0
2.151837,-5,1,8,1,1,0,0,-5,0
2.151872,0,-3,-5,-4,0,-1,-1,1,0
2.162204,-3,-6,-11,-7,-4,-3,-1,-2,0
2.162212,-1,-3,-5,-3,-1,-2,0,-1,0
2.166092,1,-1,-2,-2,-1,-1,-3,-1,0
2.166114,-1,0,-1,0,0,-4,1,0,0
2.176836,-4,-3,-2,-1,-2,-2,-2,-7,0
2.176845,-1,-3,-1,-1,0,1,0,4,0
2.188782,-1,0,-2,0,-3,-2,1,-6,0
2.188808,-2,-2,1,1,0,0,-1,-2,0
2.198939,0,-2,0,1,1,0,-2,-2,0
2.198946,-4,-2,1,-3,-2,0,-3,-2,0
2.211115,2,-2,-1,-3,0,0,1,0,0
2.211141,-1,3,1,-1,-1,2,-2,-1,0
2.226762,-3,-2,-2,-1,-2,-4,1,1,0
2.226780,-1,-1,-2,-2,-1,0,-2,-4,0
2.228659,-1,-1,0,1,1,0,-1,2,0
2.228665,-1,0,-1,1,1,-2,-1,-2,0
2.235044,-3,-4,0,-3,-2,0,-1,-1,0
2.235067,2,0,-2,-2,0,-1,-1,-2,0
2.248664,0,0,0,1,-2,-3,-1,0,0
2.248683,1,-1,1,1,-1,-1,-4,0,0
2.258929,-3,-3,0,0,-2,0,-2,-2,0
2.258936,1,-4,-2,0,-2,-1,-1,-1,0
2.271247,-1,2,1,0,0,0,-3,-1,0
2.271283,0,1,-1,-1,-3,-1,-1,-3,0
2.281068,3,-3,-1,-3,-2,0,0,4,0
2.281084,-5,-3,-1,-2,2,0,-1,-1,0
2.286514,5,-1,-1,1,2,-2,-2,1,0
2.286531,1,1,0,-1,0,-1,0,0,0
2.295056,-1,-7,-4,-1,2,1,2,7,0
2.295072,8,9,10,5,-1,-1,1,-1,0
2.309321,-17,6,-3,-5,-3,0,-4,-9,0
2.309328,6,-1,-3,-2,-4,-3,-2,-1,0
2.318762,4,3,0,6,1,-3,-1,3,0
2.318774,-4,-1,3,2,2,1,2,3,0
2.331250,-3,-15,-8,1,0,0,0,0,0
2.331266,7,12,3,-2,0,0,1,1,0
2.340420,-14,6,-2,-6,-1,-1,-4,-7,0
2.340426,-11,-13,-13,-7,-4,-3,-4,-8,0
