Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
151,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0
318,31,24,7,9,24,29,11,34
370,4,0,-8,-12,-32,-20,-3,-27
427,11,5,3,0,1,1,7,54
479,-24,-27,1,4,4,0,-8,-45
543,26,17,4,5,13,14,11,54
603,5,0,2,1,4,0,-10,3
655,3,7,-7,-15,-24,-6,-6,-21
708,-36,-27,-6,-4,-5,1,11,12
761,6,2,-3,-8,-8,-6,-11,8
817,-7,4,-13,-20,-66,-54,-8,8
866,-10,-6,-1,-2,-1,-2,-11,-20
922,0,-7,-5,-4,-4,-6,12,12
984,4,-7,-4,-2,-3,-8,-5,-4
1046,-20,-18,-3,-6,-11,-18,-28,-31
1110,15,9,2,0,6,7,18,-23
1159,13,12,7,6,10,6,5,-28
1210,-4,-5,-8,-3,-4,-3,5,-16
1264,9,-2,4,0,-6,-5,-14,52
1317,-17,-19,0,-1,-9,-18,7,11
1370,-2,-23,0,5,6,-3,8,26
1426,1,14,15,14,24,14,14,4
1481,29,24,5,9,12,9,11,12
1533,-1,1,0,-2,-13,-10,3,-8
1589,-19,-17,-4,-3,-13,-18,-13,-17
1645,-12,-7,-2,-1,8,7,4,3
1707,14,15,6,8,24,15,13,-44
1759,-1,2,-5,-3,-2,1,6,-45
1812,-16,-7,-2,-5,-10,-14,-11,-58
1865,-15,-29,-1,2,12,0,-1,23
1926,10,2,3,3,20,27,1,23
1990,-15,-9,-3,-4,-4,-1,-11,-64
2051,1,-9,10,11,33,27,-7,-22
2102,-4,-7,1,-2,-1,5,15,-13
2166,2,1,1,3,18,11,10,75
2226,8,0,4,-1,-9,-9,-17,-9
2289,-7,-2,-1,-4,-11,-9,2,-3
2360,44,40,2,-2,-2,14,12,14
2412,25,18,0,1,-3,-10,5,26
2473,-7,0,3,-4,-3,-9,-9,-43
2527,9,9,1,-3,-6,-3,3,-24
2590,-19,-12,-1,2,19,13,-9,-27
2654,12,9,5,9,27,16,1,19
2713,-8,5,-6,-12,-25,-20,2,-11
2764,11,5,1,-2,2,6,14,-3
2817,-5,3,-4,-7,-14,-11,-2,-21
2868,6,7,3,0,-9,-12,3,2
2920,1,1,-1,3,16,15,-14,-77
2974,0,12,-5,-8,-29,-36,-19,-54
3032,8,5,5,8,19,17,-2,-40
3094,1,-2,-1,-1,1,3,9,18
3154,8,11,0,-4,-2,6,9,28
3207,-27,-19,-7,-9,-16,-4,34,18
3269,-6,-12,0,3,1,1,1,63
3331,-2,4,-3,-5,-21,-12,-5,-20
3394,19,16,8,16,39,38,23,11
3454,-3,3,-11,-12,-43,-59,-8,6
3514,23,10,6,8,13,11,-4,2
3567,-15,-8,-3,-11,-43,-39,-21,-49
3631,0,8,0,-3,1,3,-7,-12
3695,-25,-14,-4,-2,-2,-1,2,28
3755,35,29,-4,-5,-5,-7,5,27
3815,-12,0,-4,-6,-7,-7,-15,-31
3868,-1,-5,0,2,4,-3,-16,-26
3922,-5,14,1,4,-5,-11,-5,-93
3978,6,2,0,2,15,13,14,12
4034,-11,-18,-2,-1,-5,0,6,2
4090,0,-5,-12,-12,-21,-15,18,22
4137,5,2,9,8,13,11,-2,-3
4195,-2,-15,-4,-4,-12,-7,-11,-12
4263,-7,-13,-2,4,10,5,-5,10
4320,21,5,3,4,14,13,14,59
4369,-7,-7,-2,-2,-4,-4,-1,14
4420,-8,18,3,2,-5,-14,-25,3
4473,-3,3,1,-3,-4,-1,10,-12
4527,3,-9,-4,-3,0,0,6,-26
4579,3,-4,-6,-9,-11,-10,-8,-23
4638,19,10,11,9,30,25,17,-7
4699,1,-5,-5,-4,-12,-14,3,0
4759,2,-2,-1,-1,-5,1,-2,2
4812,-19,-34,-4,-2,1,-1,-18,-65
4873,-4,-3,5,3,-1,-1,-14,-38
4936,3,3,11,22,55,33,-1,37
4998,6,4,-5,-7,-10,-7,3,32
5060,-16,-28,1,-7,-18,-11,-11,-21
5118,-29,-14,-11,-7,1,-4,-13,-12
5172,-9,-13,-1,10,45,0,10,-10
5224,46,27,10,21,22,15,8,6
5279,-35,-8,0,2,5,8,11,-55
5329,15,8,5,7,-9,6,14,-21
5382,-15,-11,-8,-1,-6,-10,13,-83
5442,-37,-3,0,-34,-42,-18,1,-15
5503,-28,-50,-3,6,28,44,2,7
5563,8,0,-4,-9,-16,-8,23,28
5613,21,-7,-7,-10,6,15,12,55
5676,22,8,-8,-16,-37,-13,8,31
5739,8,-5,17,25,49,29,3,-17
5802,-74,-38,-24,-26,-59,-37,-16,-10
5862,-55,-37,-3,3,14,9,11,0
5922,30,-3,-7,-12,-16,2,21,29
5973,1,-1,2,2,8,3,-5,-2
6038,7,-12,-10,-20,-61,-41,-8,-6
6101,-12,9,6,1,8,8,-3,-12
6163,27,7,2,5,9,9,3,51
6223,0,5,1,2,13,9,-3,-6
6281,-3,-1,7,6,15,14,3,1
6339,27,6,-6,-10,-16,-6,1,-4
6385,2,0,-4,-5,-13,-14,-19,-1
6439,1,2,2,6,16,20,17,3
6489,-8,-6,-8,-4,-3,-2,-3,-2
6546,9,4,3,7,23,22,1,25
6600,1,-7,-5,0,-1,7,4,-1
6663,-2,-11,-1,-1,-25,-26,-15,17
6724,9,18,0,0,-7,-5,19,-25
6776,10,11,4,11,24,20,7,1
6838,-21,-4,-8,-19,-48,-37,-27,-17
6888,22,25,10,3,7,13,10,33
6940,3,-8,3,5,11,6,-7,-11
