Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
152,-2,-2,-3,-1,0,1,1,1
183,1,2,1,0,1,-2,-3,-2
235,1,0,0,-2,1,0,-1,-1
288,-1,0,-1,-1,0,0,0,-1
340,-1,-1,-1,0,-1,-2,-2,-1
392,0,-1,-1,1,-1,-1,0,-1
445,-2,-1,0,0,0,-2,-4,-1
503,-2,-1,-2,-2,-2,-2,0,-1
550,0,-5,0,-1,-2,0,-2,-2
602,1,-3,-2,0,0,-2,0,0
659,-1,0,0,-2,-3,-3,1,1
721,-4,-2,-1,0,-2,0,0,-1
783,1,-2,0,-1,1,0,-2,-2
844,0,0,0,-2,0,0,-1,-2
896,-2,-1,-1,-1,-2,-1,0,-2
954,-1,-2,1,0,0,-2,-3,-1
999,1,-2,-3,1,-3,0,-1,0
1055,-1,-3,0,2,0,-4,0,-1
1105,0,-2,0,-1,0,-1,1,-1
1165,1,-1,2,0,2,-2,-3,-2
1225,0,0,-3,-2,-2,0,0,1
1281,-1,-1,-1,-4,0,0,-3,0
1333,0,1,0,0,-1,-2,-2,0
1388,-4,-2,-1,0,-2,-1,0,-1
1449,-1,0,-2,-1,2,0,-1,-1
1511,-3,-2,-2,-2,-1,-3,-3,1
1570,-1,-3,-1,-2,0,-2,-1,0
1623,-2,-1,-1,0,-1,0,-2,-1
1685,1,-2,-1,-2,-1,-1,0,-4
1748,-9,-1,0,0,-3,-1,-1,-3
1808,-2,-1,-1,-1,-2,-2,-2,0
1870,0,1,-1,-1,-1,-1,-1,-1
1931,-2,0,-2,-1,0,0,1,-2
1991,-2,-3,-2,-2,-1,-3,-2,-3
2045,-2,-2,0,0,-1,-1,-1,-3
2108,-1,-2,1,0,0,-2,-2,-3
2170,-2,-3,-2,-1,0,-2,0,-1
2230,-1,-3,-2,-2,-1,-1,0,-1
2283,-2,-2,-1,0,0,0,-2,0
2336,-1,-1,0,-1,-1,-2,-1,-1
2388,-3,-2,0,-1,-1,-2,-3,-2
2441,-1,-1,-1,0,1,-1,-1,1
2493,-1,-2,-3,-1,-2,-1,-2,-1
2550,-2,-1,-2,0,-1,-3,-1,1
2611,-2,-3,1,0,-1,-1,-2,-2
2673,-3,-2,0,-1,1,-2,-1,0
2732,-3,-2,-3,0,0,-1,-2,0
2785,-2,-2,-2,0,-1,-3,2,1
2848,-1,1,-2,0,0,0,0,1
2911,-2,-1,-1,0,-2,0,1,-1
2973,0,-1,-1,-1,-4,0,0,-2
3033,-5,-2,1,-1,0,2,-2,0
3086,-5,-1,-2,1,0,-4,-3,-1
3150,-1,-1,-4,-1,0,-3,0,0
3212,-2,-4,1,0,-2,-2,1,-1
3273,-3,-1,-3,-1,-1,0,1,1
3333,-1,-3,-2,-2,0,-4,1,-2
3386,-3,-1,-1,-1,0,0,1,-1
3438,-2,0,-2,-1,0,-1,0,-2
3490,0,-1,-3,-4,-1,1,0,1
3543,-1,-1,1,1,0,0,-2,-2
3595,-2,-2,0,-1,1,1,-2,-2
3653,0,-1,1,-1,-1,-2,-1,-2
3714,-4,-2,-2,-1,0,-1,-1,2
3776,-1,0,-2,-3,0,-2,0,0
3838,-1,0,-2,0,-1,-1,-2,-1
3889,0,-3,-2,0,-2,0,-2,-1
3952,0,2,1,0,-2,-2,-4,0
4014,-1,-2,-2,-2,-1,1,0,0
4075,-4,-1,-1,0,0,0,-1,-2
4135,-4,-6,1,-1,-2,-1,-1,-2
4196,-3,1,-1,1,-1,-2,-2,-1
4250,-4,-2,0,-2,-1,-1,-1,-1
4313,-1,1,1,0,-1,-1,-1,-1
4375,-6,0,0,-3,-1,0,-2,0
4435,0,1,1,-2,0,0,-4,-1
4495,3,-2,-2,-3,-3,-3,-1,-4
4546,-3,0,-2,1,-1,-1,-4,-1
4600,-3,0,-1,1,-1,-1,-1,0
4652,-1,-2,1,0,0,-1,-1,-1
4704,-1,0,-1,-1,-1,0,-1,1
