timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.159065,0,1,2,0,-1,0,0,-1,1
0.159250,1,-4,-2,2,-2,-2,-1,0,-3
0.160023,2,-1,-2,-1,-2,0,-2,-2,-1
0.160036,3,2,-3,-1,1,0,-1,0,0
0.161362,4,-2,-1,-1,0,-1,-1,-1,0
0.161376,5,-1,-4,-3,-4,-2,-1,-2,-2
0.164302,6,2,6,3,0,1,0,-1,-1
0.164320,7,0,2,4,0,-3,1,-1,0
0.171426,8,-3,-5,-5,0,1,-1,0,-3
0.172238,9,2,-2,-2,-5,-1,-2,0,2
0.182781,10,-3,-4,2,7,-2,0,-1,1
0.182800,11,-2,1,-5,-9,0,-1,-1,-3
0.186299,12,-3,1,4,8,-2,-2,0,-3
0.186318,13,2,-1,1,-1,0,0,-1,1
0.201959,14,-2,0,-1,0,0,0,1,-1
0.202745,15,-4,-2,2,2,4,-2,-2,-1
0.211509,16,0,-1,-1,-6,-1,0,-1,0
0.212605,17,1,1,-1,-1,-2,-2,-1,-1
0.226685,18,-3,-1,-4,-6,-2,0,-3,-2
0.226707,19,1,1,-3,0,-1,-2,-3,-1
0.231540,20,-1,-4,-1,-5,-2,-1,-1,2
0.231560,21,0,1,2,8,2,0,0,0
0.271257,22,1,0,0,2,-1,0,0,2
0.271269,23,-5,-3,1,-1,0,1,0,-1
0.278469,24,-4,-4,-6,-3,-2,0,-1,0
0.278491,25,-1,3,-1,-4,-1,0,-1,0
0.280351,26,0,0,2,0,0,1,0,-1
0.280363,27,-3,1,-2,-2,-3,-3,-2,-2
0.280404,28,0,-2,-3,-1,1,-1,-1,0
0.280433,29,-1,-1,3,0,1,-1,-4,0
0.292161,30,-2,-1,-6,-2,-3,-2,-1,-2
0.292216,31,0,-1,2,-4,-2,0,-1,-1
0.301282,32,-1,0,1,4,-1,1,0,-2
0.301294,33,0,-1,-3,0,-3,-1,0,-1
0.306584,34,-1,-2,-2,0,0,-2,-1,-3
0.306702,35,0,0,3,-1,-1,-1,-2,1
0.321415,36,-1,3,3,2,-1,-1,0,0
0.321437,37,-1,-5,-8,0,-1,-3,-2,1
0.329099,38,-2,-3,3,-6,0,-1,-1,0
0.329123,39,0,-1,-3,2,-1,-2,-1,-1
0.343644,40,-1,-3,-2,-6,-4,-2,0,-1
0.343662,41,-1,0,0,-1,-1,-1,0,-1
0.351109,42,0,-2,3,2,0,0,0,-3
0.351125,43,3,1,-1,-4,2,1,0,1
0.367483,44,0,2,0,5,1,-2,-1,-2
0.367497,45,-1,0,2,-1,-1,-1,0,-1
0.367499,46,-2,-1,-4,-3,-2,-1,-3,-1
0.367501,47,2,-2,-3,-1,-1,0,-1,0
0.389640,48,-1,-4,-3,-4,0,-2,-1,-1
0.389663,49,1,0,-2,1,-1,0,-1,-2
0.390966,50,0,0,-1,-1,-1,-1,0,-1
0.390977,51,-2,-3,-2,-5,-3,-1,0,0
0.404008,52,2,2,1,2,-1,0,-2,0
0.404037,53,-4,-3,0,-2,0,0,-1,0
0.411497,54,-2,0,0,0,0,0,0,-1
0.411519,55,-4,-7,-11,-1,-2,0,0,0
0.426895,56,-1,0,-1,-2,-2,0,-1,0
0.426911,57,-1,0,2,-2,1,1,0,-1
0.428314,58,1,3,5,2,0,-1,-1,0
0.428330,59,1,1,-2,4,0,-1,-1,0
0.449491,60,0,-6,-8,-6,-2,-1,-2,-1
0.449512,61,1,7,3,0,-3,0,0,0
0.449913,62,-2,-2,0,-2,-2,-1,-1,-1
0.449982,63,0,2,1,1,0,-2,-1,0
