timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.172830,0,-11,7,7,-3,-8,2,3,7
0.172979,1,-1,29,0,4,6,-2,-6,-2
0.176665,2,14,24,7,-1,2,1,4,6
0.176687,3,-14,-4,2,5,11,3,-2,-6
0.177639,4,18,43,-2,2,-6,-4,-1,2
0.177659,5,-17,-48,-9,-8,4,-2,2,-3
0.180396,6,17,-38,0,-1,-3,-2,-2,14
0.180422,7,7,25,10,2,-1,-1,-3,-26
0.182860,8,-36,74,-8,3,9,5,4,-8
0.182877,9,38,-82,-1,-12,-15,-6,-9,-2
0.194078,10,13,-36,-11,-2,8,-2,-3,0
0.194098,11,-4,35,8,2,8,1,-2,1
0.206966,12,8,-32,10,4,-7,-1,4,10
0.206991,13,5,38,1,0,-2,-4,-1,1
0.212703,14,-45,-16,-15,-5,-4,-1,-4,-6
0.212722,15,-11,-21,-10,-8,-8,-5,-3,3
0.221529,16,6,-34,-14,3,10,2,3,-3
0.221560,17,-2,19,7,3,6,3,2,5
0.251564,18,46,13,6,0,-17,-1,3,-12
0.251594,19,-64,-76,-18,-6,6,-6,-9,-1
0.252888,20,-5,20,2,-2,-6,0,-1,1
0.252912,21,-8,13,6,2,1,0,2,-3
0.266447,22,-28,74,-12,-2,1,2,3,0
0.266485,23,22,2,-1,-4,-12,0,-5,3
0.299122,24,-34,-3,-3,-3,-43,-3,-4,-3
0.299137,25,6,2,-12,4,9,2,2,11
0.299919,26,-7,10,24,8,4,3,3,2
0.299933,27,15,30,-5,4,14,3,-1,5
0.303012,28,-49,-97,-10,-3,-4,-3,0,4
0.303037,29,35,97,-8,-6,-8,-3,1,-1
0.303696,30,-30,-53,-5,0,-2,-4,-3,-3
0.303711,31,22,-25,-9,-5,-7,0,-2,-2
0.312316,32,6,34,12,9,18,4,3,7
0.312329,33,-27,-62,-15,-2,-2,-2,-2,-7
0.317694,34,27,68,8,4,4,4,6,12
0.317712,35,19,28,7,-4,-4,-3,0,-13
0.332813,36,13,-22,-6,0,12,2,-5,19
0.332836,37,-23,-94,3,-6,0,-3,-3,-25
0.340044,38,2,-9,-7,-5,-18,-4,-4,-7
0.340076,39,7,-9,-1,1,-5,-2,-1,9
0.350180,40,23,10,-4,-5,13,-1,2,-8
0.350192,41,19,31,17,8,5,4,2,8
0.371450,42,-37,-14,-11,3,12,4,2,1
0.371475,43,18,9,-10,-6,-15,-9,-4,7
0.372810,44,-4,30,17,0,-22,-2,-2,-2
0.372825,45,24,48,6,-1,-6,1,0,3
0.385018,46,-47,-108,-25,-2,3,-5,-7,-10
0.385038,47,-35,11,15,6,4,4,-4,6
0.394518,48,13,40,-6,-2,4,-3,0,-8
0.394533,49,34,11,-3,-10,-19,-4,5,11
0.408749,50,-26,-21,5,-1,3,-3,-10,-13
0.408775,51,-75,2,-5,5,32,9,3,-13
0.410234,52,-19,-53,2,-2,-40,-7,-4,-2
0.410248,53,3,-6,4,-1,-4,-4,-1,-1
0.431155,54,18,23,-4,-6,0,-1,3,14
0.431177,55,10,18,13,-1,16,-5,-1,-15
0.433005,56,12,-11,-6,3,16,7,1,-10
0.433034,57,-19,7,0,4,-4,2,-2,-1
0.453657,58,49,24,0,-11,-25,-9,-2,9
0.453699,59,-19,-6,1,4,5,2,7,23
0.455200,60,25,-8,-2,-3,8,-1,-2,-30
0.455212,61,9,-16,3,-1,0,-1,-5,-5
0.468791,62,-26,-41,-3,-4,5,-1,-9,-9
0.468824,63,-24,-23,-10,-7,-21,-2,2,-4
0.470292,64,-8,15,-6,-2,12,-6,-5,1
0.470306,65,-10,-13,-5,-1,6,-3,-3,-1
0.491382,66,13,33,6,4,3,7,8,-6
0.491407,67,36,21,-11,-5,-8,-2,-7,-1
0.493215,68,15,67,9,-6,-11,3,5,9
0.493228,69,-55,-33,-10,0,13,-2,-8,-20
0.513663,70,26,12,3,7,-6,-1,5,26
0.513688,71,-18,-30,-7,1,18,-5,-6,-33
0.515257,72,20,30,-1,-6,-4,1,1,11
0.515276,73,-3,-4,-5,-1,-9,0,1,3
0.528812,74,15,34,-3,-3,-13,-5,-6,-1
0.528841,75,-34,-25,12,-3,-8,-3,-1,-8
0.530346,76,38,-44,3,-3,4,-3,-5,1
0.530396,77,18,-12,-7,-1,2,-1,1,0
0.551251,78,0,14,-14,-4,5,-1,1,4
0.551267,79,56,24,23,6,-4,6,1,3
0.552745,80,-7,7,-11,-5,4,-8,-1,-10
0.552801,81,-1,13,-10,-3,-8,0,0,8
0.573585,82,28,34,6,1,3,-1,-2,-13
0.573597,83,14,-74,-4,1,-7,-1,-4,6
0.575246,84,-25,-20,-1,5,-10,5,4,16
0.575263,85,27,27,-3,-14,-9,-4,-3,-6
0.588720,86,-1,2,6,15,25,1,6,0
0.588732,87,4,38,1,-8,-21,-1,-1,3
0.594954,88,-3,-26,-8,5,19,1,7,4
0.595960,89,-17,30,5,-4,-6,-2,-8,2
0.611336,90,5,3,-5,-4,-5,-2,-5,-7
0.611358,91,8,-19,1,6,9,0,4,8
0.612731,92,-33,-51,-9,-11,-15,-5,-3,-8
0.612746,93,11,21,13,8,2,3,5,19
0.633736,94,0,31,1,-6,6,0,-2,-9
0.633752,95,18,17,-12,1,4,-2,-10,5
0.635291,96,-69,-47,-9,-4,-4,-2,2,-14
0.635304,97,-43,-26,8,7,-1,0,2,1
0.648104,98,35,9,-7,-8,-8,-3,-6,-5
0.648133,99,-26,-5,-25,-8,-7,-2,3,-4
0.654879,100,34,57,18,13,14,9,7,2
0.655441,101,-2,2,22,11,4,2,1,11
0.678839,102,7,-92,-21,-20,-25,-9,-11,-15
0.678860,103,9,45,5,-4,-22,-2,-3,4
0.680330,104,13,13,-11,-1,3,-2,-3,-6
0.680354,105,-8,-15,-12,2,12,2,4,1
0.693806,106,1,114,36,26,24,17,4,26
0.693826,107,21,-94,-12,-39,-19,-22,2,-12
0.695373,108,-9,-36,-11,7,2,-9,-14,-9
0.695388,109,3,-6,3,-2,-5,-3,-4,-9
0.708085,110,-24,15,-10,-4,3,2,4,7
0.708108,111,-3,27,6,5,10,8,1,2
0.714863,112,3,26,15,3,5,1,3,4
0.714885,113,-11,53,-6,-4,-22,-2,0,5
0.731606,114,-31,-20,-5,-4,1,-1,1,-8
0.731619,115,-76,-68,4,23,13,5,6,7
0.732714,116,45,76,-5,-9,-8,1,-2,-10
0.732732,117,5,-9,3,-10,-8,-11,-19,-8
0.753681,118,-19,-34,2,-4,-9,-4,-1,-20
0.753698,119,-8,-45,-7,6,-3,3,3,4
0.755465,120,34,127,43,16,14,5,10,36
0.755483,121,-46,-95,-23,-10,0,-4,-10,-31
0.768082,122,34,3,-11,-9,-5,-4,-5,-6
0.768139,123,31,35,-9,-2,7,4,-1,1
0.774853,124,-25,-11,0,2,10,-3,2,6
0.774876,125,48,31,14,-5,-4,6,5,21
0.792593,126,-37,16,-11,-2,0,-11,-14,-34
0.792607,127,-11,-18,-2,-2,-15,-1,-3,-10
0.792743,128,-1,-11,0,-4,-5,1,-1,4
0.792760,129,0,24,3,1,0,1,4,0
0.813742,130,-4,7,-8,1,3,2,4,11
0.813758,131,8,16,20,2,21,-3,0,13
0.815327,132,-13,-32,-2,-3,-12,1,-6,-25
0.815375,133,15,-9,-17,3,11,-4,-6,5
0.828471,134,1,2,-8,-7,-17,-3,6,2
0.828518,135,-8,-31,13,3,0,-4,-3,-6
0.834879,136,21,-57,6,-7,-16,-2,-1,13
0.834948,137,17,17,3,3,11,1,-2,-17
0.851208,138,10,-3,-2,0,2,0,1,10
0.852659,139,-24,-1,-5,-5,-5,5,6,33
0.852756,140,-26,25,-28,-6,1,-5,-14,-65
0.852792,141,20,6,-1,1,-15,-1,2,-1
0.873723,142,-15,-59,-6,-2,-8,3,-1,-12
