timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.181836,0,-1,-2,-1,0,-1,0,-1,-1
0.181992,1,-1,0,-1,-1,-2,0,-2,-1
0.181998,2,-1,-1,-1,-2,-1,-1,-1,0
0.182000,3,0,-2,1,-1,-1,-1,-1,0
0.182636,4,-1,0,1,-1,-1,0,1,-1
0.182651,5,-2,-1,0,0,0,-2,0,-1
0.185613,6,-2,-1,0,-1,1,-2,-1,0
0.185650,7,-2,-1,-2,-1,0,0,-1,0
0.193356,8,-1,0,0,-1,-2,-2,-1,-2
0.193380,9,0,-2,-1,-2,-1,0,-1,-3
0.201548,10,-1,-1,-1,-1,-2,-1,0,-3
0.202131,11,0,-1,-1,1,-1,-1,0,-1
0.208628,12,-2,0,-2,0,0,-3,-1,-1
0.208647,13,0,0,-2,-1,-1,0,1,0
0.222683,14,-1,0,0,1,-3,0,-1,-2
0.222708,15,-1,-2,-2,-1,-1,-1,-1,1
0.234350,16,1,-3,-1,0,0,0,-3,0
0.234411,17,-1,-2,0,-2,0,-1,-2,1
0.246435,18,0,-2,0,-1,-1,-1,-1,0
0.246457,19,-1,0,0,-2,-3,-1,-2,-3
0.254809,20,-1,1,-1,-1,0,-2,-1,-1
0.254822,21,-1,-2,-1,-1,-2,-1,-2,-1
0.267517,22,0,-1,-1,-2,-1,0,-1,-1
0.267538,23,0,1,0,0,-1,-2,-1,-1
0.309278,24,-1,-1,-1,-2,-1,-1,1,-2
0.309295,25,1,1,0,-3,0,0,0,-2
0.309994,26,-1,-1,-1,-3,-1,-2,0,-1
0.310008,27,-2,-1,-1,-1,-1,0,-1,0
0.313767,28,0,-1,0,-1,0,-1,-1,0
0.313783,29,-1,-2,-2,0,-1,-2,0,-2
0.314515,30,-2,-2,-1,0,0,1,-2,-1
0.314578,31,-1,-1,-1,0,0,-2,-1,-2
0.322661,32,0,-1,-1,-1,-2,-1,-2,0
0.322684,33,-3,-2,-1,0,-1,0,-1,1
0.328006,34,1,0,0,-1,0,-1,-1,-2
