Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
144,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0
306,10,-41,-11,-11,-23,-12,-12,-12
361,-39,27,-12,3,14,4,15,5
417,-11,16,-17,-1,3,0,1,2
469,-14,10,3,1,-7,-4,4,7
528,-21,-15,-20,-1,-2,-2,9,3
579,-49,-52,7,3,-3,1,3,9
638,-22,-3,-5,3,8,6,2,1
693,-13,-31,-14,-10,-15,-11,-11,-8
748,39,41,-14,-9,7,3,-3,-5
811,21,-5,5,-3,1,3,-4,-8
877,-10,34,35,6,5,4,-29,3
936,9,-29,-11,-3,-3,-9,3,2
983,-14,2,-4,-14,-29,-23,-10,-16
1034,28,-40,-4,3,6,5,34,7
1090,20,-37,-3,0,6,4,-8,-12
1141,19,-76,-4,10,27,19,10,10
1195,-12,28,4,5,9,2,11,5
1248,-39,22,-3,-6,-11,-6,8,7
1300,74,-75,-31,-22,-36,-28,-26,-34
1352,13,-6,-12,-7,-10,-6,1,-7
1404,-19,10,-3,3,-2,-1,5,10
1457,27,6,12,2,3,4,5,4
1515,-8,-52,-14,-4,-3,-3,-8,-12
1577,-29,-3,-26,-8,-9,-5,-6,-8
1637,20,-1,-1,10,28,16,6,-7
1688,-17,20,-4,-1,2,2,-5,2
1741,-18,-38,-35,-15,-19,-16,-6,-25
1795,-8,-8,-23,-8,-7,-5,-4,-3
1845,-16,-29,-8,-5,-3,-4,-6,-24
1901,3,0,-1,3,12,9,4,8
1956,23,38,9,-1,3,4,3,9
2020,-21,0,5,1,5,4,0,4
2073,-1,8,-10,4,12,3,-1,2
2127,-92,49,21,7,-2,-1,-13,-5
2180,36,-7,6,4,4,5,-2,7
2237,-2,34,7,-2,-9,-4,-8,-1
2288,-18,13,0,9,12,10,14,8
2341,-15,-9,-1,-33,-66,-33,-19,-22
2395,-17,-11,8,8,10,0,12,4
2451,-20,-23,40,-2,-12,-2,12,-8
2500,-20,-3,-6,0,1,0,1,-1
2558,14,46,9,-3,-7,-8,-8,5
2621,-1,65,-3,1,3,0,-1,4
2686,10,41,-20,-10,-14,-8,-5,-14
2732,22,15,-2,0,-11,-4,7,2
2785,34,-57,-7,-5,-12,-8,-7,-10
2838,7,5,-11,-1,-7,-3,5,-1
2892,-12,43,25,1,-6,-1,3,0
2947,12,11,8,1,-1,2,0,6
2997,28,-1,-2,-5,-8,-5,-9,-6
3061,-2,-13,-6,2,0,2,-9,-3
3123,-19,35,-6,-2,-7,-3,14,9
3184,-8,22,-1,1,2,3,2,3
3235,-1,-20,-6,-6,-8,-8,8,-17
3298,-2,-4,-1,1,2,5,9,4
3364,-9,-64,3,-3,-6,-6,-2,-8
3424,-21,-2,8,4,11,6,-4,-1
3484,-28,-29,6,-3,-5,-4,-5,-6
3538,60,-9,17,-4,-8,-4,2,-2
3601,3,-12,-8,-9,-13,-9,-8,-10
3664,-24,2,6,5,8,7,14,3
3723,-31,-2,17,3,8,5,17,5
3775,19,-8,32,4,11,6,0,-2
3837,-28,2,-9,-3,-6,-3,-8,-17
3906,-57,6,-9,-2,-1,3,8,-1
3963,37,21,0,-3,-10,-9,3,3
4016,-39,-9,2,-2,0,-2,-7,-4
4067,21,16,-3,-2,-2,2,2,3
4119,-29,19,4,-7,-3,-5,3,-19
4184,25,6,-9,-3,0,1,6,-6
4240,-10,46,6,4,7,4,17,12
4294,52,-15,3,-6,-11,-13,-15,-5
4351,67,17,-6,-9,-3,-3,-17,-33
4412,26,-36,-17,-7,-3,-5,-20,-42
4471,26,-25,-4,-3,-3,-1,-9,-27
4515,-46,-13,2,5,5,0,-2,-14
4578,29,-10,-3,-3,2,-1,-8,-4
4650,19,-2,2,-6,-7,-9,-16,-32
4704,20,50,2,1,1,4,22,18
4767,-4,10,6,-2,-1,-1,-4,15
4827,-2,-17,-4,1,4,2,1,12
4883,9,-49,-12,-1,-2,2,-4,18
4929,-10,-21,0,16,14,4,-2,-30
4983,-15,-12,1,8,9,5,11,-3
5037,3,-13,9,-1,-13,-4,10,11
5089,-6,46,13,-2,0,1,-9,-8
5148,2,34,-5,5,8,8,19,24
5208,-4,14,-10,1,-1,0,7,13
5269,-9,9,0,5,1,4,14,18
5321,9,-9,-7,-13,-20,-16,-15,-8
5389,7,-11,17,3,4,2,5,6
5450,-15,-51,-14,-8,0,-2,-10,-23
5509,-23,10,4,0,1,1,-3,6
5564,-4,-1,-10,-2,2,1,3,1
5624,-14,25,8,-2,-3,-2,5,-36
5691,12,11,8,3,7,6,8,9
5752,-14,0,16,4,4,3,0,2
5813,-29,24,8,1,1,0,1,2
5862,10,-5,-10,-11,-12,-7,-3,-63
5928,-22,-115,-20,2,-2,-2,1,-14
5988,14,40,9,-7,-9,-4,1,4
6050,-5,12,8,3,1,2,-1,3
6102,-19,5,1,4,4,0,3,4
6153,32,45,13,-7,-3,-7,0,-2
6204,-12,-4,7,-3,-3,0,22,81
