timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.020526,0,8,-4,-4,0,2,1,-2,0
0.020814,1,-3,-2,-5,-2,-1,2,6,-3
0.023890,2,1,-16,-8,-1,4,-3,-2,-5
0.023910,3,-4,25,9,-3,-5,-1,-1,-2
0.034588,4,-4,-6,-3,0,0,-3,0,-1
0.035710,5,-23,-12,-9,1,2,1,2,2
0.042790,6,-2,-25,-22,-2,1,0,-2,3
0.042813,7,1,1,4,0,0,4,6,0
0.057413,8,0,-19,0,-2,-7,-12,-31,-3
0.057430,9,4,18,-4,-5,-6,-6,9,4
0.059086,10,3,-9,-4,-1,1,-1,-4,-1
0.059107,11,-4,15,-2,-2,-3,-3,3,0
0.081114,12,5,-16,-8,-1,9,2,4,-5
0.081135,13,6,0,2,1,-6,-3,-4,-4
0.083904,14,-13,8,4,-1,-1,1,2,-5
0.083925,15,-9,4,7,-2,6,1,-1,2
0.094807,16,1,-8,8,-2,-9,2,1,2
0.094839,17,-7,-4,-3,2,2,1,0,-2
0.102581,18,8,6,3,-1,0,0,3,0
0.102593,19,3,-7,-3,0,-2,-1,-3,-1
0.117328,20,1,16,-8,-4,-2,-1,4,0
0.117348,21,-18,-21,-3,1,-6,-3,0,-2
0.118929,22,19,20,3,-4,-2,-6,-5,-2
0.118970,23,-9,-5,6,0,12,1,0,0
0.139976,24,-7,0,3,-3,-16,-5,0,0
0.139996,25,-10,26,-4,-3,2,0,2,0
0.172572,26,-20,-4,10,-4,-3,-6,-4,-6
0.172598,27,4,-11,-23,-18,-2,-17,-2,-4
0.173379,28,33,1,0,8,0,10,-2,6
0.173394,29,-12,14,12,5,3,2,5,-2
0.177221,30,-12,-38,-18,-17,-1,-18,-2,-11
0.178267,31,-9,9,0,-1,-4,-2,-3,0
0.178281,32,-12,18,7,6,2,9,2,0
0.178283,33,-14,-5,-4,-8,-4,-11,-3,-9
0.190818,34,0,2,-9,3,0,5,0,7
0.190839,35,12,6,20,17,4,22,2,9
0.199379,36,-16,-5,4,-7,-1,-11,-3,-5
0.201461,37,14,-20,3,-6,-1,-4,-1,1
0.205982,38,20,35,16,7,4,11,0,5
0.206014,39,3,-22,-12,-3,-10,0,2,-4
0.214092,40,-22,2,-10,-11,-1,-14,0,-9
0.214115,41,-8,-4,-14,1,1,5,-4,4
0.228782,42,-14,14,21,8,4,4,10,1
0.228801,43,-19,6,-4,-10,-18,-13,-12,-8
0.244648,44,7,-11,-3,1,-2,0,-2,3
0.246123,45,4,10,0,4,-1,10,-1,4
0.246336,46,20,-2,-3,-5,-2,-1,-1,-2
0.246350,47,-6,-20,-8,-4,3,-5,-4,0
0.266911,48,2,-17,-12,2,0,2,3,2
0.266933,49,-1,-21,6,0,-1,-2,4,1
0.273396,50,-17,0,-6,-4,-2,-3,-5,-5
0.273415,51,11,10,-2,0,4,0,-1,0
0.281405,52,-18,-3,-8,1,-2,-3,-3,0
0.281418,53,-19,0,-2,-3,-1,-4,-1,-6
0.288488,54,8,5,-7,-1,-4,2,-2,-1
0.289977,55,12,-7,-2,1,3,4,1,4
0.304746,56,-10,-3,2,-5,-4,-2,-2,-8
0.304764,57,4,2,-4,2,4,4,3,5
0.306422,58,4,-22,-7,-2,-7,-4,-7,3
0.306435,59,-12,32,3,-3,-1,-1,5,-1
0.327861,60,7,6,12,-3,5,-5,-6,0
0.327874,61,3,6,9,2,-6,0,-2,-1
0.328585,62,-12,-4,-3,-1,3,1,6,1
0.328591,63,-20,-12,-4,1,1,0,1,-1
