Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
143,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0
304,1,-2,-2,-1,0,1,1,-2
359,-7,-1,0,-4,-1,-3,-1,-2
413,-1,-4,0,-1,-2,-1,-1,0
476,-4,-4,0,-4,-2,-1,1,-2
524,-4,0,-3,0,0,-2,-1,3
587,-1,1,0,-3,-2,-1,-1,4
660,-3,-3,1,0,-1,-1,-3,-1
716,0,0,1,0,-1,-2,-1,-2
780,-1,0,2,-2,0,1,-2,-3
834,-3,-3,-2,-3,3,0,0,0
888,-1,-2,0,1,0,0,-2,1
951,-1,-1,-1,-3,-2,0,0,-1
1017,-1,-2,0,-3,-3,-2,-3,1
1077,2,-3,-4,-5,0,0,0,2
1137,-2,-4,-3,-2,2,0,1,-2
1185,-4,-2,-2,-2,0,-1,-1,-1
1237,-4,-2,-1,-1,1,-3,1,0
1295,3,-1,1,-3,-3,-1,1,0
1359,0,-1,-3,-2,0,-3,2,0
1419,0,-2,-3,-1,-1,0,-1,-3
1479,-2,-2,-1,-1,-1,1,-2,-1
1530,-1,0,-2,0,-2,0,2,-1
1584,1,-2,-2,-3,-1,-1,-1,0
1635,-2,-1,1,1,1,-3,-1,0
1688,2,-1,-2,-4,-1,-3,-2,0
1742,2,-2,0,-2,0,0,0,0
1798,1,-5,0,1,-4,-1,0,-1
1861,-1,0,-1,0,-5,-3,1,-3
1921,-1,0,-2,-3,-1,1,-1,-5
1972,-2,-2,0,0,0,0,-1,-2
2027,-4,-2,-5,-2,-2,0,-1,-1
2079,-5,1,-1,-1,-1,1,0,0
2130,0,-2,-1,-2,1,1,0,0
2184,-5,-2,-1,0,0,-3,-5,2
2241,1,1,-1,1,1,0,-1,-4
2304,-6,0,-2,-4,2,2,1,-2
2366,-2,-2,-2,-3,0,0,-2,-2
2416,-1,-1,-1,0,-1,-4,-4,1
2470,-4,0,-2,-1,-1,1,-3,1
2530,-2,-2,-2,-1,-1,-1,-4,1
2581,1,1,1,-1,-3,0,-2,-1
2637,-1,0,0,-2,-1,-1,0,-1
2700,2,-3,-2,2,-2,0,-3,0
2763,1,3,0,-2,-3,-4,-2,-2
2820,1,-2,1,-4,-2,-2,-3,-1
2878,0,-2,-2,1,-2,0,0,-2
2933,-3,0,-2,-3,1,-2,-2,-4
2978,0,-2,0,-4,-2,-2,0,-4
3031,3,0,-3,-1,0,-4,2,-2
3082,-2,-2,1,-3,0,0,-3,1
3137,-4,0,1,1,0,1,2,-2
3188,-1,-4,-1,-3,0,-3,-3,-1
3240,-1,1,0,2,-2,-2,2,-2
3292,-2,-2,-4,-2,-2,-4,-3,-3
3351,2,-4,0,-1,1,1,-3,0
3399,-2,-2,1,0,0,3,2,-1
3450,1,0,-1,-2,0,-1,-2,-1
3503,1,-2,1,-5,-1,-2,-2,-1
3557,1,-1,1,0,-3,-2,-2,-1
3609,1,-3,0,-2,-3,-2,0,-2
3662,-2,-1,-1,-2,1,-1,-3,1
3715,3,-3,-1,-4,0,0,-1,-2
3763,1,-1,-4,-3,0,1,-2,0
3825,-2,-2,0,-2,-1,0,0,-1
3888,-2,0,0,0,-1,-2,0,-1
3936,0,-1,-3,-4,-2,-5,-1,-3
3990,0,3,-2,1,0,1,0,0
4045,0,2,-2,1,1,2,0,-1
4096,-1,0,-2,-4,-3,-3,-2,0
4150,-2,-1,-2,-9,-2,0,-1,-2
4207,-2,0,-2,-2,1,2,0,-1
4270,0,1,0,3,-1,0,-1,-4
4330,30,-11,55,-8,-4,-10,-6,2
4383,0,-5,-1,0,-2,-18,-2,1
4433,-2,-82,60,30,26,11,1,-5
4486,-19,68,-89,-26,-3,10,-6,5
4539,-3,30,-5,-5,-3,-17,-1,-3
4590,-11,4,-10,-10,18,1,-2,3
4643,-1,-7,-4,-1,-3,-1,-4,1
4700,-1,3,-2,-3,1,-3,-3,3
4749,0,-2,-2,1,2,3,2,-4
4809,-4,-1,-2,-4,-2,-1,0,1
4869,-5,-6,-6,-5,2,-1,-6,4
4920,4,1,-4,0,-2,-1,1,1
4975,2,-7,-4,-4,-3,-3,-4,0
5026,-7,3,0,-4,-1,1,-2,3
5080,0,-4,-1,-4,0,-2,0,3
5132,-2,5,0,-1,-3,-4,0,-2
5184,5,11,-2,-2,-1,-1,-4,-3
