timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.007057,-25,-51,67,-19,4,40,-17,0,1
2.007412,5,3,-23,0,-35,-106,17,-35,1
2.009303,-9,84,-27,-22,5,-18,18,21,1
2.009311,9,-91,19,-10,-17,-3,-35,-19,1
2.030019,3,23,6,4,1,13,-21,-17,1
2.030060,-7,5,8,-7,10,20,9,17,1
2.031585,-1,-4,5,2,-7,-28,1,-9,1
2.031596,-12,36,-20,4,-19,29,2,12,1
2.043506,1,53,-46,-10,19,7,-19,-14,1
2.043539,7,-54,31,3,-3,59,0,13,1
2.053688,10,26,-35,8,-3,-34,-16,22,1
2.053696,-8,-25,91,10,5,21,-34,-8,1
2.067015,3,-7,-54,-14,-24,-23,9,-3,1
2.067024,3,36,-21,5,0,-7,-10,-6,1
2.068546,-3,-12,8,-9,-11,25,2,-28,1
2.068557,1,49,-51,-11,16,14,-6,25,1
2.089615,-6,9,-20,-8,-9,-31,6,-2,1
2.089639,-5,-73,109,28,11,30,14,24,1
2.091089,3,-48,-7,0,5,-13,-14,-9,1
2.091125,2,19,-33,0,-1,1,16,6,1
2.103296,-4,19,19,19,14,-14,-19,-13,1
2.103373,-7,-10,13,15,31,9,1,8,1
2.112218,0,8,-4,-8,-4,44,-23,-5,1
2.112229,1,-78,44,12,-1,2,48,10,1
2.128532,9,0,-15,2,1,23,-7,5,1
2.128548,-3,40,-19,-3,-24,-27,-18,0,1
2.128726,-3,0,-19,9,31,-47,13,-6,1
2.128771,2,-34,68,14,15,0,-25,13,1
2.149564,-7,-3,-8,-14,-8,62,-19,2,1
2.149582,-5,113,-72,-32,-7,-80,8,8,1
2.152551,12,-97,47,16,-5,19,40,-7,1
2.152558,-2,50,-79,0,20,25,4,2,1
2.163688,-1,-4,99,7,-23,-55,24,-13,1
2.163726,10,19,-23,-9,14,19,-22,-9,1
2.173887,-5,19,5,1,6,14,5,-3,1
2.173894,-3,-1,-27,-21,7,-1,0,-8,1
2.187644,-10,-3,17,-4,8,1,-9,7,1
2.187682,-8,28,-32,-8,-16,32,-19,-6,1
2.190365,-3,-48,76,13,-1,-2,58,20,1
2.190371,-2,15,-18,-18,-20,45,-31,-24,1
2.217121,5,36,-42,-9,-2,-43,-10,3,1
2.217138,-10,-17,39,11,27,49,-5,0,1
2.219212,-1,27,-29,-23,-66,-50,-34,-27,1
2.219223,3,14,-14,5,13,12,8,10,1
2.223219,-8,3,-28,7,11,2,-39,-37,1
2.223265,4,-8,25,10,6,35,13,29,1
2.232970,2,69,-13,-15,-5,-18,-29,8,1
2.232978,-18,-80,43,14,8,48,34,11,1
2.247511,1,88,-26,-1,24,-3,-3,-8,1
2.247532,19,-50,-30,-7,-28,-16,13,9,1
2.249579,-5,6,31,7,23,27,-60,-7,1
2.249584,8,106,-34,-11,-35,-36,31,-17,1
2.269528,-14,-52,3,-4,-7,33,-3,-2,1
2.269545,-6,38,-1,3,2,12,21,-4,1
2.271040,3,77,-62,-18,-11,-12,1,13,1
2.271055,4,-41,-33,9,22,-11,19,19,1
2.283190,12,-25,2,-3,-5,-5,-15,5,1
2.283200,-3,-6,-30,-17,-22,-32,-5,-13,1
2.294528,-11,22,-8,-4,11,-5,-11,-4,1
2.294537,-8,-29,-7,0,14,-4,18,1,1
2.307565,11,28,57,7,-13,-81,-1,-4,1
2.307603,-1,30,-34,-5,-9,5,-4,21,1
2.309583,7,-48,-19,12,9,35,43,-12,1
2.309590,-3,-13,-21,-20,10,-52,-48,-40,1
2.331566,-1,-62,7,-5,-44,-39,-7,26,1
2.331574,0,59,-12,-11,11,0,8,5,1
2.331577,2,-45,33,23,-3,-1,-11,-29,1
2.331580,-3,7,16,-9,6,-16,-8,4,1
2.352362,-1,39,-109,-13,19,37,34,8,1
2.352394,4,-125,57,4,-5,5,0,4,1
2.354178,-3,0,9,-3,-7,13,-8,-13,1
2.354184,1,33,40,7,-19,-54,-78,-5,1
2.366973,-7,1,3,4,20,54,15,7,1
2.366989,-6,9,5,-2,-8,-23,-11,-5,1
2.368614,5,31,15,2,22,56,3,25,1
2.368632,14,30,-23,0,-22,-2,11,-23,1
2.390274,1,27,-4,-1,6,-2,3,15,1
2.390289,-9,-96,45,22,2,-12,-10,-20,1
2.391504,-9,-2,-36,-8,-1,-21,1,-2,1
2.391509,0,70,12,7,-1,6,30,41,1
2.412035,4,7,-21,0,8,54,-52,-49,1
2.412056,-1,-13,11,3,-10,-77,52,-1,1
2.414074,-6,-6,-19,9,6,-6,-8,42,1
2.414098,2,35,-104,-31,-1,24,-3,-17,1
2.427173,-2,-128,127,43,-3,-64,32,18,1
2.427192,18,127,-68,-18,6,7,2,8,1
2.428759,-10,8,18,2,5,-20,9,-24,1
2.428780,15,11,-5,7,-48,-42,-18,-2,1
2.449612,-10,17,2,-1,23,32,16,20,1
2.449634,-1,9,-55,-13,8,-66,43,-18,1
2.452218,4,-37,82,7,-8,-16,3,5,1
2.452226,-8,-18,26,7,9,3,7,-7,1
2.472025,2,10,-40,-25,-23,-10,0,-10,1
2.472041,-8,-15,17,12,14,72,-5,6,1
2.473487,-19,-94,-9,-6,-5,-72,-35,24,1
2.473498,22,-5,5,21,11,7,14,-31,1
2.487598,-4,14,-12,-26,-15,6,14,6,1
2.487607,4,35,-65,2,-2,24,-40,-11,1
2.488561,11,42,-55,-17,-2,-18,-5,3,1
2.488574,-8,-104,20,-13,1,9,-12,1,1
2.509836,-2,-74,14,13,21,59,38,5,1
2.510159,8,94,-28,-9,-29,6,-30,-12,1
2.512266,-4,-15,40,-18,-11,14,0,-4,1
2.512275,-3,12,-19,3,1,-18,13,20,1
2.533829,6,25,4,4,35,40,-12,-2,1
2.533836,-29,72,-62,-15,8,-41,-64,2,1
2.533840,31,-40,90,35,0,8,98,6,1
2.533843,-10,107,-10,-16,12,1,-16,-32,1
2.546851,-10,50,-32,-9,-23,23,-18,7,1
2.546879,-4,41,-30,-3,0,-5,-27,3,1
2.553611,-2,28,-24,-1,-10,11,-9,-22,1
2.553640,9,10,10,12,-14,-16,10,24,1
2.569685,7,-18,-25,-10,-13,-20,-33,-17,1
2.569699,-9,-38,52,11,20,20,9,-1,1
2.571124,-7,40,-11,-4,-8,34,15,27,1
2.571139,12,-22,34,-3,13,2,-4,-29,1
2.599585,-34,93,-113,-18,-14,-26,-52,1,1
2.599603,4,-128,70,34,19,47,81,19,1
2.601166,25,30,-4,-18,-11,17,9,-5,1
2.601184,-24,0,4,-6,4,6,-85,-10,1
2.606385,14,7,-9,-7,-17,-32,26,-27,1
2.606430,-9,18,-20,-9,-1,-4,-36,-2,1
2.613595,-15,31,-50,-21,-6,-1,7,23,1
2.613620,-3,-79,44,11,9,13,15,7,1
2.629616,6,8,32,6,9,3,-4,-19,1
2.629637,8,-25,15,2,-17,-12,2,-2,1
2.631664,-3,56,47,5,10,30,-49,1,1
2.631717,-5,-1,-11,-2,-16,-36,30,-8,1
2.652267,-3,-37,-15,13,3,-23,-19,18,1
2.652290,9,-37,37,5,-2,-1,-3,-23,1
2.653544,2,28,-44,-7,2,-28,-27,-9,1
2.653561,-43,127,-53,-10,25,50,18,10,1
2.666453,8,-83,18,16,0,-86,5,12,1
2.666476,20,-1,-20,-7,-40,67,33,6,1
2.673374,2,18,-85,-14,16,-1,-20,-28,1
2.673389,0,-53,104,8,-6,8,17,10,1
2.689529,-1,7,-4,-3,-10,26,20,-2,1
2.689539,-35,108,-58,-15,85,48,-64,59,1
2.691048,17,-127,95,58,-39,2,27,-107,1
2.691064,22,61,-124,-26,-8,-66,-25,-50,1
2.712052,0,60,-6,-2,-14,8,2,46,1
2.712077,4,6,-18,-8,-11,-23,-16,-15,1
2.713954,-20,24,-15,-5,34,44,-2,36,1
2.713972,19,-19,0,6,3,-1,3,24,1
2.726471,-15,-21,33,8,-1,5,-7,-24,1
2.726489,-3,-14,17,-2,-9,-39,-1,-21,1
2.733174,-11,-36,-60,-22,-6,-21,-2,13,1
2.733191,-11,-13,60,26,2,-19,-24,6,1
2.749824,2,-70,31,5,-1,20,61,26,1
2.749849,14,-9,-6,-20,-40,-17,-23,-44,1
2.752125,-8,1,7,9,18,-20,5,2,1
2.752132,-1,27,-54,-21,-23,15,-12,18,1
2.772401,2,34,9,-18,-68,-3,-6,1,1
2.772416,23,-46,24,36,80,-3,21,4,1
2.774326,-16,3,-26,-28,-3,-8,-12,-4,1
2.774333,-7,-5,-8,-7,20,-3,5,10,1
2.786653,-8,47,-71,-6,34,28,-18,-14,1
2.786677,3,-115,101,29,-84,19,52,0,1
2.793449,27,50,-27,-11,-16,0,-23,4,1
2.793472,-17,-2,-10,21,36,-4,8,13,1
2.809799,16,-31,-6,-12,14,11,-1,-17,1
2.809824,-44,59,-20,-28,10,-13,-29,-13,1
2.811412,14,-18,30,13,8,1,29,18,1
2.811418,2,-21,25,13,-12,16,8,7,1
2.832151,-5,17,8,-9,69,3,-5,-16,1
2.832175,0,35,-107,-31,-2,-39,-56,-5,1
2.833588,-28,14,93,23,-12,-3,14,1,1
2.833604,3,18,-65,-10,-4,7,-3,-4,1
2.845792,6,35,-17,-26,-67,-21,-5,-4,1
2.845804,15,12,-17,37,36,-7,14,5,1
2.855246,-4,32,1,6,23,-16,24,23,1
2.855252,-5,-11,51,-7,-8,29,-39,-34,1
2.869855,-6,-4,10,5,-2,-6,9,26,1
2.869871,-9,83,-44,-8,5,3,-12,19,1
2.871306,12,-110,55,18,-19,28,31,-30,1
2.871315,-2,38,-34,-9,-2,-18,2,-7,1
2.892264,-3,1,-6,-2,-25,-26,-6,-3,1
2.892285,-3,45,-16,-13,24,-39,17,38,1
2.893727,19,-16,-19,-4,-2,14,-41,-48,1
2.893745,8,-24,-6,-6,-10,-11,5,10,1
2.908234,-1,-18,17,8,6,-1,-7,-15,1
2.908240,1,-19,18,-3,-17,21,11,6,1
2.915219,-14,78,-105,-17,14,-23,-19,16,1
2.915225,-6,-103,100,32,11,24,52,23,1
2.930081,23,8,-17,1,4,21,-41,-10,1
2.931627,-13,3,8,3,0,83,-46,-31,1
2.931634,8,19,-33,-11,-31,-49,71,-14,1
2.931637,3,9,-67,-21,-44,-12,-15,19,1
2.952804,-10,17,67,29,24,0,10,4,1
2.952838,9,-54,43,-1,-40,3,0,-24,1
2.954250,-11,12,-10,-16,18,6,-23,20,1
2.954268,-32,88,-128,-33,22,-19,-36,-8,1
2.965900,14,-110,94,30,1,86,40,0,1
2.965915,25,51,-40,-18,-48,-44,-3,-23,1
2.976512,-14,47,-26,-3,-10,-9,-12,6,1
2.976540,11,24,-22,3,8,-9,-1,0,1
2.989644,-21,26,-30,-4,-6,-20,-11,40,1
2.989676,4,-17,30,11,-2,-13,5,-36,1
2.991550,38,0,-7,-9,2,14,-18,18,1
2.991556,-18,-83,22,5,45,17,15,5,1
3.012399,-63,-1,-46,-17,-66,-20,-6,-11,1
3.012821,24,-26,16,10,96,4,24,14,1
3.014907,-23,42,32,18,15,-9,-40,-19,1
3.014915,55,29,-47,12,-37,11,35,0,1
3.026066,16,89,-88,-4,22,-53,-22,7,1
3.026091,-54,-3,69,16,-26,-6,23,-22,1
3.035245,17,11,-102,-25,-42,18,-45,-40,1
3.035251,1,52,-24,-4,7,-9,-29,10,1
3.050098,8,1,-12,3,12,-1,19,-17,1
3.050114,-4,45,-37,-17,-9,-11,-8,36,1
3.051641,-13,-18,33,11,-1,6,18,31,1
3.051659,8,-32,64,11,37,-4,9,-18,1
3.072043,7,-21,-48,-20,-13,5,1,-2,1
3.072058,-21,-38,5,-7,-1,-10,-35,1,1
3.074315,18,-9,27,16,-83,-4,10,2,1
3.074324,41,101,26,-73,75,0,-15,4,1
3.085688,-91,-79,-43,-15,-4,12,12,-23,1
3.085711,88,46,-23,22,-24,-19,21,17,1
3.095389,-3,45,31,19,-9,15,-11,-4,1
3.095396,5,-14,48,23,-10,-35,-39,47,1
3.110743,58,-11,75,19,-11,39,46,-22,1
3.110761,-15,37,-97,-40,-13,8,-47,17,1
3.111251,-5,-102,88,7,-4,0,25,-33,1
3.111291,-8,39,-48,12,-24,-5,7,12,1
3.140280,-5,109,-59,-2,42,-18,-18,7,1
3.140286,-1,-112,12,11,-19,29,-2,3,1
3.141022,-3,76,-75,-21,38,58,-26,25,1
3.141030,-44,49,-87,-26,-7,-19,-70,-2,1
3.153704,31,-105,66,57,-5,72,81,-11,1
3.153721,5,120,-82,-32,-22,-44,-9,-49,1
3.162076,-19,48,-56,-14,15,-12,7,27,1
3.162098,-20,-13,-85,-28,18,28,0,-10,1
3.171038,28,32,61,15,-23,-3,47,31,1
3.171046,-4,-64,38,11,-1,-10,9,-30,1
3.171051,1,-53,-1,4,15,2,-5,7,1
3.171055,-8,-33,28,27,-30,11,16,7,1
3.192487,-2,47,-22,-34,26,-9,-53,-1,1
3.192521,-12,-30,49,-1,-45,25,-2,-17,1
3.194272,-8,-20,-22,-10,6,-50,8,-2,1
3.194282,17,-3,31,11,-34,-6,32,-3,1
3.205691,-31,126,-94,-9,56,67,-73,14,1
3.205707,-3,-98,13,37,43,-35,-13,78,1
3.216310,20,-86,88,15,-69,-103,37,-33,1
3.216315,47,27,-34,3,-49,53,46,-74,1
3.229834,34,-39,-56,-13,-27,-22,-76,-53,1
3.229865,-34,71,-64,-12,26,33,18,43,1
3.232759,-18,66,-37,0,49,-2,-49,37,1
3.232768,-11,-58,46,16,-5,-3,34,27,1
3.252323,-2,-6,21,-3,-9,-70,4,0,1
3.252346,-18,45,16,-2,-59,-4,-1,-19,1
3.253837,11,9,12,26,77,28,24,22,1
3.253855,24,-71,-11,-13,-29,5,10,-25,1
3.265797,-14,31,-10,-31,5,-6,-24,-4,1
3.265813,-7,-14,33,25,-3,-7,20,2,1
3.276799,1,-3,-40,2,-16,18,4,-15,1
3.276813,-39,114,-55,-3,38,4,-33,10,1
3.289594,-8,-92,59,-8,-45,7,-93,12,1
3.290822,41,-112,69,2,-23,40,79,-47,1
3.291053,-18,94,-113,-48,5,-76,-98,17,1
3.291086,5,8,113,34,-17,86,92,96,1
3.312099,9,118,-113,-15,-24,-38,-104,-88,1
3.312111,-14,110,-57,-17,9,-20,-62,79,1
3.313978,5,11,-58,-18,-10,22,11,68,1
3.314005,-21,-4,-7,2,0,-11,-1,49,1
3.334630,8,12,46,13,17,-6,102,44,1
3.334655,3,-48,-5,-1,17,-6,9,-34,1
3.337471,-3,10,8,6,8,54,3,-35,1
3.337479,-4,-21,6,-15,-19,-118,-7,-15,1
3.349575,22,-49,69,31,4,-14,28,-7,1
3.349593,-4,5,-30,4,24,-13,-29,-40,1
3.351090,-17,-47,24,4,-12,35,10,4,1
3.351133,0,-27,6,-6,-11,-5,-24,-46,1
3.372293,5,-7,-26,-7,8,-4,3,-2,1
3.372309,1,23,2,-12,-2,-7,8,14,1
3.374683,4,7,21,2,-4,-6,13,-11,1
3.374690,-5,-28,-5,3,-4,-5,-31,-28,1
3.394765,-6,22,-12,2,7,-29,2,17,1
3.394786,-31,117,-81,-26,57,58,-26,35,1
3.397675,37,-104,-10,20,-68,-58,-51,-35,1
3.397686,1,47,-58,-1,15,0,7,-59,1
3.409999,-9,25,-64,-13,-44,-36,1,21,1
3.410031,11,0,30,1,62,-30,4,7,1
3.412153,-7,18,-5,-3,10,17,1,-3,1
3.412160,-3,-58,9,0,8,9,-10,13,1
3.431951,2,-7,-3,1,11,-6,-5,3,1
3.431968,-5,-29,20,6,-29,-10,13,-21,1
