timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.165029,0,-29,111,41,12,20,6,4,-1
0.165323,1,-10,-82,-55,-23,-12,-12,-11,-8
0.169175,2,7,62,6,5,0,1,-3,-3
0.169197,3,-14,-68,-13,-1,-4,-2,1,3
0.169861,4,20,95,-3,-5,-5,-3,-3,0
0.169881,5,-10,47,7,-4,-13,2,2,2
0.171616,6,-37,-61,13,-2,24,4,0,7
0.171648,7,-32,5,-29,-16,-10,18,-19,-50
0.182299,8,54,-46,-2,7,10,-4,10,21
0.182324,9,-5,-30,5,2,3,2,2,-1
0.193740,10,37,99,18,3,-8,-2,0,-2
0.193765,11,20,-34,-30,-4,-5,3,2,16
0.197110,12,-14,-27,-5,-8,-6,-2,-5,-10
0.197138,13,2,5,1,2,2,-2,-2,-4
0.212435,14,22,20,10,4,-3,0,3,4
0.212459,15,-7,39,18,6,6,-6,1,2
0.220965,16,3,4,-17,-13,-13,-3,-3,-3
0.221000,17,11,-30,8,11,5,-2,4,8
0.236192,18,-2,-67,-17,-10,-8,-5,-7,-9
0.236224,19,-50,0,15,10,4,-4,5,9
0.242534,20,54,-73,-2,-6,-7,-5,-7,-7
0.243568,21,5,-79,1,0,6,7,1,-3
0.256965,22,-1,58,8,0,1,-2,3,-1
0.256984,23,9,29,5,-1,0,-5,1,5
0.296644,24,8,105,7,1,-1,-1,2,0
0.296676,25,-5,27,-1,3,2,14,-14,-1
0.298134,26,-8,-25,-4,-9,-7,4,2,-6
0.298140,27,28,76,13,2,-3,25,-3,3
0.298142,28,39,-74,-2,-3,-1,17,0,4
0.298144,29,0,59,-9,-7,-4,-13,2,2
0.298656,30,35,-13,-7,0,0,-10,-7,3
0.298664,31,-18,-27,-3,-6,-4,-4,-4,-11
0.311131,32,-6,18,10,3,1,-10,-2,-1
0.311156,33,-33,-120,-15,-7,-6,7,-7,-9
0.317526,34,11,-92,-27,-4,-1,0,4,-20
0.317553,35,9,98,9,2,2,2,10,82
0.325882,36,11,36,-1,-3,-8,-13,-14,-6
0.325906,37,-44,-68,3,1,6,-3,9,-6
0.339535,38,-24,124,25,8,0,4,3,-9
0.339559,39,19,-120,-13,3,4,-11,-1,-20
0.356014,40,-45,-60,-7,-5,-3,0,-3,-4
0.356046,41,-2,75,8,8,3,1,5,53
0.361897,42,-42,17,27,9,4,0,-2,2
0.361922,43,-47,-78,-40,-13,-6,5,-7,-14
0.370995,44,1,106,3,0,0,-15,-5,9
0.371069,45,-4,55,5,-6,-5,4,4,-26
0.385806,46,-24,114,9,1,4,11,0,14
0.385844,47,-17,11,11,4,0,-6,-7,-14
0.387238,48,-60,16,-6,-3,-1,3,-1,-13
0.387245,49,-13,-58,-19,-6,-4,-7,-11,-6
0.408515,50,27,105,0,-3,1,-3,-1,9
0.408540,51,34,-9,2,-7,-1,2,2,-6
0.410104,52,-54,-83,-14,1,-2,-2,-1,-2
0.410124,53,-3,105,18,5,0,2,2,-1
0.422094,54,1,26,-3,-1,-3,7,-1,3
0.422115,55,-14,-88,-16,-3,-1,-8,-1,-11
0.430887,56,19,62,11,2,2,3,5,2
0.430923,57,-30,42,-4,0,0,0,2,-5
0.446273,58,-22,-128,-11,-6,-4,-6,-4,5
0.446288,59,-8,109,10,3,0,0,5,-2
0.447306,60,70,-34,-12,-4,-1,-12,-22,1
0.447330,61,46,95,14,2,0,0,2,-3
0.468504,62,-22,-73,-9,-5,-3,13,-5,-2
0.468532,63,27,127,12,1,-5,-29,-5,-11
0.470872,64,5,-7,3,3,2,15,14,5
0.470878,65,24,-22,-5,-2,-2,-8,-10,-6
0.482243,66,14,14,4,0,3,18,-1,-1
0.482271,67,16,55,-2,1,-3,0,-6,-5
0.492014,68,-17,-77,-11,-1,-2,24,5,1
0.492025,69,-1,17,13,6,3,-1,-5,-5
