timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.161981,0,53,1,-12,-4,-7,-6,-8,-13
0.162214,1,-22,-6,-5,-2,-2,-1,-2,-1
0.164120,2,0,25,-8,-1,4,3,1,1
0.164232,3,2,-20,13,5,5,1,-1,-1
0.164809,4,-19,9,32,4,0,1,-1,3
0.164823,5,-2,8,-16,-5,-2,-2,-5,-7
0.166069,6,1,2,0,-1,-3,-1,-1,-3
0.166087,7,-18,20,-15,0,2,0,10,-2
0.175253,8,15,-32,-6,-2,2,-2,-3,-6
0.175284,9,18,-15,-16,-6,-10,-5,-4,2
0.181895,10,-17,40,42,9,10,5,-5,3
0.184078,11,6,-33,-32,-5,-7,-7,2,4
0.192696,12,-18,20,1,-5,-11,-2,3,-2
0.192716,13,-12,74,-8,2,8,5,4,5
0.205126,14,23,-71,-27,-2,5,-2,-5,11
0.205151,15,12,17,59,5,-4,-1,-5,-17
0.214521,16,14,18,-10,-1,1,2,-4,5
0.214535,17,-2,-9,1,-2,-3,-5,5,-5
0.229512,18,-19,1,-16,-3,3,2,-2,2
0.229528,19,-23,31,12,6,1,2,-9,5
0.235140,20,3,-27,-24,-8,-7,-6,12,5
0.235170,21,9,-39,31,5,0,3,-4,-1
0.250023,22,20,23,-3,-1,-2,-4,0,-9
0.250044,23,-20,-39,-40,-8,9,5,-6,4
0.288805,24,53,16,-28,-11,-11,-5,15,9
0.288818,25,4,-37,-5,-4,4,1,-2,-2
0.289521,26,-10,19,8,1,3,2,-2,2
0.289527,27,-14,-18,8,8,6,1,-5,4
0.290255,28,-26,42,9,1,0,2,0,-4
0.290268,29,53,-64,-16,-4,-4,-5,-2,-5
0.293986,30,-10,42,-12,-4,2,2,0,-3
0.294000,31,-8,1,3,-3,-4,2,3,-1
0.301927,32,-3,3,-6,-3,2,-2,-9,0
0.301965,33,-31,26,-1,0,-8,-6,2,1
0.310638,34,24,-17,17,4,8,3,-1,-1
0.310653,35,7,-26,-45,-18,-23,-12,-16,-1
0.316243,36,35,28,63,10,2,4,18,-6
0.316267,37,-34,5,-15,-1,5,4,3,12
0.332973,38,34,26,8,-4,-3,-4,-6,-9
0.332990,39,-21,-84,16,9,11,5,5,-1
0.338824,40,0,-19,-17,0,1,-1,-12,3
0.338848,41,8,26,6,-3,-5,-1,-1,-2
0.353730,42,-14,5,-6,0,2,-1,6,1
0.353756,43,3,63,-33,0,7,3,5,8
0.361240,44,2,-60,29,-1,-7,-6,-12,-8
0.361265,45,30,-13,8,-5,-5,-1,-2,-7
0.378976,46,-18,-39,-15,-1,-2,-1,-3,-4
0.378996,47,-2,59,-5,-2,8,2,1,-2
0.379139,48,-41,-24,-30,-1,-7,-7,-8,1
0.379173,49,-13,-9,31,-1,-4,-3,-1,4
0.399570,50,-27,32,3,-4,-8,-4,9,2
0.399593,51,39,-30,20,-1,2,2,5,0
0.401169,52,-31,10,0,4,11,6,3,3
0.401181,53,18,22,-21,-1,-5,-4,-11,-11
0.421866,54,5,-30,-14,-4,-2,-1,-8,-3
0.421884,55,-4,-10,14,3,4,3,1,-5
0.422868,56,4,88,0,-10,-12,-12,-8,-5
0.422879,57,-30,-30,-12,4,4,1,4,0
0.437150,58,-9,-31,-2,2,0,1,0,10
0.437169,59,-2,21,1,-2,0,-2,6,-2
0.438208,60,20,28,-22,2,7,16,2,4
0.438221,61,-3,-28,44,6,10,-2,-4,-5
0.459681,62,30,11,-15,-1,-1,36,6,5
0.459709,63,-37,-48,1,-6,-16,-78,3,-10
0.460346,64,27,-56,-13,1,-2,5,-14,-1
0.461772,65,-7,30,-15,-3,3,1,16,2
0.473962,66,-7,-6,7,4,9,4,-6,0
0.473980,67,32,-2,-5,-6,-8,17,-10,-1
0.481389,68,-2,15,3,-3,-5,-5,7,-3
0.483677,69,-12,8,-4,0,-3,-1,-8,0
0.497204,70,-4,46,0,1,5,0,-3,-4
0.497219,71,-60,-29,-25,-4,-1,12,2,4
0.498493,72,13,-29,13,-3,-5,-15,-17,-13
0.498502,73,11,41,-28,0,2,12,11,9
0.519563,74,-16,-24,-15,-2,-5,-13,0,2
0.519586,75,15,71,35,3,3,5,0,-5
0.521204,76,-5,-27,10,4,12,7,4,4
0.521216,77,5,13,-22,-5,-14,-7,-10,-2
0.534005,78,6,-48,30,1,-2,-9,11,-3
0.534138,79,-5,6,-22,-4,-6,3,-6,8
0.541589,80,-14,19,2,-5,1,2,13,0
0.541612,81,55,-13,7,6,17,8,0,-15
0.557262,82,10,-3,-11,-4,-12,-14,-12,1
0.557285,83,3,36,2,-2,-1,10,-5,-4
0.559446,84,-19,-13,-2,2,-6,-4,4,6
0.559458,85,-23,49,2,-4,-5,-3,0,10
0.579964,86,-9,-36,1,-5,0,-2,0,-16
0.580005,87,22,32,1,7,11,9,-2,-4
0.582418,88,-63,-34,-6,-1,-2,-5,1,-2
0.582423,89,63,-18,6,-2,-1,-3,-2,1
0.594026,90,8,38,10,-2,-3,-3,-8,-6
0.594046,91,8,-22,-10,-4,-4,2,6,4
