timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.017576,-1,5,-6,-1,-3,-5,-24,-4,1
2.018087,21,28,-10,-1,3,2,20,61,1
2.020014,-14,-28,22,1,-1,2,20,-7,1
2.020018,11,2,-10,-5,-3,-3,-39,-9,1
2.039870,-8,0,-2,-1,-1,1,-3,-13,1
2.039888,-9,-7,-2,1,0,-9,-26,-34,1
2.041301,8,18,-16,-3,0,2,14,5,1
2.041322,-6,-35,-4,-2,-2,1,29,20,1
2.054124,-6,-2,17,0,0,-2,-27,-5,1
2.054140,0,-9,7,2,-1,-2,0,-12,1
2.061189,-6,11,-20,-6,-4,-8,-6,-7,1
2.061210,-9,-7,10,4,1,2,14,-10,1
2.077563,2,6,-8,-3,-3,-1,-19,4,1
2.077584,-7,-5,5,-1,-1,-6,-11,-9,1
2.079414,5,7,-1,-1,3,10,86,1,1
2.079419,0,23,-12,-5,-2,-4,-31,-5,1
2.099870,-1,-19,10,3,0,2,22,7,1
2.099941,3,3,4,-1,-1,2,-2,3,1
2.101486,2,10,-1,0,-2,-5,-25,2,1
2.101502,-1,-4,-7,1,2,0,2,5,1
2.114986,-1,-7,0,-1,0,1,3,-1,1
2.114990,-2,6,3,-4,-3,0,-17,-39,1
2.121103,16,30,12,1,2,3,-12,82,1
2.121127,-5,-28,-6,3,1,-1,10,3,1
2.137430,4,-7,-8,1,0,0,-18,-7,1
2.137455,-5,-6,-11,-6,-4,-3,15,-19,1
2.138860,-4,-4,-2,-1,-1,-2,-7,-34,1
2.138896,-2,10,-7,-7,-5,-4,3,-8,1
2.160157,-1,0,-5,0,-3,0,3,15,1
2.160161,-8,9,17,0,-3,0,8,0,1
2.161206,-1,-1,1,2,-1,-1,6,-18,1
2.161245,-4,-13,-8,0,-1,-5,-1,-12,1
2.174326,-6,5,1,-5,-4,-2,-8,-18,1
2.174355,7,-6,-10,0,1,3,16,18,1
2.180824,-3,-12,-4,-5,-2,-2,-22,-15,1
2.180842,-1,2,2,-1,-4,-4,-12,-12,1
2.197485,-8,13,3,0,-1,-3,-3,-1,1
2.197506,1,35,-18,-2,2,0,1,3,1
2.199216,-2,-76,14,3,0,-3,-10,-2,1
2.199221,-9,36,5,1,-1,-1,-2,-35,1
2.219759,6,-22,-5,0,2,3,8,4,1
2.219777,-1,-12,-7,-1,-1,4,-20,2,1
