timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.002661,29,-7,26,7,-1,0,-2,7,4
2.002987,41,34,-7,0,2,2,6,13,4
2.004077,7,0,20,5,0,-5,-5,8,4
2.004081,-43,-57,-24,-6,-3,-5,-13,-76,4
2.027060,-86,121,17,9,6,4,8,-9,4
2.027066,33,59,5,-1,-4,-6,-13,-32,4
2.027067,-47,-61,-6,-12,-2,2,4,15,4
2.027070,34,11,9,6,6,4,4,-20,4
2.048803,21,36,-10,-2,-1,-2,0,43,4
2.048832,43,-34,32,20,4,2,3,-12,4
2.051133,-57,20,-4,-6,0,-3,-4,3,4
2.051152,18,-63,-10,-5,-2,1,3,13,4
2.062856,58,17,8,0,0,0,-1,40,4
2.062869,-67,99,49,1,11,10,19,-7,4
2.070223,-56,-103,-46,-9,-9,-7,-19,-71,4
2.070247,23,-61,-33,-18,-9,-4,-2,26,4
2.085808,57,-35,-6,8,0,-1,3,7,4
2.085839,-23,-96,-25,-1,-2,-4,-3,-18,4
2.087103,83,38,21,-5,2,4,6,21,4
2.087108,-46,80,23,0,1,2,-2,-18,4
2.108505,24,38,-16,-1,-4,-3,-7,-34,4
2.108535,89,26,-11,-8,-4,-4,-2,39,4
2.109034,-59,-57,-1,-1,-2,0,0,2,4
2.109055,-7,-17,-9,0,-2,-4,0,8,4
2.122653,62,91,39,-3,1,1,2,-44,4
2.122676,-49,-71,-50,-2,-5,-8,-14,75,4
2.123290,41,99,4,-15,-10,-13,-22,-41,4
2.123305,-64,72,0,-8,-5,4,10,3,4
2.146008,-44,-34,-30,-8,-3,4,2,-13,4
2.148582,15,-40,16,16,6,-12,-4,5,4
2.148587,48,52,-26,-3,-10,-13,-9,12,4
2.148589,-59,-91,23,28,6,-4,-10,-26,4
2.168768,-8,30,2,-7,2,2,-2,-8,4
2.168799,123,-68,7,1,2,21,17,41,4
2.169106,-94,-36,-4,-18,7,39,12,111,4
2.169114,45,1,8,12,-2,-27,-8,-40,4
2.182733,-13,-9,1,4,0,-4,-2,41,4
2.182739,83,26,-19,-4,-2,-8,0,18,4
2.183361,-26,49,12,2,2,7,4,-31,4
2.183367,-77,-56,-69,-47,-11,4,-1,-19,4
2.205234,3,-73,5,20,5,-8,-10,4,4
2.205256,31,10,-36,-18,-10,-7,-10,-31,4
2.207026,-19,-19,-9,1,2,-5,-1,-24,4
2.207032,101,45,41,9,7,11,17,37,4
2.229941,-106,108,33,3,-2,-8,-6,-27,4
2.229954,-68,-2,-1,-16,-7,2,3,1,4
2.229956,-35,-28,-14,-10,-3,-9,-9,-41,4
2.229959,44,18,-4,16,1,0,-2,20,4
2.242710,99,63,19,2,6,11,3,-12,4
2.242746,-1,107,22,-6,-8,-7,-12,40,4
2.245055,-17,-128,11,1,3,-4,5,-3,4
2.245059,53,122,-3,2,2,3,-3,21,4
2.265788,47,-47,-14,-5,-3,1,4,-10,4
2.265808,32,23,-7,3,1,0,-4,-68,4
2.267058,36,12,9,9,1,-5,10,58,4
2.267065,45,-33,-6,-10,-9,-5,-13,-5,4
2.288395,-2,11,-3,14,8,4,6,20,4
2.288418,-92,-106,-24,-19,-10,-12,-15,-54,4
2.289795,52,-94,-9,6,1,1,0,13,4
2.289804,-36,30,23,-1,5,5,2,-41,4
2.302689,-81,-117,-25,-20,-11,-7,-6,24,4
2.302708,7,127,-39,-11,-3,-1,-3,-30,4
2.304116,65,-24,-12,6,1,-4,-6,-16,4
2.304121,35,30,-16,-3,-2,1,5,34,4
2.326404,-44,-74,8,-1,1,-2,-6,-46,4
2.326422,-15,92,24,3,2,2,0,-6,4
2.327024,-33,-72,-31,-15,-9,-5,4,0,4
2.327036,-128,-76,13,4,1,-1,-7,-36,4
2.348428,7,21,-23,1,-3,1,-2,-18,4
2.348450,21,-61,24,-8,-1,3,6,12,4
2.350429,-36,127,28,23,8,-2,-1,32,4
2.350436,-43,-37,3,-7,0,3,5,-1,4
2.362681,55,102,17,8,5,0,5,34,4
2.362710,25,-49,5,27,9,9,11,-3,4
2.365656,52,-78,-9,-24,-8,-8,-10,-13,4
2.365662,125,78,5,0,2,0,-2,-34,4
2.386171,76,70,-16,-13,-5,0,-1,44,4
2.386193,-37,94,19,20,2,1,-2,-17,4
2.386433,-23,-53,6,6,3,2,5,28,4
2.386442,-49,-53,-9,0,-3,-1,-4,-16,4
2.408391,62,-23,-12,-8,-4,1,6,-20,4
2.408415,23,14,10,-6,-2,-4,-3,6,4
2.410471,39,42,-5,7,1,2,0,-53,4
