timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.010286,28,-20,-2,-6,-5,-3,-1,-5,4
2.010614,10,5,26,7,4,2,3,7,4
2.011014,26,15,-53,-7,-2,-4,0,-2,4
2.011031,-24,-51,9,3,1,-1,3,7,4
2.034029,-1,30,16,7,2,2,0,17,4
2.034057,18,-4,-20,-6,-5,-1,-1,-8,4
2.035953,25,59,-6,-2,-1,-1,-4,-10,4
2.035957,23,71,28,0,0,0,1,11,4
2.047247,-14,-43,-58,-15,-7,-3,1,-16,4
2.047269,-18,66,17,3,0,1,-2,2,4
2.055417,-31,-67,30,2,-2,-2,-1,-4,4
2.055437,-7,68,13,-2,0,3,8,19,4
2.070336,-6,-73,-38,-3,-1,-2,-4,-11,4
2.070359,20,32,-10,1,-1,-2,0,0,4
2.071043,21,-49,-9,1,1,2,0,0,4
2.071064,-34,-100,15,-1,-1,-2,-3,-11,4
2.093897,33,105,25,8,2,0,3,21,4
2.093923,-28,-126,-9,-7,-2,-2,1,-7,4
2.095481,-33,-53,-31,4,2,2,0,-11,4
2.095486,-29,-24,-19,-2,-3,-2,-4,-8,4
2.107140,74,4,11,1,1,-1,0,14,4
2.107158,22,-93,18,2,4,-2,-2,-14,4
2.115479,-5,25,-9,4,0,-2,2,-14,4
2.115495,-3,40,-3,-10,-6,-2,-2,-2,4
2.130781,-38,16,-8,-5,-3,1,-1,-6,4
2.130785,-33,-23,-24,9,4,2,3,1,4
2.131072,47,45,16,-3,-4,-3,-4,10,4
2.131081,-59,-107,11,-1,-1,-1,-4,-12,4
2.153553,-45,-39,-20,-1,-2,-2,-2,7,4
2.153573,7,42,0,-7,-1,-1,1,-2,4
2.155046,10,70,22,7,0,-2,-1,-1,4
2.155051,-50,-22,-19,-4,-3,-2,-6,-24,4
2.175989,10,10,8,3,2,0,3,5,4
2.176005,51,17,-1,9,3,2,2,-4,4
2.176688,-25,-22,-37,-2,-2,-1,-5,-12,4
2.176703,93,63,-4,1,-3,-5,2,-5,4
2.191925,79,28,13,7,3,4,4,8,4
2.191931,20,-87,-28,-11,-4,-4,-2,2,4
2.191936,78,28,36,1,1,4,4,13,4
2.191937,8,-35,20,-1,-1,1,2,16,4
2.213348,23,-64,12,6,2,-1,1,-21,4
2.213364,-48,-45,4,-7,-5,-4,-6,-8,4
2.214793,47,-81,-4,-1,0,1,2,9,4
2.214805,-116,11,3,-4,-3,-2,-9,-19,4
2.237552,59,-91,28,2,0,2,2,23,4
2.237557,-6,111,31,10,4,2,0,-18,4
2.237560,-24,-79,-11,-13,-8,-7,-5,-3,4
2.237562,-54,-33,-5,-1,1,1,-3,-5,4
2.250525,39,48,-46,-6,-4,-3,0,-13,4
2.252653,11,-37,4,-2,-3,-6,-7,-30,4
2.252657,-34,13,1,-3,1,-1,-1,11,4
2.252659,81,48,7,8,4,2,5,27,4
2.273620,-10,-26,10,-7,-2,-4,-2,-17,4
2.273636,-52,-23,-6,-3,-1,1,-2,7,4
2.274794,-2,108,15,-7,-3,-2,-1,-3,4
