timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.002858,-57,-16,-10,-15,-10,-65,97,-67,3
2.003255,-6,-1,-2,0,73,58,72,-5,3
2.004643,1,4,3,3,-68,-40,-110,31,3
2.004651,-11,-18,-10,-2,-16,50,82,-18,3
2.025543,5,-5,-10,-23,10,-41,-31,-17,3
2.025565,61,3,3,-6,-122,26,-20,24,3
2.026804,5,7,-2,4,-69,-90,95,40,3
2.026817,-19,-1,-1,-29,21,26,-33,-7,3
2.038959,17,4,6,24,-97,-38,33,-6,3
2.038974,-11,-13,-16,0,-79,-26,-11,0,3
2.049686,17,3,4,-20,6,65,-52,40,3
2.049690,-34,-4,-4,-3,26,19,-38,-40,3
2.062987,2,3,5,5,-16,37,51,14,3
2.063011,23,11,7,8,-23,-16,-41,-6,3
2.065798,32,0,3,8,77,38,55,-11,3
2.065809,-54,4,1,0,-22,-78,33,65,3
2.085613,44,5,1,-10,31,79,-1,40,3
2.085628,18,6,4,12,0,6,100,18,3
2.086866,-11,-8,-8,0,78,-12,87,35,3
2.086912,29,5,8,13,-24,42,96,-39,3
2.100624,7,5,-5,-37,-1,-14,-27,-23,3
2.100634,3,-22,-8,39,2,86,-26,16,3
2.109808,10,8,1,7,-50,33,46,21,3
2.109814,24,-9,-8,-13,-45,-27,-96,3,3
2.122902,-29,4,3,16,-51,28,-97,17,3
2.122926,6,-1,-2,-13,-46,-65,67,47,3
2.125051,-9,-4,-4,-17,-53,12,-105,-7,3
2.125056,5,-11,-8,11,66,-28,-14,-32,3
2.146199,63,-3,-2,-13,-46,-90,15,1,3
2.146205,-60,-17,-10,-20,127,23,5,-55,3
2.146667,-19,5,1,-11,-25,110,-30,13,3
2.146672,29,3,4,-16,-54,55,21,18,3
2.159061,-9,-10,-6,11,54,29,-26,-2,3
2.159082,24,17,6,-7,18,-21,56,-16,3
2.169468,11,-20,-7,-10,86,-71,-6,24,3
2.169476,-4,11,9,33,83,47,92,-29,3
2.183042,-20,0,0,-3,-60,34,44,23,3
2.183067,-50,2,3,-9,71,126,56,19,3
2.185135,14,9,2,3,-17,12,-28,-5,3
2.185143,-7,2,-1,-4,-69,-35,-47,-10,3
2.205241,1,0,-1,-21,1,31,65,-5,3
2.205258,19,-1,3,21,72,46,36,12,3
2.206795,7,-1,-5,-4,-45,-57,32,7,3
2.206844,-30,-3,-3,1,-28,111,77,-3,3
2.219351,-11,4,6,0,-93,-81,-91,-10,3
2.219384,-14,2,-1,-13,-127,39,-48,-8,3
2.228777,-28,-14,-5,-10,46,48,-8,-26,3
2.228785,79,1,0,-1,-16,-57,-30,7,3
2.242927,-26,-4,-9,5,117,-33,-28,8,3
2.243000,17,3,2,-10,-49,3,93,28,3
2.244325,-55,6,2,14,-14,-33,-4,16,3
2.244363,-16,-15,-7,-9,-20,-14,-88,-3,3
2.265749,6,11,4,30,-22,91,-6,16,3
2.265777,15,-10,-4,-6,7,5,-65,-15,3
2.268181,31,9,2,10,0,-19,9,-18,3
2.268188,11,8,5,7,11,127,-4,-12,3
2.279252,-4,4,7,4,48,47,104,73,3
2.279277,40,0,-1,-2,57,-21,-75,4,3
2.288788,-4,4,-2,-3,-51,39,107,-14,3
