timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
10.028986,-34,-34,-14,-28,-98,-20,-5,-36,2.867112520
10.029071,0,-22,-3,-11,-1,6,-9,4,2.867112520
10.030708,-7,55,6,16,25,0,14,-1,2.867112520
10.030727,-96,-20,9,-54,-95,-43,-5,-34,2.867112520
10.043373,7,20,-26,58,78,44,-40,-11,2.867112520
10.043391,38,52,15,-20,-44,-119,-18,80,2.867112520
10.044422,38,10,3,9,-58,38,-7,1,2.867112520
10.044433,77,1,-3,44,45,-120,-5,62,2.867112520
10.065758,-95,-87,-14,-42,-8,100,-82,48,2.867112520
10.065801,25,0,16,41,83,10,46,8,2.867112520
10.066476,21,32,12,-3,-66,26,-8,6,2.867112520
10.066516,13,-53,-27,-9,30,-60,22,-24,2.867112520
10.089847,-10,37,1,-47,-105,-19,-6,-32,2.867112520
10.089868,72,40,-12,-1,-76,-8,-34,-47,2.867112520
10.091645,-2,28,15,20,103,51,38,28,2.867112520
10.091657,5,55,27,9,-68,29,-6,-52,2.867112520
10.103509,-57,-75,-20,-23,-32,-38,-16,14,2.867112520
10.103528,11,-17,-6,-44,-39,14,15,-16,2.867112520
10.106046,-19,47,12,66,101,-42,-38,-3,2.867112520
10.106060,-70,-82,12,28,15,-10,-16,29,2.867112520
10.126107,80,127,-8,-37,-55,0,-13,42,2.867112520
10.126118,16,104,-2,-16,2,-6,20,4,2.867112520
10.126364,-11,-13,-19,-2,9,-90,-45,-5,2.867112520
10.126373,93,127,25,42,36,8,-26,29,2.867112520
10.149537,-53,-9,4,-78,-49,-47,-12,-53,2.867112520
10.149560,-53,-53,-27,52,99,45,-5,-16,2.867112520
10.151702,1,-42,-4,-27,-87,-90,-15,-8,2.867112520
10.151712,70,17,17,28,51,-30,34,-53,2.867112520
10.163389,-7,94,-1,25,-17,58,-8,-44,2.867112520
10.163421,-50,-5,-8,-62,-14,-5,-34,3,2.867112520
10.172909,57,99,15,19,29,-19,15,95,2.867112520
10.172922,-89,-19,-15,-24,-42,66,25,18,2.867112520
10.186306,69,33,-2,11,23,-50,23,-15,2.867112520
10.188550,56,-63,0,7,-42,4,-16,14,2.867112520
10.188561,-65,-81,-3,13,13,21,-47,-29,2.867112520
10.188564,56,-27,7,-7,24,33,-16,-71,2.867112520
10.209051,-33,-88,-31,-19,-42,-48,5,43,2.867112520
10.209086,0,119,1,10,-16,59,14,-6,2.867112520
10.216156,50,53,37,47,86,-60,6,-23,2.867112520
10.216187,-26,-35,-26,-14,-79,74,38,-4,2.867112520
10.223352,-18,-15,4,-4,109,53,-25,-4,2.867112520
10.223384,17,2,10,14,-91,52,-8,1,2.867112520
10.226345,34,120,-17,-43,-60,127,59,-19,2.807817978
10.226364,30,-15,-22,-21,-35,-50,-17,-37,2.807817978
10.246059,-35,26,16,0,-20,-75,-28,5,2.807817978
10.246090,30,-8,-3,12,-28,-26,-47,44,2.807817978
10.248776,10,-55,8,9,74,71,1,-21,2.807817978
10.248792,-67,-87,-26,-38,-22,-24,-13,-42,2.807817978
10.269001,-48,-75,-18,-9,7,-59,-5,-2,2.807817978
10.269023,-12,18,-8,31,103,14,7,-56,2.807817978
10.271061,-73,-128,-20,18,-10,-2,-34,2,2.807817978
10.271074,-11,-9,12,8,-82,-26,14,62,2.807817978
10.284629,99,112,37,-8,6,-77,-15,6,2.807817978
10.284641,7,-88,-26,-25,-1,-43,5,2,2.807817978
10.284643,-62,-76,-40,-43,-100,7,40,-23,2.807817978
10.284645,38,95,3,20,-67,-8,-22,36,2.807817978
10.305783,21,127,17,47,46,78,16,-4,2.807817978
10.305801,79,124,36,1,-104,12,38,37,2.807817978
10.307882,-110,-85,2,-28,-81,-12,-21,-50,2.807817978
10.307894,80,-88,-32,-9,-62,-45,31,-45,2.807817978
10.329724,-35,-88,0,9,-40,-23,-22,80,2.807817978
10.329736,12,-22,-11,-24,0,-30,-20,-23,2.807817978
10.329738,14,44,6,-20,-32,-24,3,12,2.807817978
10.329741,6,107,25,38,86,48,24,24,2.807817978
10.345131,-59,-97,-35,-27,-76,23,-17,-58,2.807817978
10.345143,29,26,-5,16,89,-100,-5,5,2.807817978
10.345146,32,11,0,3,-6,52,47,-43,2.807817978
10.345148,74,68,14,23,110,-22,-16,-37,2.807817978
10.366471,-5,61,24,-18,-34,-39,59,-72,2.807817978
10.366516,-65,-57,3,52,-2,11,-83,44,2.807817978
10.366524,25,3,2,5,8,6,50,26,2.807817978
10.368699,-64,-55,-7,-35,-90,10,-23,17,2.807817978
10.390683,65,42,0,-18,-66,-49,33,-29,2.807817978
10.390695,-108,-126,-23,-8,-3,0,11,-45,2.807817978
10.390698,12,56,7,16,71,-2,-31,13,2.807817978
10.390700,32,6,-8,-20,-35,-6,-7,23,2.807817978
10.402871,50,54,4,9,-23,50,9,35,2.807817978
10.402896,-18,55,7,-38,-46,34,-28,12,2.807817978
10.411055,-8,57,18,22,42,-48,82,17,2.807817978
10.411082,-4,-117,-38,-38,22,-30,-67,-77,2.807817978
10.426151,18,-51,3,15,-32,39,-6,14,2.807817978
10.426187,25,-5,8,11,84,-26,-38,34,2.807817978
10.426678,25,-11,-11,-10,-51,-83,-42,-12,2.807817978
10.426688,46,53,5,36,116,43,31,65,2.807817978
10.449495,7,48,19,24,46,32,-18,29,2.807817978
10.449527,-58,-35,-26,-34,-102,-14,29,-49,2.807817978
10.450117,53,77,-2,-2,22,-22,-16,45,2.807817978
10.450127,14,99,11,-19,-48,-1,24,28,2.807817978
10.463015,-13,48,17,27,23,15,-8,-5,2.807817978
10.463047,86,-57,-8,-19,-22,3,35,61,2.807817978
10.470972,-3,50,1,8,77,8,-29,-34,2.807817978
10.470992,-38,-20,-4,4,60,17,-48,-29,2.807817978
10.485707,-7,36,18,7,3,73,53,-21,2.802089973
10.485727,22,94,31,15,-73,22,55,-22,2.802089973
10.486559,-29,-36,-20,-38,-118,10,34,-45,2.802089973
10.486581,69,-13,8,29,58,85,-77,60,2.802089973
10.509159,-3,-113,-19,-19,-46,-105,8,-11,2.802089973
10.509184,9,44,24,17,83,82,23,33,2.802089973
10.511350,-26,-21,-17,19,39,40,-41,-56,2.802089973
10.511363,-6,-17,7,-13,-64,-35,9,-12,2.802089973
10.522520,-30,-116,-6,4,28,11,19,-5,2.802089973
