timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.016554,-10,-20,4,1,2,-4,-90,-36,1
2.016726,-8,35,-6,-3,-7,-14,47,13,1
2.016730,9,-19,-22,-7,-2,11,-42,-27,1
2.016733,-6,-80,7,-4,-8,-19,23,-9,1
2.038609,1,39,16,2,1,6,1,16,1
2.038634,1,-10,-6,-1,1,-3,-10,-9,1
2.039950,1,7,-6,1,1,-13,-27,7,1
2.039964,1,42,-16,-2,-4,15,4,-4,1
2.052812,1,-12,-3,-2,-1,-4,9,1,1
2.052836,-6,-20,-3,-1,-3,-2,-30,-1,1
2.053503,0,-32,-21,-1,0,-9,5,7,1
2.053517,-7,65,28,-1,3,7,32,0,1
2.075922,0,-22,0,-4,-3,4,1,4,1
2.075946,-1,-30,5,1,2,10,7,5,1
2.078027,-13,5,-14,-1,1,2,8,6,1
2.078041,10,34,-35,4,6,-17,-22,-19,1
2.106701,-3,-96,58,3,-6,-12,73,19,1
2.106742,-6,23,9,-7,-4,27,-16,-19,1
2.109546,6,4,4,-1,-4,-4,20,-5,1
2.109556,-4,-16,4,0,-6,3,-23,2,1
2.112868,10,31,-32,-1,4,-11,-7,15,1
2.112896,-12,-21,-12,-1,3,-6,-29,-15,1
2.113416,-1,-8,23,2,-7,1,30,6,1
2.113494,0,-7,0,-3,0,-1,-58,-7,1
2.136136,-1,11,-16,-1,6,5,7,-8,1
2.136159,-1,9,-15,-3,0,-18,0,28,1
2.137737,-2,-12,18,-5,-22,-14,48,-15,1
2.137742,-6,-22,5,0,-1,-8,-10,0,1
2.158303,7,0,-6,-2,-2,6,-12,-3,1
2.158317,-8,6,-7,1,7,2,0,-5,1
2.159111,-1,14,7,7,15,-4,-24,9,1
2.159132,12,43,17,-3,-16,5,61,15,1
2.174014,-13,-1,-23,-6,-3,0,-20,-6,1
2.174035,4,5,8,0,-3,2,-8,-9,1
2.174042,-7,-6,-1,0,6,1,-7,-7,1
2.174048,-8,30,4,-5,-5,-5,-49,-9,1
2.195936,-2,14,-5,-3,1,8,6,14,1
2.195953,10,9,7,3,1,-11,-3,1,1
2.197229,-2,18,-9,-3,-4,7,-12,14,1
2.197235,9,-45,8,2,7,4,5,-14,1
2.218566,-13,-27,-9,-1,-11,-6,-2,-3,1
2.218589,4,39,2,-2,3,-4,-41,-9,1
2.220520,-5,-53,-5,1,1,14,53,14,1
2.220531,-7,33,4,-1,3,29,5,1,1
2.241267,5,-2,1,1,-2,-46,-40,3,1
2.241301,-3,-18,-3,2,-2,9,14,-3,1
2.242743,10,19,-8,1,-1,-4,-2,-19,1
2.242749,0,42,-31,-3,8,-14,-8,10,1
2.256102,-10,17,48,-2,-20,39,53,11,1
2.256134,0,-45,0,2,4,-8,-26,-9,1
2.258815,2,7,-2,-2,-2,-2,-11,-7,1
2.258824,1,-26,-11,1,4,-6,6,0,1
2.278488,10,21,-16,4,12,-4,-36,-6,1
2.278512,-6,29,-2,-5,-9,-5,31,13,1
2.280058,-8,-57,3,-2,0,2,-26,-7,1
2.280067,1,-29,2,1,-4,-8,-2,3,1
2.292018,-4,-3,-17,-1,6,-3,-45,2,1
2.292042,0,18,25,-2,-10,4,27,-11,1
2.300366,3,13,-9,-2,1,-1,-6,-6,1
2.300390,-11,-17,6,-3,1,6,15,-9,1
2.316015,7,35,-34,-7,-6,-13,-38,3,1
2.316039,-4,-81,29,6,7,-2,5,1,1
2.316795,-6,17,8,-2,-2,5,-22,4,1
2.316896,16,-17,2,0,-6,-11,11,10,1
2.338559,-19,3,-11,-3,5,11,37,-17,1
2.338582,5,8,-18,-1,-3,-1,3,1,1
2.341453,-2,16,-3,-3,-5,-9,-35,1,1
2.341461,-1,14,2,0,4,13,46,6,1
2.352221,2,-61,8,-5,-17,-7,21,-10,1
2.352251,-4,-1,-12,-3,-2,-3,-9,13,1
2.360606,6,14,11,2,1,-2,-8,1,1
2.362625,-3,-3,-8,1,-5,1,-4,-6,1
2.376580,6,18,2,2,7,-2,-4,-4,1
2.376598,-13,-12,-8,-5,-3,-5,11,2,1
2.377184,3,14,-21,-1,-4,-1,-10,-1,1
2.377206,-4,-26,27,1,3,-5,10,2,1
2.398614,6,-44,6,-1,-1,8,11,-9,1
2.398638,-5,4,9,4,3,0,-39,7,1
2.399611,-3,12,-9,-1,1,8,24,15,1
2.399617,4,-8,-14,-1,-6,-24,-25,-35,1
2.412084,4,7,1,1,1,9,3,7,1
2.412102,-2,24,-4,0,-2,-15,-27,-7,1
2.421035,-1,-38,5,-3,0,13,72,18,1
2.421042,-1,-49,6,0,-4,-3,-39,-7,1
2.438143,-10,13,-3,-3,0,2,0,0,1
2.438148,5,13,-13,-4,-7,-2,17,-9,1
2.438151,2,45,-1,3,6,-5,0,2,1
2.438154,1,-25,2,1,0,6,16,9,1
2.458411,-6,27,15,0,4,4,-17,-12,1
2.458437,4,-8,-8,-1,4,-5,47,1,1
2.459164,3,2,6,-1,-10,-1,-29,-5,1
2.459182,4,20,-11,-1,6,-4,-20,-4,1
2.472257,-5,3,-4,1,1,-1,-15,24,1
2.472279,3,-18,-3,-2,-1,4,18,-11,1
2.480287,-2,2,-1,-1,-1,-12,-32,-11,1
2.480310,-6,-9,-4,-3,-7,7,18,2,1
2.495290,-5,2,17,1,-2,-9,3,1,1
2.495311,7,-18,-14,-1,0,-3,-8,10,1
2.496874,7,-62,8,1,-2,-4,14,-6,1
2.496880,-15,-5,23,-1,0,1,-6,17,1
2.518406,8,17,-16,-2,-3,-5,33,-10,1
2.518666,-5,-2,4,1,0,5,-54,-16,1
2.519152,-2,5,-18,-2,3,-1,40,-5,1
2.519190,5,8,-11,-2,-3,-1,-10,11,1
2.531953,-6,10,5,-1,1,-2,6,6,1
2.531966,12,21,-8,-1,3,-9,-11,-23,1
2.540789,-8,2,10,2,1,18,58,30,1
2.543102,16,-9,-3,0,-10,-7,-41,-20,1
2.555383,-19,5,-10,0,1,-4,17,14,1
2.555405,2,0,-2,-4,-6,3,-5,-4,1
2.558179,-16,4,3,-3,-5,-5,0,-5,1
2.558210,-5,-20,12,2,20,10,6,9,1
2.579972,9,-31,-21,1,-2,15,9,-6,1
2.579984,2,46,2,0,0,-2,2,3,1
2.579987,-1,-104,32,1,-4,-3,-19,-12,1
2.579990,-5,29,-15,-3,-7,2,15,6,1
2.600990,2,16,-1,0,3,-15,-34,-11,1
2.602903,-10,-16,-6,-1,1,2,-13,11,1
2.602908,6,40,-15,-3,-2,-5,-6,-6,1
2.602911,-6,6,1,-1,-4,-3,35,11,1
2.615149,11,-14,-2,-1,8,11,-40,-4,1
2.615175,-17,-9,10,-1,-10,1,23,-13,1
2.616054,0,26,-1,-2,2,-4,-16,-1,1
2.616070,-4,-3,-8,-2,-3,-5,-17,-10,1
2.638512,5,-2,-1,1,-1,-5,44,13,1
2.638529,7,7,-15,0,3,1,-38,4,1
2.639362,-9,47,23,4,7,-6,-23,-6,1
2.639367,-13,-32,8,-4,-3,11,-3,-2,1
2.661273,4,2,-9,-9,-25,-16,14,8,1
2.661299,1,-14,5,1,6,20,-12,-14,1
2.661708,4,-8,-35,-5,1,-7,55,7,1
2.661727,4,64,-2,0,-6,-11,-43,15,1
2.675104,-1,-1,12,4,8,4,8,-4,1
2.675114,-12,-19,-10,-4,-9,-6,11,-6,1
2.675957,7,7,-7,-3,0,4,-55,-8,1
2.675980,-7,21,18,0,-1,0,27,5,1
2.698951,3,26,-8,-2,-1,-1,-23,-10,1
2.698969,5,-10,15,4,4,-3,16,19,1
2.700619,2,-14,-19,-3,-1,-2,-1,-2,1
2.700625,-3,42,-1,-3,0,-4,-17,-17,1
2.721049,-13,-71,9,0,-3,-4,0,5,1
2.721069,2,8,-1,0,3,2,2,-9,1
2.721626,0,-15,-5,-6,-6,-4,5,-5,1
2.721696,-6,-4,-17,-1,-5,-1,6,0,1
2.736030,4,12,-2,1,7,0,-22,-10,1
2.736045,3,-18,-4,-2,-3,-7,18,8,1
2.736051,-9,8,4,6,6,-2,-82,-6,1
2.736057,8,-11,-5,-6,-9,15,84,7,1
2.758388,-4,12,6,-5,-9,-11,-8,-19,1
2.758408,-5,-11,2,1,2,-1,3,15,1
2.760766,0,19,-2,-1,-9,-3,-30,-8,1
2.760777,1,-6,-5,3,13,2,-31,0,1
2.781934,7,-13,6,4,3,22,66,20,1
2.781949,1,22,3,-3,-5,-3,13,1,1
