timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
10.005550,-6,12,-5,0,-1,-1,-1,-1,-0.062940137
10.005621,5,25,11,6,3,0,-1,0,-0.062940137
10.006122,-1,-7,-1,1,3,-1,1,0,-0.062940137
10.006156,-11,-16,-9,-5,-1,-3,-1,-1,-0.062940137
10.028172,10,24,-6,-2,-2,-1,-1,-2,-0.062940137
10.028223,11,33,-5,-1,-2,-2,2,1,-0.062940137
10.029780,-24,-81,-6,-3,-2,-2,-2,0,-0.062940137
10.029794,2,1,-4,0,0,1,-2,-1,-0.062940137
10.043080,-8,7,-1,-3,-1,-1,-2,-2,-0.062940137
10.043102,-1,1,-2,0,-1,-3,-3,-4,-0.062940137
10.044272,4,29,6,0,-1,1,-1,1,-0.062940137
10.044287,0,28,-6,-1,-2,0,-1,-1,-0.062940137
10.066062,4,-33,-3,-2,-3,-2,-1,0,-0.062926617
10.066093,-5,-1,-3,0,-2,0,-1,0,-0.062926617
10.068179,2,1,5,0,-1,-1,-1,-1,-0.062926617
10.068188,6,2,8,2,0,0,0,-1,-0.062926617
10.088570,-14,27,-2,1,1,1,2,-1,-0.062926617
10.088597,-14,-45,-7,0,-2,-2,-3,-1,-0.062926617
10.089085,6,-25,-8,-4,-3,-1,2,-1,-0.062926617
10.089109,2,9,-5,-3,-2,0,0,-2,-0.062926617
10.111479,3,-2,6,0,1,-1,-2,-1,-0.062926617
10.113599,11,15,-5,-3,-1,-1,0,0,-0.062926617
10.113611,-11,16,0,-1,-1,0,-1,-2,-0.062926617
10.113614,-15,-23,-4,-1,-1,-2,-1,-1,-0.062926617
10.126695,3,19,0,0,-1,0,-1,-1,-0.062926617
10.126742,0,-3,-3,-4,-1,-1,-2,-1,-0.062926617
10.126751,14,21,1,-1,2,-1,-2,-2,-0.062926617
10.126760,-11,-45,-12,1,0,-2,-1,-1,-0.062926617
10.148016,4,19,17,-1,-1,-1,-1,-1,-0.062926617
10.148043,-7,3,-1,-1,0,1,0,-2,-0.062926617
10.148861,-15,-23,-15,-3,-1,-1,-1,-1,-0.062926617
10.148889,1,10,14,0,0,0,-1,0,-0.062926617
10.163182,10,10,-8,-3,0,-2,0,0,-0.062926617
10.163206,-4,-19,-3,-3,0,-1,1,0,-0.062926617
10.164245,-1,11,-8,-2,-1,0,0,-2,-0.062926617
10.164253,10,7,4,0,-1,0,0,0,-0.062926617
10.185418,-1,-12,-8,0,-1,0,-2,0,-0.062926617
10.185435,25,31,7,-6,-2,-2,-2,1,-0.062926617
10.186668,-17,9,-2,5,1,-1,-3,-1,-0.062926617
10.186681,7,-51,-5,-2,-2,-2,1,0,-0.062926617
10.208595,6,-17,9,0,-1,-1,-1,-2,-0.062926617
10.208605,-18,-13,-2,1,0,0,-1,-2,-0.062926617
10.215683,15,44,4,-3,-5,-3,-1,0,-0.062926617
10.215709,-9,0,-3,-3,-2,-1,-1,-3,-0.062926617
10.222945,-8,0,5,2,1,-2,-1,-1,-0.062926617
10.222962,-4,-33,-3,0,-2,-1,0,-1,-0.062926617
10.223711,18,46,2,0,-1,-2,-1,-1,-0.062926617
10.223726,-11,-50,-8,1,-1,-1,0,-1,-0.062926617
10.245670,-4,5,-4,-5,-1,0,-1,-2,-0.062926617
10.245695,-17,1,-3,0,0,0,0,-1,-0.062926617
10.247083,-4,-13,3,0,0,0,-1,1,-0.062926617
10.247095,17,27,-8,-4,-2,-1,-2,0,-0.062926617
10.270198,-8,-2,-2,-2,3,0,-1,1,-0.062926617
10.270216,-3,12,0,-1,0,-1,-1,-3,-0.062926617
10.270222,-1,-4,4,-2,-2,-4,1,-1,-0.062926617
10.270228,17,32,11,1,-2,-1,-2,-2,-0.062926617
10.284795,-22,-7,-15,-2,-4,-2,0,-2,-0.062926617
10.284811,3,-28,-6,-1,-1,0,-2,-1,-0.062926617
10.284818,-25,-34,-1,-1,0,0,-1,-2,-0.062926617
10.284823,3,4,-2,0,0,-2,1,-1,-0.062926617
10.305883,0,6,-1,-5,-4,0,-1,-2,-0.062926617
10.305912,12,22,1,1,-2,0,-2,0,-0.062926617
10.308132,-6,4,-6,-3,-1,-2,-1,-3,-0.062926617
10.308145,-11,9,8,2,1,1,-1,-1,-0.062926617
10.328050,-1,-2,-3,0,0,0,0,1,-0.062976192
10.328070,11,20,-3,-1,-2,-1,0,0,-0.062976192
10.329872,5,9,6,0,1,0,-1,1,-0.062976192
10.329883,-8,-38,-3,-2,-2,-3,-2,-1,-0.062976192
10.343122,0,-24,3,2,0,0,-2,-2,-0.062976192
10.343149,-2,3,-16,-6,-1,0,-2,0,-0.062976192
10.345053,12,15,28,4,-1,0,-1,-1,-0.062976192
10.345070,11,44,-5,-3,-2,0,0,-1,-0.062976192
10.365642,-20,-12,1,-2,-3,-2,-2,-4,-0.062976192
10.365668,-6,-30,6,3,0,-2,-2,-3,-0.062976192
10.366285,5,-23,-13,-3,-2,-2,0,-1,-0.062976192
10.366306,-12,-4,-9,-3,1,-1,-1,-3,-0.062976192
10.388536,21,36,3,2,-1,-1,-2,-1,-0.062976192
10.388568,-16,-36,10,0,0,0,0,0,-0.062976192
10.391173,5,16,-10,-2,-1,1,0,-1,-0.062976192
10.391181,15,-12,-4,-4,-1,-2,-1,0,-0.062976192
10.403011,1,-11,-2,1,1,-2,-1,-1,-0.062976192
10.403042,11,35,-6,-2,-2,-1,0,0,-0.062976192
10.405199,0,10,1,-1,-2,0,-2,-2,-0.062976192
10.405207,3,-7,3,2,-1,-1,0,1,-0.062976192
10.425575,-9,15,-7,-3,-2,1,0,0,-0.062976192
10.425652,-5,-11,5,2,-2,-2,0,-1,-0.062976192
10.426268,9,-38,-10,-6,0,-2,-1,0,-0.062976192
10.426289,-3,32,-1,1,-1,-2,-2,-2,-0.062976192
10.447994,2,19,12,1,0,-3,0,0,-0.062976192
10.448015,3,-6,-1,-2,-2,-2,-2,-1,-0.062976192
10.449440,-5,0,10,2,-1,0,-2,-1,-0.062976192
10.449450,-6,-43,-14,0,3,0,0,1,-0.062976192
10.463026,1,31,1,1,-1,-2,-4,-4,-0.062976192
10.463322,-28,-6,-13,-3,0,0,-1,-1,-0.062976192
10.464450,-4,-10,-5,-4,-4,-4,-2,-1,-0.062976192
10.464463,10,17,4,1,-1,0,-1,-1,-0.062976192
10.487701,15,-12,1,0,-3,-2,0,-2,-0.062976192
10.487718,-8,24,-2,1,0,-1,-1,-2,-0.062976192
10.487724,26,-11,1,0,1,1,1,1,-0.062976192
10.487730,-38,-12,7,-2,-2,-1,-1,-2,-0.062976192
