timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.002298,-5,-21,-13,0,1,-2,-1,2,5
2.002770,-4,-5,17,0,-1,-3,1,2,5
2.022175,-13,14,-6,0,-2,0,1,0,5
2.022183,27,-1,-6,-4,-6,0,-2,-2,5
2.022832,-3,0,6,-1,-2,1,-1,-2,5
2.022867,-10,-30,-12,-2,2,-1,1,1,5
2.035105,-4,26,3,1,0,0,-1,-4,5
2.035126,-1,31,2,-1,0,-1,-1,0,5
2.045270,1,41,7,2,-1,1,0,-1,5
2.045274,-6,-11,-13,-3,0,-3,-4,-1,5
2.059282,3,3,19,1,0,2,1,6,5
2.059310,-6,3,-11,-3,-2,-1,-3,-1,5
2.061310,8,-25,17,2,1,-2,0,2,5
2.061319,-6,16,-8,0,1,1,0,3,5
2.081221,1,4,-2,-3,-3,-3,-1,-3,5
2.081242,-1,-19,0,2,4,1,2,2,5
2.084292,-7,7,-4,-3,-5,-3,-5,-2,5
2.084296,0,-15,-3,-1,-3,-1,1,-2,5
2.095449,2,-3,-12,-3,-1,-2,0,0,5
2.095477,-1,-6,1,0,-2,0,-1,0,5
2.104023,-14,-23,-8,0,-2,0,0,3,5
2.104043,24,32,19,1,-1,-1,-5,-5,5
2.119178,-7,-3,-10,-3,-2,-1,-2,3,5
2.119205,1,-13,12,3,3,-1,1,-1,5
2.121736,-3,17,0,-2,-1,2,-2,1,5
2.121744,-19,-9,-6,1,0,0,2,0,5
2.141316,18,46,-13,-3,-2,-1,-2,-9,5
2.141337,-2,10,25,5,0,1,-2,2,5
2.143355,2,-77,-11,-5,-2,-2,-1,7,5
2.143363,-5,0,-7,-1,2,0,1,-2,5
2.155053,-2,-3,0,1,-3,-3,-1,-3,5
2.155078,-10,45,-16,-3,-3,-2,0,-1,5
2.165158,0,-60,-4,-1,-1,-3,-1,-2,5
2.165163,10,4,2,-2,-3,-1,-3,2,5
2.178974,-21,-9,1,0,4,3,1,3,5
2.178991,12,5,-10,-5,-11,-5,-3,-3,5
2.180424,-3,-3,7,-3,-4,-2,0,-1,5
2.180444,-10,6,5,1,1,-1,-1,-2,5
2.201739,17,-31,-7,-3,-2,-4,-1,3,5
2.201770,-6,-21,-1,0,1,0,-1,1,5
2.204649,-1,34,-9,-2,2,0,-2,-5,5
2.204657,-10,28,-12,1,3,1,1,0,5
2.214965,0,-6,14,-1,-4,-3,-5,1,5
2.214987,-5,20,-9,-2,1,-1,-2,-6,5
2.223976,1,-13,13,4,0,-1,0,0,5
2.223986,6,0,-10,-4,0,0,0,-1,5
2.240410,-4,-7,1,-2,-1,-1,-3,2,5
2.240418,-2,-18,4,0,0,-3,0,-1,5
2.240421,3,28,-11,-2,1,1,2,0,5
2.240422,-6,-26,5,-2,-2,-1,-3,0,5
2.261519,-2,39,-6,-2,-1,0,2,-4,5
2.261540,-15,-34,7,-2,-2,-2,-5,0,5
2.263977,19,20,3,-2,2,-2,-1,-3,5
2.263982,4,-35,3,-1,0,0,-2,1,5
2.274963,-11,7,8,2,-5,0,1,1,5
2.274987,-5,-13,-14,-1,-1,0,0,1,5
2.286289,-13,28,-17,-3,-4,-3,-1,-3,5
2.286299,0,-34,9,-1,0,0,0,5,5
2.299436,9,-32,-16,-1,1,0,0,-4,5
2.299465,2,-5,15,1,0,0,0,-1,5
2.302329,-3,22,4,0,1,-1,-1,3,5
2.302341,4,-1,4,-2,-2,-2,0,-3,5
2.321350,-15,-18,-6,0,2,0,-1,-1,5
2.321381,16,-10,-13,-1,-1,-1,-1,-3,5
2.322938,-9,-11,3,-1,-2,-1,1,-1,5
2.322955,4,18,-7,0,-1,0,-1,-5,5
2.343984,-4,-51,1,0,0,-1,-2,-2,5
2.345856,-9,50,13,-2,3,-1,1,-2,5
2.345862,0,-20,3,-1,-1,0,-3,-5,5
2.345863,5,-9,2,-3,-9,-2,0,-1,5
2.358149,18,79,-11,-2,3,0,0,-7,5
2.358171,0,-34,27,0,-4,-2,-1,1,5
2.364815,-6,-71,5,0,-4,0,-3,3,5
2.364831,14,14,-9,-1,2,-3,-3,-4,5
2.381703,-4,4,-10,1,0,0,1,0,5
2.381708,-13,-5,-9,-2,0,-3,-1,-3,5
2.382690,3,20,8,1,0,0,-1,-3,5
2.382706,-8,-46,-11,-2,-4,-2,-3,0,5
2.403841,-8,64,8,-3,-1,-2,-1,-5,5
2.405914,2,-37,-3,-2,1,2,-1,2,5
2.405921,24,-20,-9,-4,-4,-4,-2,-1,5
2.405923,-8,5,-4,1,0,-1,-2,0,5
2.419172,9,-3,-2,-2,-3,-2,-2,-1,5
2.419196,-6,0,-7,1,-1,-1,1,-3,5
2.421368,-12,57,-8,0,2,0,-1,-1,5
2.421375,7,-17,19,3,3,1,1,1,5
2.441267,-6,-76,5,-2,1,-2,0,-1,5
2.441289,20,-2,6,-1,-4,-2,-2,-2,5
2.443133,3,-4,-9,-2,-2,-1,-1,0,5
2.443138,-12,24,-4,-4,-1,-2,-2,-3,5
2.464678,-12,3,1,-1,-1,1,1,-2,5
2.464715,-2,13,0,-2,0,-2,-2,-4,5
2.466694,-2,-34,-20,-3,-1,-1,1,2,5
2.466699,1,24,18,0,-2,-1,-1,-1,5
2.478351,6,-9,12,3,2,1,1,6,5
2.478540,-5,11,-15,-1,0,1,0,1,5
2.485055,-1,17,0,0,5,1,2,0,5
2.485076,-12,6,-13,-2,-6,-1,-2,-1,5
2.501404,9,-7,2,-3,-5,-3,-4,-1,5
2.501424,-15,4,-6,1,2,2,1,3,5
2.504004,13,29,14,-3,-4,-3,-4,-3,5
2.504321,-7,-22,2,2,3,-2,2,0,5
2.523847,0,-43,0,0,-1,0,-1,3,5
2.523869,0,15,-11,-1,-1,-1,-2,1,5
2.525355,-6,-18,-3,-3,2,1,0,-1,5
2.525369,-1,52,8,0,0,2,2,2,5
2.538478,9,-62,-8,-3,-6,-6,-5,-2,5
2.538693,-12,10,16,0,0,0,-1,0,5
2.545360,2,19,-18,-3,-1,-1,0,-2,5
2.545384,-6,-31,4,1,0,-1,-1,-3,5
2.561422,-7,26,-4,-3,-2,0,-1,1,5
2.561443,2,-31,-23,-4,0,-1,0,-1,5
2.563035,-1,24,33,2,0,-1,-2,3,5
2.563040,-4,46,-14,0,2,0,-1,0,5
2.585229,16,-40,-4,-1,0,0,0,1,5
2.585242,-1,2,-5,-3,-4,-4,-3,-2,5
2.585549,-7,-6,-6,0,-2,-2,1,2,5
2.585564,-6,7,-13,-2,1,1,-1,-1,5
2.599871,8,-4,6,3,1,0,-3,0,5
2.599877,5,2,17,1,-1,-1,-1,0,5
2.605203,-8,-9,-4,-1,0,1,0,-3,5
2.605224,10,-12,-2,-2,0,-2,-1,1,5
2.621455,-11,-6,-3,-2,0,1,-2,1,5
2.621478,-5,-12,6,3,-4,-2,0,-3,5
2.623530,2,14,-11,-2,0,-2,0,2,5
2.623537,2,-43,4,-2,-1,-1,-3,4,5
2.644847,-1,43,-8,-1,2,0,-2,-3,5
2.644852,-1,-12,-2,0,3,0,0,3,5
2.645423,19,-11,-8,-5,-13,-6,-4,-2,5
2.645495,-7,19,10,1,-2,-1,0,-1,5
2.658392,4,10,7,0,-2,-3,-1,1,5
2.658416,-14,2,2,1,3,2,-3,-3,5
2.665475,-15,-6,-6,-1,4,2,0,3,5
2.665499,20,-2,-1,-1,-3,-2,-2,-2,5
2.681889,-10,73,-37,-3,-1,-3,2,-2,5
2.681911,2,-49,74,8,1,-1,-2,3,5
2.683842,-22,3,-16,-4,-4,0,1,-1,5
2.683849,0,9,27,2,-1,0,1,-3,5
2.703304,-2,0,-2,-2,-1,0,-1,-2,5
2.703333,2,14,-27,-2,-2,-3,0,-1,5
2.705112,14,19,2,0,-3,-1,-6,-3,5
2.705121,33,-16,-8,-4,-5,-5,-1,-4,5
2.717933,-27,-10,3,3,-1,0,-1,-2,5
2.717967,2,14,-2,-3,0,0,-1,-1,5
2.725551,-14,-17,12,2,-2,-1,-1,0,5
2.725572,-12,12,-23,-2,0,2,3,3,5
2.740532,6,-11,-8,-3,-1,-2,-3,-4,5
2.740547,11,4,30,2,2,-2,0,-2,5
2.741368,-2,-16,3,3,0,1,0,-1,5
2.741405,4,83,-34,-7,-5,-5,-2,-4,5
2.763372,-16,-114,41,3,0,-1,1,1,5
2.763393,-9,31,-24,-5,-3,0,0,-1,5
2.766400,0,-4,4,0,0,-4,-2,-5,5
2.766404,0,1,-2,-1,-2,-1,-2,-2,5
2.777592,-3,44,-3,1,-1,1,-1,-2,5
2.777615,-3,10,-11,-3,-1,1,0,-3,5
2.786707,5,-6,8,-3,0,-3,-5,-8,5
2.786713,-17,-34,1,-1,-4,0,0,-1,5
2.802774,0,9,-1,-2,-2,-4,-2,-3,5
2.802787,-1,-3,-9,-1,-2,-1,0,-1,5
2.802789,10,-43,-8,-3,-2,-2,-1,-1,5
2.802790,-31,-13,2,0,2,2,-2,0,5
2.823079,17,4,3,-1,-1,-2,0,2,5
2.823094,-6,34,0,1,-3,1,0,2,5
2.824029,20,1,4,0,0,-2,-3,-2,5
2.824040,5,-60,1,0,1,0,-2,1,5
2.837597,-8,14,-9,0,-3,1,0,0,5
2.837624,-34,-27,-6,2,2,-1,2,2,5
2.845071,67,8,-1,-3,-3,-3,-2,-4,5
2.845089,23,11,6,-5,-3,-3,-3,-4,5
2.860943,-7,19,-6,0,-1,-1,0,5,5
2.860967,4,-9,-21,-5,-4,-2,-1,-5,5
2.863173,-23,12,8,0,2,2,1,4,5
2.863180,-5,-11,-1,1,1,1,1,-3,5
2.883798,4,4,-3,-2,0,1,0,1,5
2.883825,19,-7,-6,-4,-2,-1,-2,-1,5
2.884239,-15,3,2,1,0,-1,2,0,5
2.884262,-2,-4,-14,0,1,-1,-1,2,5
2.897324,-11,34,30,3,0,1,-1,-3,5
2.897341,-1,-1,-3,-1,-7,-3,-3,-3,5
2.905011,-36,-10,-7,-1,-2,-1,0,2,5
