Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
154,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
304,-1,88,-53,-6,-7,-3,-1,-16
361,-1,-70,13,3,-2,1,4,-6
425,-1,-65,54,-1,-16,-5,7,-5
486,3,-109,45,1,10,2,2,-22
548,2,-59,59,0,-2,-3,-26,-18
610,1,22,-19,2,2,1,21,14
671,-1,22,2,5,1,2,-1,-1
722,-1,33,-18,8,11,10,34,5
774,0,-47,15,1,2,-4,9,-5
827,2,11,-4,-9,-4,-3,-6,3
884,0,9,18,3,5,-1,3,0
933,2,-64,-22,-4,-1,-3,-13,-1
989,6,41,45,13,7,2,-10,2
1051,1,-37,24,8,11,2,-12,-3
1115,8,-23,41,-2,-3,0,-3,-2
1174,-2,7,23,-2,-3,-1,5,-2
1233,4,-52,-21,-5,-4,-2,1,0
1287,-8,92,-20,7,5,1,-9,-6
1337,-5,20,24,6,10,5,-2,0
1397,4,53,7,5,5,2,8,-5
1458,3,-19,4,4,3,2,-2,3
1508,-2,-34,15,6,2,3,11,4
1571,-11,-64,0,8,15,7,5,17
1636,-15,-14,-8,4,3,-1,-20,-5
1700,-10,4,22,4,6,3,-10,28
1758,1,-65,-20,-10,-21,-7,-23,-6
1810,-2,-105,28,-2,-1,0,13,13
1872,-5,-23,23,5,5,0,-13,-14
1936,-1,63,11,-5,-10,0,16,4
1997,-10,-54,-18,-3,1,1,0,-17
2058,-6,-70,-5,-1,-5,-1,6,-8
2118,-7,-36,-4,3,4,-1,-14,-8
2178,-3,-51,3,5,6,-2,2,-6
2231,-8,46,-33,-4,2,-1,-28,-9
2295,-1,-2,-16,-3,-6,-5,-7,-5
2358,3,-27,-2,-5,-7,-1,-1,3
2417,-2,38,41,0,-5,-1,1,-8
2477,3,37,-20,-6,-15,-3,-19,-2
2528,-7,-45,-10,1,-1,-1,-6,-40
2583,2,70,-64,-10,-4,-1,0,-3
2633,-1,37,-66,-3,0,-2,-5,-2
2689,32,-9,-50,-4,5,0,-20,-31
2740,-8,22,48,9,8,3,14,0
2797,-2,-15,-10,-2,-11,-5,-2,-19
2861,1,10,-12,4,8,5,24,1
2922,0,5,-3,-4,-4,0,11,16
2981,-4,8,29,1,0,0,1,11
3033,-13,0,-27,0,6,2,12,17
3094,8,-26,-4,10,15,5,-8,-26
3158,3,22,8,-1,-6,-3,2,6
3222,-12,59,14,3,7,2,2,9
3280,-16,44,42,4,0,-1,14,32
3331,-11,38,-21,4,14,3,-8,7
3385,-1,48,45,8,12,5,-3,-21
3438,0,-9,9,-2,-1,2,4,10
3489,8,81,13,0,-2,1,7,-2
3541,-10,44,3,-1,-3,-2,-3,-9
3599,11,-49,-5,2,4,0,-4,-21
3661,14,9,-26,0,0,1,-2,-13
3722,-19,-36,-4,5,4,2,8,14
3773,-14,-73,-22,-1,-3,3,17,5
3827,-2,-30,35,3,-2,0,0,-4
3879,-9,22,7,-6,-12,-4,-4,-5
3932,-21,62,9,3,11,5,1,4
3985,-9,10,77,6,-4,-5,-5,-12
4040,-1,31,41,7,-4,-5,-3,6
4105,-1,30,-6,2,8,1,-6,-4
4165,12,-15,-24,-14,-22,-14,-6,-11
4225,7,-73,-29,0,3,1,3,17
4278,-7,-52,-22,-3,-7,-5,-2,-2
4329,-5,78,-5,-2,-3,-2,0,-10
4384,6,-37,24,-1,-3,-2,7,-8
4442,-52,19,35,-14,-33,-11,6,-27
4500,8,16,-35,-2,6,3,20,26
4547,13,61,-29,4,6,-1,-17,5
4599,-11,-6,12,10,-1,-6,-13,7
4652,7,4,-15,-4,-5,-1,3,15
4707,19,-10,-10,-3,-1,-1,0,11
4764,-17,46,-25,2,7,2,-5,-21
4827,-3,8,24,1,-1,3,16,10
4885,-39,-12,-2,-1,1,4,5,-15
4941,13,-46,-22,-4,1,-11,-17,-51
4989,14,-6,-28,-3,-7,-2,1,7
5042,6,33,2,-12,-14,-5,3,16
5093,-4,10,-7,-4,-57,-7,-10,-4
5148,-1,-63,-12,0,3,-1,-14,-23
5202,-4,24,1,3,17,-7,-8,-10
5265,-1,33,-10,2,8,1,-9,-7
5327,0,8,10,19,8,6,5,10
5392,-1,-50,2,8,12,0,2,-10
5448,1,16,-31,1,2,-1,1,-5
5500,-4,-39,-21,-15,-13,-3,-4,15
5557,1,26,18,-4,-8,-3,0,1
5606,-2,-54,20,-2,-3,-1,-23,-35
5659,3,-13,-15,0,-3,-1,-5,-37
5709,1,24,0,-19,-71,-7,5,-3
5761,-2,82,-10,3,8,4,7,8
5815,-3,-1,31,7,3,3,4,2
5868,-2,-31,-7,-2,0,-7,-4,-10
5925,-1,-29,-9,1,-4,1,7,5
5987,1,17,1,7,-4,3,5,22
6048,1,21,3,0,-8,-4,-7,5
6107,-6,-64,-8,-11,-5,-9,-16,-58
6167,-2,-9,29,3,-11,-1,-5,-23
6219,-2,26,8,-3,-6,0,6,12
6273,0,-13,17,-2,4,1,3,-5
6323,-5,-41,-3,-2,-8,0,-4,5
6378,5,-14,0,3,2,0,-15,-18
6436,2,-85,11,3,-8,-1,-7,-27
6487,-1,-19,8,-1,-5,-5,2,-2
6551,-4,17,-18,1,2,0,6,15
6610,1,-31,-1,3,5,2,4,-2
6660,3,19,14,1,-4,3,1,13
6724,3,23,14,11,7,4,-14,-28
6787,4,55,-4,3,1,2,8,18
6850,0,19,0,-19,-40,-9,-9,3
6910,-4,73,8,8,35,1,1,13
6962,-2,37,11,1,-8,-1,5,6
7018,2,26,43,8,7,-2,-5,-4
7067,1,16,17,5,12,6,4,39
7121,-2,-101,-22,-20,-49,-13,-16,-31
7176,-1,0,-21,-15,-13,-7,-9,-15
7231,-2,30,-7,-4,-6,-4,-10,-19
7293,8,-1,0,-2,-7,-5,-2,10
7353,-1,5,9,3,1,-1,-4,24
7405,2,-4,-5,-1,3,0,-4,-10
7466,0,66,68,22,30,14,17,39
7529,-2,-20,-19,-5,3,-1,-9,-18
7592,2,-15,-24,1,-11,-3,-13,-14
7654,-2,-39,-10,-6,-2,-3,-2,1
7703,0,-106,7,8,0,2,-2,-8
7766,-3,-4,-6,5,13,5,14,10
7829,0,70,24,-1,-3,-3,-5,-2
7890,-3,49,19,12,14,4,-5,-11
7952,0,18,-12,2,-5,-1,-2,4
8013,-4,72,30,0,-7,-3,6,5
8066,-7,-85,72,8,6,2,1,2
8121,-1,1,-6,-13,-16,-8,-6,-5
8175,0,-72,15,10,12,5,6,-1
8228,-6,-57,-31,-23,-14,-9,-7,-10
8284,-1,-53,-1,-4,16,-3,-2,-7
8335,1,-4,-4,-5,3,-5,-22,-14
8395,-2,74,7,0,1,2,1,13
8454,0,-14,-5,-5,-7,-3,-8,-23
8515,10,-77,-30,-13,-15,-7,-9,-8
8566,3,-54,-15,-12,-10,-8,-12,-24
8631,-9,-1,3,0,9,2,-7,23
8693,-5,-61,-10,-2,3,-1,-8,-10
8755,-3,-18,56,11,19,4,2,-4
8816,-14,78,-12,-1,-1,1,2,5
8876,-3,-38,-2,0,4,0,1,1
8928,-2,50,10,-3,-14,-5,-14,-10
8981,12,-23,-26,-5,-2,-2,-4,-19
9033,4,-54,4,-14,-1,-4,6,-21
9083,0,15,-25,-1,-3,-1,5,44
9138,-3,22,-3,-3,5,-6,-6,-16
9192,-1,-13,1,-2,-2,-3,-4,-15
9254,6,17,4,3,0,-1,-1,-11
9318,10,35,-11,8,17,7,6,28
9378,-2,25,-11,-1,9,4,6,2
9428,9,38,-11,2,3,-2,-5,2
9491,-11,14,-10,-6,-11,0,2,19
9555,3,24,-23,-6,-3,-5,0,-2
9618,-1,-7,1,5,12,1,2,5
9678,-15,-28,4,5,5,2,4,8
9731,-7,76,-24,-4,-1,2,9,6
9795,-3,29,15,15,1,7,11,-2
9857,-2,-47,-30,-9,-3,-4,-8,-7
9917,-3,-68,-34,-3,2,1,-3,5
9978,1,74,-1,-4,-1,-3,6,5
10033,2,-32,-12,0,11,3,7,-2
