Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
160,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
296,-3,-2,-1,1,-2,-1,-2,-1
344,2,0,3,1,-2,-3,-2,-11
401,2,3,1,1,1,1,-8,-18
465,0,6,4,1,0,1,0,-11
525,-3,-3,-5,-2,-2,0,-1,2
584,-2,2,1,2,-2,-3,-4,-7
639,0,-4,-2,-2,-1,1,2,3
689,-4,5,2,-2,-1,0,-1,2
741,0,2,0,0,-1,-1,-1,-8
793,1,-1,0,-4,-2,-1,-1,-3
847,-2,-6,-6,-1,-3,-2,-5,-32
906,-1,-4,-5,-1,0,0,-2,-10
967,-3,-2,-9,-3,-2,-2,-2,-2
1030,-4,-6,-7,-3,-3,-2,-1,6
1088,-2,2,3,-1,-2,-1,0,-3
1141,-3,-4,-4,0,-1,1,0,-5
1199,1,-2,-1,1,-2,-1,-1,-4
1251,-4,-3,-4,-2,-1,-2,3,-4
1312,0,0,1,0,-1,-2,0,5
1362,-1,-3,-8,-1,-1,1,2,5
1416,-2,1,1,1,-1,-1,1,4
1469,1,-1,1,-4,-1,-2,0,-1
1521,1,-6,2,2,-1,0,-1,-1
1575,1,2,4,-1,0,0,1,3
1631,-2,1,-1,-1,-1,-1,1,3
1691,0,1,-1,3,1,1,5,19
1754,-2,-2,-2,-3,0,-2,0,-10
1815,1,0,-3,0,-2,-1,-2,-5
1865,-2,-7,-8,-1,-1,-1,-2,-3
1920,0,2,-1,-1,-3,-1,-1,5
1972,-2,1,-4,-1,-3,-1,2,-1
2025,2,-1,0,0,-2,0,0,-1
2077,-4,1,1,-2,-4,-1,-2,-10
2129,0,-3,-2,-2,0,1,-1,0
2181,-2,-2,-4,-2,-1,0,0,3
2235,0,-2,0,-1,-3,-3,0,1
2292,-3,4,13,3,0,0,0,4
2354,-1,-1,-2,-1,-3,0,0,2
2414,3,-6,-5,-1,-3,-2,-2,-3
2467,-1,-4,-1,-1,-2,-2,-1,0
2519,-3,3,2,-2,-3,-3,-3,-7
2573,1,2,8,1,-1,-2,2,1
2625,2,-5,2,0,-2,0,0,4
2681,-1,3,0,0,1,3,1,-5
2738,-4,1,-3,0,-1,-1,-1,1
2798,-1,-5,-5,-2,-3,-1,0,-5
2857,-1,-6,-9,-2,-1,0,-2,-8
2908,0,-4,0,-1,0,0,0,-5
2964,-3,-2,3,-1,-1,-2,-1,0
3015,0,4,0,-2,0,-2,0,0
3066,0,8,-7,0,-2,-1,0,5
3119,-4,-4,-4,-4,-3,-1,3,-6
3172,0,-1,-2,0,-3,-2,-1,1
3223,-2,-3,2,-1,0,-1,0,9
3277,-2,4,1,0,-1,-2,-2,2
3334,-2,-3,-4,0,-2,-2,-2,1
3397,4,1,0,-4,-2,-2,1,2
3458,-6,-4,-5,0,0,0,1,7
3508,2,2,11,2,0,0,-1,0
3561,-1,0,-3,-1,0,-1,-2,-1
3615,-6,6,4,0,0,-1,2,18
3675,-1,-4,2,-2,-3,-3,-1,3
3725,-4,-25,-3,0,-2,-1,0,-7
3782,-1,-9,-3,-1,-1,0,-1,-2
3836,0,-2,-6,-3,-4,-2,-2,-6
3899,1,-4,-7,-3,-2,-2,0,-1
3960,1,-3,-4,-1,-1,0,0,0
4020,-1,-15,-6,0,0,-1,-1,-3
4071,-2,-9,-5,-1,-2,0,0,6
4125,-1,5,-1,2,0,-1,-3,4
4178,-2,2,1,0,0,1,1,1
4237,1,1,-2,-2,0,0,-1,0
4289,0,6,-4,-1,0,0,-1,-6
4342,-5,1,-6,0,-1,-2,1,-2
4403,1,-9,-8,-3,-2,0,1,-1
4465,-1,-1,-1,1,1,0,-1,-7
4514,-4,-5,-2,-3,-2,0,-1,0
4566,1,-9,-3,2,-1,0,0,29
4620,2,-7,-5,-3,1,0,0,-3
4672,-4,-3,-6,-1,0,2,1,-8
4725,-3,-18,-3,-2,0,0,0,0
4776,-2,-4,-3,1,-1,1,-3,-1
4830,0,-1,-4,-1,0,0,-3,-6
4883,-1,-1,-3,-1,-1,0,-1,-11
4941,-3,0,8,3,-1,-3,-4,-15
