timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.005496,-74,-18,-7,3,-42,-29,21,13,2
2.005826,47,26,-20,-9,30,14,-15,-18,2
2.009362,-28,-12,17,6,10,13,22,36,2
2.009381,19,20,-3,-3,-34,-11,10,-58,2
2.025877,-12,13,5,1,21,18,-8,4,2
2.025892,59,51,-21,-6,-10,14,1,37,2
2.027211,-53,14,3,1,-1,26,13,-14,2
2.027215,-70,-69,-33,-14,-8,-51,-7,42,2
2.048689,-34,20,19,3,-1,-21,-15,-37,2
2.048712,108,36,46,14,11,114,15,33,2
2.051427,-74,-97,-70,-16,-13,-112,-64,-66,2
2.051430,32,62,43,1,-2,49,-4,-8,2
2.062511,-61,26,-14,-14,-4,51,4,-10,2
2.062530,-76,-74,-8,2,3,-12,35,-1,2
2.069693,111,93,-10,3,-7,7,-62,6,2
2.069720,16,-128,-30,-5,-1,3,7,6,2
2.085827,-82,-42,18,3,3,-30,-6,13,2
2.085845,-1,101,-32,-9,-16,-11,-15,-17,2
2.087198,25,-34,12,5,18,20,37,38,2
2.087212,-5,11,-2,-5,4,-16,-11,0,2
2.108291,47,53,-22,-4,6,8,-17,-30,2
2.108310,-9,-94,21,2,-7,-40,2,28,2
2.110058,-33,38,18,-2,1,11,21,-11,2
2.110064,-80,-35,-1,-1,8,-8,-13,7,2
2.123047,50,-80,-1,-2,-29,11,-2,8,2
2.123071,4,9,-28,-4,29,0,-8,2,2
2.129764,95,31,22,4,4,-7,13,15,2
2.129786,-6,100,-3,0,5,13,-2,7,2
2.146296,-6,-74,-3,1,-9,5,13,-9,2
2.146324,41,83,19,-4,7,1,10,8,2
2.147197,-36,32,8,9,2,19,2,-14,2
2.147238,-57,-6,-10,-1,-5,5,17,25,2
2.168909,-90,29,-8,-16,-5,-17,-21,-63,2
2.168948,10,42,-28,-1,-7,15,4,0,2
2.171057,66,-37,20,4,-1,10,43,10,2
2.171060,18,43,-28,0,-3,38,-5,-2,2
2.182060,95,-78,70,11,11,46,25,19,2
2.182088,-49,48,-17,-5,4,-56,-59,-14,2
2.191756,49,37,-1,-4,-3,-18,61,45,2
2.191764,-40,-16,2,3,-11,-18,-4,-22,2
2.206226,-62,22,-20,-6,20,6,20,48,2
2.206232,14,-23,-21,-14,-21,4,-21,14,2
2.207257,-43,-128,-18,1,-7,20,-33,-57,2
2.207276,14,17,10,1,2,-33,9,13,2
2.229960,33,71,-10,2,5,2,-3,2,2
2.231569,88,51,94,21,3,-3,30,-3,2
2.231572,-59,-76,-29,-14,-9,-29,-49,-15,2
2.231574,-37,-36,-9,-4,0,13,7,-8,2
2.241863,45,56,-2,-2,-12,-23,-14,-4,2
2.241881,76,21,-18,2,2,4,9,16,2
2.259260,-22,52,14,-2,-8,8,-1,-68,2
2.259267,-64,-17,0,-7,-1,-4,-6,-17,2
2.267308,-63,1,-21,0,5,21,3,14,2
2.267313,-31,-101,-24,-7,-25,0,23,-7,2
2.267316,22,26,9,2,7,11,4,31,2
2.267317,46,12,4,2,-4,-3,-7,17,2
2.288330,24,9,15,2,16,-7,-4,-6,2
2.288350,73,-43,-33,7,2,-1,7,27,2
2.289804,2,127,64,1,-1,5,-13,-13,2
2.289865,38,-60,0,-4,-10,-14,-11,-34,2
2.302229,21,-59,-17,2,-2,1,36,32,2
2.302250,-60,-29,-18,-9,-7,6,-79,-24,2
2.312564,20,-67,22,7,-5,-29,-6,38,2
2.312568,1,52,14,4,12,8,9,-3,2
2.325640,44,48,-9,-5,1,-3,7,2,2
2.327563,-81,16,-7,-3,-8,-35,1,0,2
2.327570,14,15,-25,-3,-9,95,20,4,2
2.327573,118,-21,20,5,25,-40,-16,7,2
2.348311,-114,-67,-17,-12,2,-66,-10,-32,2
2.348329,-28,20,-22,-8,-8,5,-5,-20,2
2.349921,14,4,-11,-2,2,-15,-10,23,2
2.349925,53,50,23,5,-5,14,9,11,2
2.361734,-45,-63,8,4,-12,11,-37,-16,2
2.361756,0,25,-4,-5,2,-3,25,19,2
2.372484,-21,26,1,1,3,0,10,12,2
2.372498,-55,6,-27,-7,-9,8,-11,9,2
2.385959,31,13,-4,-1,8,0,-1,6,2
2.385987,-9,-18,-2,-1,-1,14,5,-6,2
2.387278,-6,99,7,-1,-6,-10,0,-3,2
2.387283,69,-25,28,8,-1,16,38,-23,2
2.408373,14,-16,23,4,7,-23,-68,-21,2
2.408391,7,17,-16,-6,-10,11,6,-7,2
2.409652,-12,-25,-31,-5,4,-16,7,-7,2
2.409672,-49,27,-22,-10,5,-27,-2,-3,2
2.422493,-14,-79,0,-3,-11,67,21,20,2
2.422499,1,19,16,5,-2,-51,-19,6,2
2.431263,3,15,-11,-3,-6,-1,-12,4,2
2.431270,19,-58,18,5,3,75,18,9,2
2.445730,31,127,-25,-2,-12,-84,-2,-16,2
2.445749,-9,-19,18,6,7,-5,19,22,2
2.447817,-71,-97,-19,-10,-10,-24,-5,-39,2
2.447823,-1,18,29,-3,-5,-17,-19,8,2
2.469243,-8,52,7,-2,-2,40,29,3,2
2.469248,23,-90,-1,2,10,19,-9,3,2
2.469524,32,2,-16,-2,8,-7,21,22,2
2.469530,-43,-31,-17,3,-3,-18,-16,-16,2
2.484199,21,15,6,-1,0,13,-2,-4,2
2.484206,10,22,4,-2,7,7,2,2,2
2.496856,37,3,11,6,3,3,7,0,2
2.496876,6,-25,-21,-6,0,-15,-2,-9,2
2.505939,42,57,14,-3,-7,19,10,15,2
2.506278,-50,-48,-16,-1,1,0,-7,-17,2
2.508446,-14,-61,-19,-1,-9,12,-2,30,2
2.508451,75,21,17,4,7,-4,8,-5,2
2.528393,-12,47,-19,-4,7,4,-3,-3,2
2.528417,0,-64,47,-3,-18,-36,-14,-18,2
2.530822,47,91,5,4,15,6,-4,-3,2
2.530833,11,40,-38,-12,-23,-8,-9,16,2
2.541973,-60,-87,-19,3,-4,-13,-5,-14,2
2.541993,86,81,61,7,6,-2,10,8,2
2.552593,60,-4,9,2,12,25,7,-14,2
2.552598,43,36,2,-1,-3,-1,-42,47,2
2.565641,-7,8,-22,-1,17,77,-11,-15,2
2.565664,-51,31,-4,-3,-42,-77,38,-18,2
2.567155,-33,-1,1,3,6,14,3,28,2
2.567193,-13,-26,1,-3,19,35,7,-8,2
2.588249,-17,27,7,6,-7,-29,7,27,2
2.588271,-38,-2,-32,-1,19,37,-22,-24,2
2.589927,-26,-37,14,-1,-11,-14,7,-17,2
2.589932,-35,73,-25,-2,-3,-12,14,-3,2
2.602263,94,14,4,-2,-11,-12,-10,-8,2
2.602297,-6,-49,52,17,17,2,9,5,2
2.611927,15,-77,-17,-9,-15,-8,-11,-19,2
2.611931,-29,-32,-16,-1,0,25,-5,-9,2
2.625738,29,26,-13,-7,-6,-13,8,20,2
2.625756,-13,64,-18,2,9,16,-7,6,2
2.627071,22,-10,0,3,-4,-15,-9,-11,2
2.627089,-98,-13,19,2,2,4,18,-5,2
2.648577,-11,43,-9,-6,-24,-24,-11,-21,2
2.648598,-11,59,-22,-5,15,32,-4,-11,2
2.651293,12,-46,15,4,-3,19,-22,25,2
2.651304,-74,-59,-20,-8,-12,-51,-1,-69,2
2.670685,45,65,19,2,15,73,45,21,2
2.670691,-64,25,12,-1,-3,58,-6,-19,2
2.672079,55,3,-10,-1,-6,-23,-11,-9,2
2.672092,39,97,-26,2,2,15,8,11,2
2.686272,-61,-28,41,6,0,-33,-18,4,2
2.686277,51,4,1,-5,4,17,-7,-8,2
2.687204,-39,40,-9,-4,19,8,5,-8,2
2.687305,0,59,9,0,-28,-33,-3,40,2
2.708195,-5,-8,-27,-5,4,5,-6,-31,2
2.708214,11,-59,-32,0,-18,-26,-2,39,2
2.710226,-13,40,15,2,11,33,50,-16,2
2.710232,-69,-70,-15,-6,17,-14,-78,-17,2
2.732564,19,-23,41,2,-2,-16,44,7,2
2.732576,16,75,-3,3,3,4,12,20,2
2.732582,-45,-32,-42,-10,-12,-21,-13,-33,2
2.732586,72,33,93,15,6,24,21,24,2
2.747937,-97,-62,-17,-3,-4,-7,-15,-18,2
2.747943,35,-8,-21,-2,8,-1,-20,10,2
2.747945,35,12,8,2,-6,1,26,39,2
2.747946,-13,16,-21,-11,-8,9,0,-20,2
2.768200,-63,-98,-7,-1,4,-21,-25,18,2
2.768222,47,85,4,3,-3,14,38,-6,2
2.770062,-48,-54,-4,-5,2,26,-26,-6,2
2.770070,47,10,-11,-3,9,-45,12,19,2
2.790702,8,-20,9,-1,-22,74,23,6,2
2.790730,6,-8,-18,-4,25,8,-15,-14,2
2.792875,25,-41,17,5,-11,12,2,22,2
2.792881,-17,-57,-34,-12,-1,-2,3,-12,2
2.805170,-67,21,13,2,4,-11,-15,-24,2
2.805198,20,-40,8,8,-3,0,13,14,2
2.812073,11,88,32,-3,-6,-26,-10,-20,2
2.812096,20,-119,-41,-1,1,22,0,-21,2
2.828123,108,73,12,1,7,-22,1,12,2
2.828144,-49,-20,-14,-3,-12,3,-8,-12,2
2.829750,111,89,28,6,14,-30,-13,16,2
2.829770,-19,-52,-15,-2,-6,27,5,-3,2
2.850865,105,-4,-6,-2,4,-2,3,36,2
2.850893,-36,-77,-5,-6,4,-25,-6,-20,2
2.852648,-44,94,-14,-4,-12,1,-17,-20,2
2.852656,24,-27,6,5,24,28,14,9,2
2.865348,23,19,-15,-3,-10,-18,-2,-6,2
2.865370,54,-38,17,2,15,18,9,0,2
2.872175,-74,37,-15,-5,-10,5,-50,-42,2
2.872199,6,25,14,3,-5,22,15,5,2
2.888622,-6,-23,-15,0,8,-21,10,-7,2
2.888641,-9,33,39,-1,-17,24,-3,21,2
2.889794,2,-50,-1,1,4,12,15,-9,2
2.889816,83,28,19,2,-2,-5,2,-29,2
2.910765,-19,17,3,-2,-2,27,-25,-2,2
2.910784,-61,-62,-53,-11,-22,-30,2,-9,2
2.912664,-58,-105,-18,-8,7,0,16,-2,2
2.912669,-7,122,18,-2,-6,-4,-10,-2,2
2.925165,28,1,5,5,4,-5,10,-3,2
2.925183,1,-15,-13,-8,-4,-7,-15,12,2
2.931736,9,-3,-4,0,-1,23,-1,37,2
2.931758,-21,-35,-20,5,-4,-39,25,-2,2
2.948270,30,-6,42,5,-5,7,-24,-8,2
2.948283,10,91,13,1,6,4,5,-10,2
2.949554,-40,-59,1,1,4,-28,-1,-23,2
2.949566,-4,18,-7,-5,10,29,10,-10,2
2.970708,-42,-9,-19,-6,-1,2,7,6,2
2.970730,49,37,-17,1,-10,-18,-5,1,2
2.972891,-5,23,41,4,7,20,22,24,2
2.972897,-30,-74,-4,-1,-1,-4,-14,-3,2
2.985318,-6,4,-5,0,4,-16,-8,-35,2
2.986777,27,-22,-29,-5,-7,-4,3,-12,2
2.991744,42,29,-70,-14,-9,-6,0,36,2
2.991761,113,57,114,32,5,-3,-3,-15,2
3.008713,-102,12,-61,-24,-10,5,0,14,2
3.008817,63,9,-2,0,-1,-8,-3,-26,2
3.009629,36,1,4,2,-5,-13,-1,-11,2
3.009647,-5,-34,-37,-12,-11,-4,-8,5,2
3.030843,6,73,4,5,7,0,1,-1,2
3.030864,-7,-44,19,4,7,8,3,23,2
3.032721,19,27,2,0,-8,-6,-5,-27,2
3.032727,-51,19,-11,-4,7,-6,4,-7,2
3.045413,3,-52,10,2,-3,-10,-10,13,2
3.047697,-44,19,-12,-7,-3,8,4,-7,2
3.052192,54,-9,2,5,2,-7,1,19,2
3.052212,-65,30,-2,-6,-6,2,0,46,2
3.071379,-41,-61,8,2,3,-2,8,-15,2
3.071384,-104,44,10,1,-5,-8,-27,-1,2
3.071386,62,-54,-37,-5,-10,-34,-1,-5,2
3.071388,-67,-15,47,2,-22,-19,9,8,2
3.090696,-21,-14,-6,-5,32,3,-9,-11,2
3.090714,19,-5,-11,-7,-15,10,17,-1,2
3.092274,-6,-38,4,5,4,0,6,4,2
3.092342,-59,61,-34,-9,-9,5,-26,-2,2
3.105130,56,-87,1,5,-5,-14,19,4,2
3.105153,21,61,8,0,-2,-3,-15,-14,2
3.112041,-65,-58,2,-3,-3,21,3,-2,2
3.114514,79,-30,-12,-4,-1,-53,-16,-4,2
3.128463,-66,23,12,0,-8,10,-9,-22,2
3.128486,-42,-41,-22,-4,9,-13,18,7,2
3.131122,6,63,18,0,-9,-5,17,-16,2
3.131131,-20,-77,29,2,0,4,-20,2,2
3.150675,-29,1,-21,-6,7,-9,2,8,2
3.150692,-2,-101,-2,1,-2,8,-10,-1,2
3.152499,-13,69,-6,-3,-2,-14,-10,-4,2
3.152518,-39,93,-13,0,0,28,3,-12,2
3.164333,48,-13,6,-3,3,-4,14,-8,2
3.164470,-77,-1,-13,-3,5,13,-2,14,2
3.174741,-12,-19,17,2,-2,2,1,0,2
3.174747,-19,-8,-28,-8,7,4,3,-27,2
3.188397,127,40,3,1,-24,-8,-21,8,2
3.188418,-78,-30,17,3,3,6,4,-1,2
3.191114,76,89,-14,1,9,11,5,25,2
3.191118,-23,-91,-13,0,-10,-19,-5,-4,2
