timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.007274,62,-5,-4,-5,-7,-1,12,-27,2
2.007792,-8,9,3,0,-7,-13,-7,4,2
2.009461,-34,-1,0,0,4,26,-3,2,2
2.009466,14,18,-3,-2,-6,-39,0,8,2
2.029483,10,-8,-8,-4,-6,0,-7,4,2
2.029498,7,-1,-1,-2,4,-8,15,8,2
2.030930,39,-8,0,-2,2,6,-4,-2,2
2.030943,-4,28,2,0,-2,10,-4,1,2
2.043213,-26,-29,-3,-6,-1,-3,-2,-10,2
2.043238,-91,-18,0,-2,4,5,-1,19,2
2.053634,17,-32,3,1,-2,-14,2,-2,2
2.053638,-21,44,-4,-1,12,23,-11,-11,2
2.067484,29,-15,-3,-6,-7,-26,-4,7,2
2.067511,-12,-14,-4,-1,0,7,1,-4,2
2.068938,17,25,4,2,-3,1,11,30,2
2.068941,-15,-29,0,-1,0,-2,4,-34,2
2.091031,-20,19,3,0,5,5,12,12,2
2.091040,0,20,-7,-5,-26,-13,-13,10,2
2.091400,-62,-9,-8,-2,-3,1,-5,-6,2
2.091406,16,-16,-12,-8,-4,0,-6,-1,2
2.103173,27,9,-3,2,-1,6,0,1,2
2.103193,21,-6,4,2,5,-8,7,-18,2
2.112125,18,24,5,-4,3,-1,-5,33,2
2.112145,-25,-14,-4,0,-5,1,-5,-13,2
2.127184,17,3,3,0,-1,5,1,1,2
2.127200,-70,11,6,2,7,19,-1,-5,2
2.128749,16,-13,-12,-6,-9,-31,-5,19,2
2.128753,-14,-12,2,3,1,7,-4,-35,2
2.150101,14,10,1,-2,-8,-12,15,13,2
2.150136,30,-21,4,-2,9,-8,-13,1,2
2.152469,15,29,1,2,-13,14,-2,6,2
2.152473,-62,-15,7,1,-5,-7,14,16,2
2.172050,-53,28,-15,-6,0,-11,-12,-22,2
2.172063,31,-19,-5,-1,-1,16,-10,-6,2
2.175247,-39,-11,-1,-1,3,0,1,-16,2
2.175253,70,13,7,1,3,-6,3,38,2
