timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,label
2.002187,-14,-10,2,1,6,-3,6,-5,2
2.002456,-9,56,-2,-1,0,0,7,7,2
2.017179,3,-16,5,1,-14,17,2,7,2
2.017202,42,27,-2,-3,17,-17,7,-32,2
2.018473,-78,-56,-6,-1,13,-14,-4,14,2
2.018477,-11,-19,-6,-6,-9,24,-4,-11,2
2.040472,35,51,4,3,19,4,-5,30,2
2.040495,-63,-53,2,-1,-36,-10,-8,-39,2
2.041209,127,30,-9,-6,0,5,29,40,2
2.041228,-58,-64,-2,2,8,-14,-7,14,2
2.054223,-57,43,2,1,-2,-2,-6,-66,2
2.054244,24,-38,0,-1,4,-9,-5,-8,2
2.062211,-42,9,0,0,-5,44,-1,-13,2
2.063253,-36,-25,-1,-2,-7,-3,-2,-11,2
2.077743,34,74,11,5,0,4,-4,41,2
2.077787,55,-17,-1,1,6,17,7,-11,2
2.079929,-40,34,4,-1,-3,-21,10,-18,2
2.079935,-93,-47,-15,-4,2,-12,-6,5,2
2.100303,18,45,4,-1,-2,8,-1,-6,2
2.100315,-5,6,-8,-4,3,13,-2,-6,2
2.100977,-25,-10,3,0,1,-4,-12,3,2
2.100986,48,32,2,0,-3,1,-3,-15,2
2.113922,-10,-4,-4,-2,1,-15,3,1,2
2.113939,-60,-24,-8,-2,-9,-13,-3,12,2
2.122422,-28,-83,-8,-2,-13,-7,-5,-3,2
2.122451,47,34,7,2,13,-3,-6,-25,2
2.137377,66,-22,-1,-1,-7,14,23,18,2
2.137405,16,3,-5,-5,-4,-25,-14,2,2
2.138931,-2,22,-4,2,8,2,-10,11,2
2.138935,-3,50,6,-2,-24,13,7,10,2
2.160705,12,-15,-7,-3,1,-4,-6,-9,2
2.160711,56,-4,-2,-2,-9,-15,5,15,2
2.160713,-22,25,5,1,3,16,-2,-12,2
2.160715,-12,25,-2,-3,6,-5,-7,-22,2
2.174364,63,13,0,-1,1,-10,-10,-19,2
2.174384,-24,-23,-3,-1,-4,4,9,4,2
2.182601,0,-22,-1,-3,3,-14,-5,-2,2
2.182625,33,57,2,1,4,-4,-6,-20,2
2.197414,15,-34,4,3,-5,1,1,29,2
2.197436,-96,7,3,-1,-25,5,-8,-26,2
2.197906,67,-1,-4,-1,22,4,10,53,2
2.197938,12,-21,-3,-3,6,-1,-23,-64,2
2.220556,-48,-25,-10,-7,-20,-18,11,-6,2
2.220580,-3,-8,-4,-3,-3,-1,-5,-7,2
2.222122,26,-14,4,1,-6,-5,0,20,2
2.222128,-22,31,7,0,0,6,6,22,2
2.234046,-16,-12,-4,-4,3,3,-17,-56,2
2.234064,89,82,5,0,7,-4,5,21,2
2.242387,-32,-55,-5,-1,-7,-32,-9,-47,2
2.242412,46,2,-8,-3,19,45,15,58,2
2.257520,-110,-29,7,3,-12,-65,-23,-21,2
2.257575,-33,-24,-16,-2,-8,4,-4,-7,2
2.258263,42,39,0,-2,2,-13,11,11,2
2.258276,-15,-26,1,2,-1,53,-6,5,2
2.280874,-64,4,-4,-2,-2,24,18,24,2
2.280988,49,122,15,3,4,-11,-18,11,2
2.282733,-25,-116,-12,-3,2,-15,-8,-70,2
2.282737,-16,-9,-4,2,2,-2,4,22,2
2.294005,35,35,0,-5,-14,2,1,-6,2
2.294027,-89,16,-1,0,2,-1,-22,-58,2
2.302904,64,-8,2,1,8,43,9,-5,2
2.302915,-31,4,11,4,-16,-19,7,31,2
2.318981,-43,17,-9,-2,12,5,-9,-52,2
2.318989,-12,31,7,1,8,-8,6,18,2
2.318991,5,9,-3,-3,-51,-22,-10,30,2
2.318992,74,-76,-2,1,37,-12,2,-36,2
2.340523,-16,-17,1,-1,4,-2,-1,23,2
2.340541,66,-15,0,-3,-2,7,1,-10,2
2.341586,-20,37,8,2,-2,12,-1,15,2
2.341590,65,56,4,0,-15,-26,9,13,2
2.364938,-25,-73,-7,0,16,24,2,28,2
2.364942,49,-41,-5,-3,-2,16,-5,-37,2
2.364944,-51,20,2,-1,7,7,13,0,2
2.364946,-11,-5,-7,-3,9,-18,-5,-68,2
2.380102,-9,36,1,-2,-15,1,7,34,2
2.380106,20,6,4,3,2,-28,-4,22,2
2.380108,0,-39,0,2,5,2,-1,14,2
2.380110,-38,-3,-3,-2,-5,4,5,-13,2
2.400339,-70,-51,-6,-3,13,51,-8,-11,2
2.400362,49,-19,-4,0,-6,-40,10,21,2
2.402495,44,4,-9,-9,0,47,-13,-33,2
2.402501,-58,-2,1,0,5,-12,-7,-23,2
2.423024,69,43,3,0,-12,7,-6,28,2
2.423048,-18,-97,-7,-1,7,10,9,9,2
2.425859,-3,35,1,2,12,-8,6,25,2
2.425864,-117,-54,-5,-2,-23,-18,-6,17,2
2.437554,50,67,10,3,6,0,0,-27,2
2.437599,5,-1,-11,-6,5,-11,-12,-51,2
2.440174,-74,-3,3,3,-4,21,8,16,2
2.440199,85,6,-6,-5,10,-14,-13,-6,2
2.460338,8,19,6,2,-13,17,14,-24,2
2.460356,-33,22,6,0,2,-3,-2,12,2
2.461059,31,-18,-10,-6,24,-10,-5,2,2
2.461075,41,-11,0,-1,-20,-3,16,-19,2
2.482874,100,-2,-2,2,12,-14,-9,20,2
2.482897,44,-8,-3,-1,-3,17,0,-9,2
2.483719,40,21,5,-2,-14,-13,2,3,2
2.483723,4,29,2,0,2,2,-5,3,2
2.497479,22,-22,0,-1,-6,-16,2,-18,2
2.497511,-70,-75,-8,-4,-9,30,13,49,2
2.499703,-3,7,0,1,3,-7,-7,-23,2
2.499944,15,-16,-7,-3,-34,2,-19,-13,2
2.522550,80,81,3,-2,1,-58,-10,68,2
2.522559,-119,-71,-7,-3,-4,-4,-6,9,2
2.522561,14,2,-3,-2,-3,-8,-5,-4,2
2.522563,-14,6,1,0,0,8,4,5,2
2.542946,28,-31,-3,0,4,3,-2,8,2
2.542970,8,58,8,1,-1,4,0,2,2
2.545140,62,27,3,-1,-3,-19,-5,-9,2
2.545145,-67,-30,0,1,-6,-2,-1,17,2
2.557641,7,-19,5,1,9,5,3,2,2
2.557689,36,-24,-5,-2,3,2,7,1,2
2.558727,16,17,5,0,-7,0,-17,-64,2
2.558732,34,17,-3,0,7,2,5,-23,2
2.580614,-68,-72,-5,-2,8,36,20,49,2
2.580644,-4,31,4,0,5,-10,-14,-62,2
2.582791,18,5,-1,-4,-12,0,-6,34,2
2.582798,-55,54,2,-1,39,-10,2,-31,2
2.603072,7,-68,-9,-1,-6,-10,6,-30,2
2.603089,19,32,3,1,3,5,1,38,2
2.603786,-16,-3,2,0,-3,-12,1,-20,2
2.603817,-21,-3,-5,-6,-22,5,-7,-1,2
2.617225,26,27,-1,-1,-11,4,-8,22,2
2.617245,-3,21,3,2,12,-4,2,-25,2
2.617949,18,34,2,3,5,42,-9,18,2
2.617972,14,-64,-4,-4,-40,-18,33,18,2
2.639851,-26,20,-4,-6,22,2,-12,-59,2
2.639874,69,26,7,3,-10,-5,-5,36,2
2.641115,-120,-77,-24,-11,1,4,7,-21,2
2.641120,22,-11,-2,2,17,11,-8,19,2
2.662881,-64,48,8,4,-38,-9,5,-29,2
2.662896,9,21,-4,-3,44,1,12,-5,2
2.663656,68,101,5,0,-9,-15,0,30,2
2.663704,36,-81,-4,0,11,2,-7,27,2
2.678487,-11,7,-4,-1,-10,-15,10,-34,2
2.678491,-31,39,1,3,-9,-3,-3,32,2
2.678494,59,-97,-2,0,-5,1,5,3,2
2.678496,17,23,6,0,12,2,-3,-4,2
2.699696,69,66,9,4,11,34,-6,-11,2
2.699723,-93,-28,-12,-6,-19,-43,-9,35,2
2.701174,-51,-36,-11,-5,-2,-11,-10,-30,2
2.701186,6,5,-5,-3,-7,1,-5,-19,2
2.723675,15,-29,-1,-2,6,-2,-2,28,2
2.723682,28,52,10,3,2,16,3,-11,2
2.723733,-35,13,0,1,-8,-11,0,18,2
2.723772,-28,-3,-2,-1,4,-7,-9,-1,2
2.738775,-11,46,1,-3,46,-1,-2,-21,2
2.738787,15,-18,-4,-1,-37,-7,7,-17,2
2.738789,-8,-92,-6,-4,-4,-69,-2,27,2
2.738791,90,81,17,4,3,-1,7,16,2
2.760088,-79,-106,-23,-9,-7,-7,-3,9,2
2.760119,-29,-7,-5,-4,-1,5,-10,-35,2
2.761968,43,82,3,1,11,15,2,-25,2
2.761977,85,-91,-5,0,-12,1,-2,35,2
2.782922,-55,22,-1,-3,-14,-28,-12,9,2
2.782946,-9,19,3,1,14,25,2,-8,2
2.783918,89,16,1,2,-14,-9,1,47,2
2.783923,-120,-22,-4,-3,2,27,-15,-53,2
2.796647,47,14,0,1,-10,4,11,30,2
2.796672,14,-31,-4,-2,-36,-12,-8,1,2
2.804973,2,54,12,4,46,32,15,13,2
