timestamp,sample_number,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.172282,0,0,-1,0,-1,-1,-2,-1,-1
0.172411,1,-1,-2,0,-1,0,1,-1,-2
0.173129,2,-2,-1,-3,-2,-1,-1,-1,1
0.173149,3,-1,0,0,0,-1,-2,1,-1
0.173938,4,1,0,-1,-2,-1,-1,0,-1
0.173954,5,1,-1,-1,-1,-1,-2,-2,0
0.175203,6,-1,-2,-1,-1,-1,0,-1,-1
0.175226,7,-1,-2,0,-1,-1,-1,-1,-1
0.183264,8,0,-2,-2,1,1,-1,-1,-1
0.183288,9,-1,-1,-2,-1,-1,-1,0,-3
0.189593,10,-1,0,-2,-1,-1,0,0,1
0.189625,11,-1,0,-3,0,-2,-1,-1,0
0.200915,12,-1,-1,-1,0,-1,0,-1,-1
0.200935,13,0,0,-1,-1,0,-1,0,1
0.214783,14,-1,-1,0,0,-2,-1,-1,-2
0.214813,15,-1,-1,-1,-2,1,-1,-2,-2
0.219515,16,-1,-1,0,0,-2,-3,-2,1
0.219539,17,0,-2,-1,0,-1,0,0,1
0.234629,18,0,-2,-1,-1,-2,-2,0,-2
0.234733,19,1,-2,-1,-2,-2,-1,-2,-1
0.245043,20,-1,0,-2,0,-2,-1,1,-2
0.245054,21,-1,1,-1,-1,0,-2,0,-1
0.283921,22,-2,0,0,-1,-1,0,0,-2
0.283931,23,0,-1,0,-2,-1,-1,-1,0
0.283933,24,-1,0,-2,-1,-3,-1,0,-1
0.283935,25,-1,-1,-2,0,-2,-1,0,0
0.284227,26,-2,-3,1,0,0,0,1,-2
0.284233,27,-1,1,-2,0,-1,-1,-1,-1
0.286692,28,-1,1,-1,-2,-1,-1,-1,-1
0.286709,29,0,0,-1,0,1,-1,1,-1
0.295019,30,-2,0,-1,-1,-1,0,-2,-2
0.295044,31,-1,-1,-2,-1,0,-3,0,0
0.301884,32,0,-2,2,-1,0,-1,-2,-1
0.301903,33,-2,1,-1,-2,-2,-2,0,-2
0.309247,34,-1,-2,-1,-1,-2,-1,-1,-2
0.309270,35,-1,-1,-1,-2,0,0,-1,-2
0.324426,36,0,-1,-1,-1,-2,0,0,-1
0.324455,37,0,-1,1,-2,-2,-1,-2,-2
0.339989,38,1,0,-2,-1,-1,-2,-1,-1
0.340044,39,-1,-2,1,-1,-1,-1,-1,-1
0.346783,40,-1,-1,-1,-1,1,-1,-1,0
0.346804,41,-1,-3,-1,-1,-2,0,-1,-1
0.355012,42,0,-1,-2,-2,-2,-1,-1,0
0.355037,43,0,-1,-1,-1,-2,1,-1,-2
0.370155,44,-1,-2,-1,-2,0,-1,0,-1
0.370182,45,-2,-1,-3,-1,0,0,-1,-1
0.370765,46,-1,0,-1,-1,-2,-1,-2,0
0.370783,47,-1,-1,-2,-1,-2,0,-1,0
0.393284,48,-1,-1,0,0,-1,0,0,0
0.393300,49,-2,-2,0,-1,-1,-2,-1,-1
0.395617,50,-1,-2,0,-1,0,-1,0,0
0.395631,51,2,-1,1,-3,0,0,-1,1
0.406804,52,0,-2,-1,0,0,-3,-1,-1
