Timestamp_ms,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
146,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0,0
697,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0
855,0,0,0,0,0,0,0,0
913,0,0,0,0,0,0,0,0
964,0,0,0,0,0,0,0,0
1026,0,0,0,0,0,0,0,0
1088,0,0,0,0,0,0,0,0
1153,0,0,0,0,0,0,0,0
1216,0,0,0,0,0,0,0,0
1276,0,0,0,0,0,0,0,0
1331,0,0,0,0,0,0,0,0
1382,0,0,0,0,0,0,0,0
1433,0,0,0,0,0,0,0,0
1485,0,0,0,0,0,0,0,0
1535,0,0,0,0,0,0,0,0
1585,0,0,0,0,0,0,0,0
1637,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0
1752,0,0,0,0,0,0,0,0
1814,0,0,0,0,0,0,0,0
1864,0,0,0,0,0,0,0,0
1915,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0
2078,0,0,0,0,0,0,0,0
2129,0,0,0,0,0,0,0,0
2191,0,0,0,0,0,0,0,0
2253,0,0,0,0,0,0,0,0
2315,0,0,0,0,0,0,0,0
2378,0,0,0,0,0,0,0,0
2440,0,0,0,0,0,0,0,0
2507,0,0,0,0,0,0,0,0
2565,0,0,0,0,0,0,0,0
2627,0,0,0,0,0,0,0,0
2689,0,0,0,0,0,0,0,0
2739,0,0,0,0,0,0,0,0
2793,0,0,0,0,0,0,0,0
2850,0,0,0,0,0,0,0,0
2909,0,0,0,0,0,0,0,0
2960,0,0,0,0,0,0,0,0
3022,0,0,0,0,0,0,0,0
3084,0,0,0,0,0,0,0,0
3134,0,0,0,0,0,0,0,0
3187,0,0,0,0,0,0,0,0
3238,0,0,0,0,0,0,0,0
3297,0,0,0,0,0,0,0,0
3359,0,0,0,0,0,0,0,0
3413,0,0,0,0,0,0,0,0
3469,0,0,0,0,0,0,0,0
3531,0,0,0,0,0,0,0,0
3593,0,0,0,0,0,0,0,0
3654,0,0,0,0,0,0,0,0
3705,0,0,0,0,0,0,0,0
3758,0,0,0,0,0,0,0,0
3813,0,0,0,0,0,0,0,0
3863,0,0,0,0,0,0,0,0
3914,0,0,0,0,0,0,0,0
3968,0,0,0,0,0,0,0,0
4015,0,0,0,0,0,0,0,0
4066,0,0,0,0,0,0,0,0
4119,0,0,0,0,0,0,0,0
4123,0,0,0,0,0,0,0,0
